,TAF1A (9015)
ACH-000004,-0.17351325536139686
ACH-000005,-0.6636957867228127
ACH-000007,-0.00596681954825984
ACH-000009,-0.3014666090112471
ACH-000011,-0.12990513744660728
ACH-000012,-0.5004530620267414
ACH-000013,-0.4584671904037307
ACH-000014,-0.39496854755485616
ACH-000015,-0.26600629795098124
ACH-000017,-0.29771784116704697
ACH-000018,-0.4031091505130925
ACH-000019,-0.4086758116252244
ACH-000021,-0.2951264586958717
ACH-000022,-0.2910512433643737
ACH-000025,-0.4612288909844388
ACH-000028,-0.4888909952406631
ACH-000030,-0.3615741544479185
ACH-000035,-0.5335022672084784
ACH-000036,-0.3376764961498452
ACH-000037,-0.44514238843623744
ACH-000039,-0.4131570520408928
ACH-000040,-0.31146130279181705
ACH-000041,-0.16053291636725972
ACH-000042,-0.3904498490228655
ACH-000045,-0.32432890606575643
ACH-000047,-0.4698148742547235
ACH-000052,-0.4668630065316261
ACH-000053,-0.4512755103088872
ACH-000054,-0.4394255757627412
ACH-000055,-0.2824423271480643
ACH-000060,-0.5226307903289676
ACH-000067,-0.4682463353740093
ACH-000070,-0.31945315222399256
ACH-000075,-0.7223548645494379
ACH-000078,-0.19808924325591826
ACH-000082,-0.5263729417411446
ACH-000085,-0.8538557231313726
ACH-000086,-0.5457371757974607
ACH-000087,-0.8061105558483525
ACH-000092,-0.3728787932928261
ACH-000095,-0.3386017696608597
ACH-000097,-0.08161465091221022
ACH-000098,-0.4869958030221369
ACH-000099,-0.24354997172833276
ACH-000108,-0.3462672465640837
ACH-000113,-0.2397577008029836
ACH-000116,-0.3922431324057266
ACH-000118,-0.3324002785394486
ACH-000120,-0.3732516575253317
ACH-000123,-0.30210582496233124
ACH-000127,-0.14512739224479784
ACH-000128,-0.6357414807879413
ACH-000132,-0.4666513070973938
ACH-000133,-0.4070664174054471
ACH-000137,-0.5565411523044735
ACH-000138,-0.3209730190412501
ACH-000142,-0.351690494849002
ACH-000143,-0.4827870261098402
ACH-000146,-0.004570031716873847
ACH-000148,-0.4246525480536093
ACH-000150,-0.4708096117579143
ACH-000152,-0.5674831415139706
ACH-000153,-0.4027196211216032
ACH-000159,-0.3075253118746133
ACH-000160,-0.11483977194611505
