,NR0B2 (8431)
ACH-000004,-0.14036197371991946
ACH-000005,-0.6044195431468222
ACH-000007,-0.3706100921171882
ACH-000009,-0.3761488604253345
ACH-000011,-0.30100046258486296
ACH-000012,-0.2483081580756865
ACH-000013,-0.3767132942619609
ACH-000014,-0.4806331810155891
ACH-000015,-0.2252610699534511
ACH-000017,-0.310682555379956
ACH-000018,-0.09078902323759433
ACH-000019,-0.1239371789105804
ACH-000021,-0.2598123776525831
ACH-000022,-0.2767462248574575
ACH-000025,-0.2393148483873753
ACH-000028,-0.3688645323314092
ACH-000030,-0.33634160550162284
ACH-000035,-0.2795269360703952
ACH-000036,-0.2600809039490876
ACH-000037,-0.3308624849020655
ACH-000039,-0.05723493927515338
ACH-000040,-0.31125436336638224
ACH-000041,-0.2121862914602701
ACH-000042,-0.20040685477232348
ACH-000045,-0.28451164246816435
ACH-000047,-0.1217550341577806
ACH-000052,-0.09230159959487788
ACH-000053,-0.23933326807859476
ACH-000054,-0.21409833345031576
ACH-000055,-0.14081060638151846
ACH-000060,-0.13650685330405615
ACH-000067,-0.5008208893865418
ACH-000070,-0.039037252908273534
ACH-000075,-0.1939568135847434
ACH-000078,-0.1816328023277138
ACH-000082,-0.271690704288954
ACH-000085,-0.32344338133381456
ACH-000086,-0.3191113952908116
ACH-000087,-0.25943397336433305
ACH-000092,-0.5202583223874834
ACH-000095,-0.2380665789958208
ACH-000097,-0.2416545795631701
ACH-000098,-0.32607463114026336
ACH-000099,-0.2111119361885457
ACH-000108,-0.4092148629308561
ACH-000113,-0.2285525346991748
ACH-000116,-0.2715114619675849
ACH-000118,-0.2424934401931645
ACH-000120,-0.20457511232957312
ACH-000123,-0.2633205334992349
ACH-000127,-0.28850481687444274
ACH-000128,-0.4664186355512343
ACH-000132,-0.20062864200492286
ACH-000133,-0.3853606355804705
ACH-000137,-0.3943016955301631
ACH-000138,-0.2038568254662167
ACH-000142,-0.33201349032619004
ACH-000143,-0.08304691095287241
ACH-000146,-0.25026895174795616
ACH-000148,-0.3613327037337273
ACH-000150,-0.5001082795308815
ACH-000152,-0.2984600342733231
ACH-000153,-0.222080419830832
ACH-000159,-0.3553993947486515
ACH-000160,-0.32762706692026305
ACH-000163,-0.1391513419894565
ACH-000167,-0.15513402371235704
ACH-000168,-0.053738458152600165
ACH-000169,-0.2893808696236344
ACH-000178,-0.2616019326315324
ACH-000183,-0.2415422248614909
ACH-000188,-0.4971445306781213
ACH-000189,-0.08007321435330125
ACH-000190,-0.18344352742263464
ACH-000198,-0.08287045225954376
