,FBXL14 (144699)
ACH-000004,-0.2591377477823663
ACH-000005,-0.0012195330980026625
ACH-000007,-0.2289881988312409
ACH-000009,-0.18303287484156508
ACH-000011,-0.1561260111892063
ACH-000012,-0.09496953653374658
ACH-000013,-0.1586691190182604
ACH-000014,-0.2558740421646528
ACH-000015,-0.02049340060577726
ACH-000017,-0.004552962928606408
ACH-000018,-0.21405033198225912
ACH-000019,0.02149013646153768
ACH-000021,-0.04618484055987618
ACH-000022,-0.2533833457741925
ACH-000025,-0.04947348732832465
ACH-000028,0.08527287526066525
ACH-000030,-0.04614554757230525
ACH-000035,0.1576546620735899
ACH-000036,-0.22206106784548188
ACH-000037,-0.14567707430538482
ACH-000039,-0.14082868190236658
ACH-000040,-0.09381357238443876
ACH-000041,-0.01916131988517941
ACH-000042,-0.17700115072230194
ACH-000045,-0.1729277468429795
ACH-000047,-0.01374987143922894
ACH-000052,-0.0998560563858987
ACH-000053,-0.33099725276627673
ACH-000054,-0.1267168756740631
ACH-000055,-0.10301090614379434
ACH-000060,-0.17831161484674274
ACH-000067,-0.1603539741582787
ACH-000070,-0.0932578293672317
ACH-000075,-0.11717960637890056
ACH-000078,-0.27898264187601995
ACH-000082,-0.17086666840658568
ACH-000085,-0.0704939228133104
ACH-000086,-0.08095689158298755
ACH-000087,-0.4470939161677845
ACH-000092,-0.10695198870329514
ACH-000095,-0.2870161035530381
ACH-000097,-0.08855809944804989
ACH-000098,-0.03607447480697113
ACH-000099,-0.21331966245822706
ACH-000108,-0.030553664489938306
ACH-000113,0.17108806873471066
ACH-000116,-0.31456037582015034
ACH-000118,-0.0031686153550105896
ACH-000120,-0.06690782769580822
ACH-000123,-0.16646712421634852
ACH-000127,-0.13219693641155014
ACH-000128,-0.2020124029448376
ACH-000132,-0.2141580332847538
ACH-000133,-0.1893480080144921
ACH-000137,0.09306695104454693
ACH-000138,-0.04688246075939737
ACH-000142,-0.062338504447443585
ACH-000143,-0.1792990846177858
ACH-000146,-0.12355828080792193
ACH-000148,-0.13421617388590792
ACH-000150,-0.12839034390467674
ACH-000152,-0.16353882781413853
