,LETM1 (3954)
ACH-000004,-0.9914624333560405
ACH-000005,-1.1896667795056963
ACH-000007,-0.9544084642105308
ACH-000009,-1.0204679526171554
ACH-000011,-1.0779373364863214
ACH-000012,-0.8766509960066298
ACH-000013,-0.8288708173003468
ACH-000014,-1.008522830752663
ACH-000015,-1.0387202454913913
ACH-000017,-1.0601285175361292
ACH-000018,-1.1679950855194932
ACH-000019,-1.0426323572573362
ACH-000021,-0.6614859736274057
ACH-000022,-1.0774788108766529
ACH-000025,-0.9011809243619664
ACH-000028,-0.9449772853071784
ACH-000030,-0.9285054721427743
ACH-000035,-1.0360933604245726
ACH-000036,-0.7461260033804951
ACH-000037,-0.6541227559103173
ACH-000039,-1.034389639559531
ACH-000040,-0.999803051119844
ACH-000041,-1.0316885296995049
ACH-000042,-0.9366024517470108
ACH-000045,-0.6366127813219481
ACH-000047,-0.8786773335138738
ACH-000052,-0.8893673193703961
ACH-000053,-1.0729785201558046
ACH-000054,-0.7229501423706909
ACH-000055,-1.0163362325230465
ACH-000060,-0.9061088635496676
ACH-000067,-0.8846956504012917
ACH-000070,-0.9070145860188974
ACH-000075,-0.640316745162336
ACH-000078,-0.9423389753036732
ACH-000082,-0.4104693742998733
ACH-000085,-0.8633841981738537
ACH-000086,-0.9820363782172812
ACH-000087,-0.9495245850703296
ACH-000092,-0.4015960051179389
ACH-000095,-0.8038259412444859
ACH-000097,-0.7035250557845132
ACH-000098,-0.8857349321136085
ACH-000099,-0.8603963112674264
ACH-000108,-0.984898805005884
ACH-000113,-0.6779205360855072
ACH-000116,-0.9142244306053242
ACH-000118,-1.0194201045154794
ACH-000120,-0.8692327768694932
ACH-000123,-0.8237021676604088
ACH-000127,-0.9184764983391054
ACH-000128,-1.2483520048806411
ACH-000132,-0.7336343786367623
ACH-000133,-0.7891873398513364
ACH-000137,-1.0052143288264246
ACH-000138,-0.9717423267137636
ACH-000142,-1.0954880905392883
ACH-000143,-0.8445305399274793
ACH-000146,-0.8342769777185538
ACH-000148,-1.1904408997983786
ACH-000150,-0.9590817189465726
ACH-000152,-1.1503750305849254
ACH-000153,-0.7874756294666102
ACH-000159,-0.9340940238491804
ACH-000160,-1.4013410281962824
ACH-000163,-1.146895633162384
ACH-000167,-0.8371390475510243
ACH-000168,-1.092372683692698
ACH-000169,-0.9949152348861308
ACH-000178,-0.8534188360060271
ACH-000183,-0.8419262988633687
ACH-000188,-0.8148135359424377
ACH-000189,-0.8043652768929132
ACH-000190,-0.8738811240468733
ACH-000198,-0.5400331074117531
ACH-000203,-0.908474678897076
ACH-000204,-0.7060740239313666
ACH-000206,-0.8787388720828971
ACH-000207,-0.6309133800883716
ACH-000208,-0.7886151366186549
ACH-000210,-0.8518439470864179
ACH-000211,-0.9768821654087452
ACH-000215,-0.9283216377364366
ACH-000221,-0.9976941433880542
ACH-000222,-1.0040162674897701
ACH-000223,-1.1447556092946107
ACH-000226,-0.8573884873988807
ACH-000227,-0.6887713401183054
ACH-000228,-0.7367735677873352
ACH-000231,-0.9945834615174394
ACH-000232,-1.0242695736444347
ACH-000233,-0.8205055196958738
