,IREB2 (3658)
ACH-000004,-0.18623577454119253
ACH-000005,-0.24493208590777124
ACH-000007,-0.05783398121457198
ACH-000009,-0.04547123611352393
ACH-000011,-0.11872901742422705
ACH-000012,-0.195508476853922
ACH-000013,-0.07586453942446694
ACH-000014,-0.08489295707898056
ACH-000015,0.1725723491263745
ACH-000017,-0.772433623044136
ACH-000018,-0.1922134616111808
ACH-000019,-0.17604609627603346
ACH-000021,0.02058575734539269
ACH-000022,-0.16236685286045152
ACH-000025,-0.14544786425161269
ACH-000028,-0.3831481661356123
ACH-000030,-0.28885391783620634
ACH-000035,-0.43156172156646705
ACH-000036,0.009186397202205794
ACH-000037,-0.2347155794053845
ACH-000039,-0.041304414056035334
ACH-000040,0.13208726005098553
ACH-000041,0.01391676481527521
ACH-000042,-0.2229249789169556
ACH-000045,-0.3931612318604555
ACH-000047,-0.21106353313178847
ACH-000052,-0.02459209800450487
ACH-000053,-0.1235952852359198
ACH-000054,0.1679847574325566
ACH-000055,-0.02702288329355335
ACH-000060,0.06798936342504835
ACH-000067,-0.02245693061993857
ACH-000070,-0.04254134063692009
ACH-000075,-0.14600728919671627
ACH-000078,-0.1963021436523379
ACH-000082,-0.015266986359609484
ACH-000085,-0.05531905800382361
ACH-000086,-0.0005205309897361254
ACH-000087,-0.25352096183762785
ACH-000092,-0.1752813916674554
ACH-000095,0.08878854682188696
ACH-000097,-0.05091296685600124
ACH-000098,-0.11425945500071227
ACH-000099,-0.30072448651578143
ACH-000108,-0.17856694863539804
ACH-000113,-0.3722069667639435
ACH-000116,-0.07694428473767091
ACH-000118,0.046962967180210716
ACH-000120,-0.08232065181435383
ACH-000123,-0.07341522218588505
ACH-000127,-0.21038731099757493
ACH-000128,0.07827828976110715
ACH-000132,-0.143375442370221
ACH-000133,-0.10715197253918032
ACH-000137,-0.07238299782251391
ACH-000138,0.08900466095864447
ACH-000142,-0.14585404475362224
ACH-000143,-0.0727149645133798
ACH-000146,-0.3212358825547982
ACH-000148,-0.017475136231657397
ACH-000150,0.046485297644667474
ACH-000152,0.1392217640319135
ACH-000153,-0.13707401737631833
ACH-000159,0.00237283009429425
ACH-000160,-0.3114419116099165
ACH-000163,-0.020312587328972887
ACH-000167,-0.6959280539593439
ACH-000168,-0.3906267105862512
ACH-000169,0.10911131805730563
ACH-000178,0.06167100721168264
ACH-000183,-0.03865927942215989
ACH-000188,-0.3721143138412797
ACH-000189,-0.20382776727152985
ACH-000190,0.005520106235695211
ACH-000198,-0.3938709118834341
ACH-000203,-0.5639241879256046
ACH-000204,-0.19493145060792372
ACH-000206,-0.3352382497414399
ACH-000207,-0.21764713554537765
ACH-000208,-0.04095862545834033
ACH-000210,0.1215213535330638
ACH-000211,0.018412769776727
ACH-000215,-0.013750268919155205
ACH-000221,0.09458195080262062
ACH-000222,-0.17407242306867687
ACH-000223,-0.11546901538610095
ACH-000226,-0.3258112207145786
ACH-000227,-0.23689917817155326
ACH-000228,-0.14234023490439046
ACH-000231,-0.0798114270514286
ACH-000232,-0.04487335029779106
ACH-000233,-0.0409122085266869
ACH-000234,-0.24002819178345225
ACH-000235,-0.012872177838996048
ACH-000237,-0.8857917721687313
ACH-000238,-0.2346092556781213
ACH-000242,-0.21818395629713752
ACH-000243,0.045390965698355185
ACH-000244,0.048525646965496584
ACH-000246,-0.041243943780146085
ACH-000248,-0.2516184654505174
ACH-000250,-0.0500707996506159
ACH-000251,-0.2226725564980559
ACH-000252,-0.1478056236075068
ACH-000253,-0.09646929058972696
ACH-000255,-0.08844256195483892
ACH-000256,-0.08230304401911905
ACH-000257,-0.08498447917581202
ACH-000258,-0.015113900844500653
ACH-000259,-0.17270910742603576
ACH-000260,-0.050829923646037334
ACH-000261,0.0021682950725364775
