,MRGBP (55257)
ACH-000004,-0.5465554288358566
ACH-000005,-0.2608712691982438
ACH-000007,-0.8807519337536666
ACH-000009,-0.7799812560568391
ACH-000011,-1.0597509302387942
ACH-000012,-0.5787679866790773
ACH-000013,-0.6650722948817761
ACH-000014,-0.8415883244782997
ACH-000015,-0.6021825164690329
ACH-000017,-1.0631391668079988
ACH-000018,-0.6749492854096106
ACH-000019,-0.9496614429367088
ACH-000021,-0.7446884560255745
ACH-000022,-0.6988500202785856
ACH-000025,-0.7559218199504484
ACH-000028,-0.6705137737859563
ACH-000030,-0.4176460456710441
ACH-000035,-0.5594517988639613
ACH-000036,-0.8966189063568434
ACH-000037,-0.7286396552220222
ACH-000039,-0.5472383189380516
ACH-000040,-0.6168075805573927
ACH-000041,-0.6184412967455682
ACH-000042,-0.6807303911548769
ACH-000045,-0.7083559836533906
ACH-000047,-0.6901993553824161
ACH-000052,-0.5344278524658518
ACH-000053,-0.4452018130616139
ACH-000054,-0.9073815790260936
ACH-000055,-0.6184352142533648
ACH-000060,-0.8647622052515492
ACH-000067,-0.6563046363981581
ACH-000070,-0.6932155970621435
ACH-000075,-0.5698846680402673
ACH-000078,-1.0084529234756423
ACH-000082,-0.3300396953788391
ACH-000085,-0.8735205734412075
ACH-000086,-0.4778126436342311
ACH-000087,-0.702892864270066
ACH-000092,-0.6348675640665341
ACH-000095,-0.4273218756438648
ACH-000097,-0.9400627142632764
ACH-000098,-0.6889499357119794
ACH-000099,-0.6070152534349343
ACH-000108,-0.7647268155876903
ACH-000113,-0.909712298231378
ACH-000116,-0.7018090848686064
ACH-000118,-0.651223943187683
ACH-000120,-1.0577427577946694
ACH-000123,-0.8872065225000455
ACH-000127,-0.5470969805949667
ACH-000128,-0.7522176540711889
ACH-000132,-0.6075642629021086
ACH-000133,-0.8572548899576976
ACH-000137,-0.5398945494025459
ACH-000138,-0.54410644291722
ACH-000142,-0.6479414883397974
ACH-000143,-0.6118867475593011
ACH-000146,-0.8924989886844045
ACH-000148,-0.7689258576663249
ACH-000150,-0.7878250736454366
ACH-000152,-0.6838839293581976
ACH-000153,-0.3981803529658851
ACH-000159,-0.8135426611176186
ACH-000160,-0.4233197534125634
ACH-000163,-0.5357526716923444
ACH-000167,-0.32636309960634197
ACH-000168,-0.6868947320377529
ACH-000169,-0.8834445453964473
ACH-000178,-0.7457271966193382
ACH-000183,-0.6408846865809357
ACH-000188,-0.7343255526364371
ACH-000189,-0.8610530266272095
ACH-000190,-0.362690878718926
ACH-000198,-1.1845493431307017
ACH-000203,-0.6727327086588848
ACH-000204,-0.4936356225698201
ACH-000206,-1.3145822106788323
ACH-000207,-0.6969399072801676
ACH-000208,-0.594546653571724
ACH-000210,-0.44205570281541184
ACH-000211,-1.0436286504687995
ACH-000215,-0.8677188702120946
ACH-000221,-0.8347305049910151
ACH-000222,-0.8860591446537882
ACH-000223,-0.6798270619143107
ACH-000226,-0.8400419472041566
ACH-000227,-0.5779024795096359
ACH-000228,-0.6056363214207099
ACH-000231,-0.6209949881848039
ACH-000232,-0.6110133919230493
ACH-000233,-0.7315584144199733
ACH-000234,-0.854338999701513
ACH-000235,-0.7029500869758063
ACH-000237,-0.7184936338312605
ACH-000238,-0.9409053518802224
ACH-000242,-0.3432421472323444
ACH-000243,-0.660206126929693
ACH-000244,-1.0053563587089809
ACH-000246,-0.6558831341165227
ACH-000248,-1.0210333156055709
ACH-000250,-0.4554302027203223
ACH-000251,-0.5886640678690734
ACH-000252,-0.7965731541089086
ACH-000253,-0.7075194683703091
ACH-000255,-0.5455624574627949
ACH-000256,-0.7591520687201281
ACH-000257,-0.7540281162193442
ACH-000258,-1.4160259007730789
ACH-000259,-0.9909317613804798
ACH-000260,-1.1103736108548592
ACH-000261,-0.8447926315723754
ACH-000262,-0.7852056988624655
ACH-000263,-0.40343771202810497
ACH-000264,-0.8960321372027504
ACH-000265,-0.580563717172896
ACH-000266,-0.920165433294836
ACH-000272,-0.6919331582673676
ACH-000274,-0.7016100686287199
ACH-000277,-0.9587303407245392
ACH-000278,-0.7741104679611546
ACH-000279,-0.5769833024781015
ACH-000280,-0.9433900578152882
ACH-000281,-0.9640995590836036
ACH-000288,-0.8876646149807123
ACH-000291,-0.6913263832991613
ACH-000293,-0.7306964634958141
ACH-000294,-0.8988192116388969
ACH-000295,-0.7688764164441144
ACH-000296,-0.5588654685160166
ACH-000302,-0.4316400179166158
ACH-000304,-0.7013123326759726
ACH-000307,-0.6247532699757634
ACH-000308,-0.7799802079675213
ACH-000310,-0.5534611460992367
ACH-000311,-0.7061479431639427
ACH-000312,-0.6896601243642533
ACH-000315,-1.1601376330885556
ACH-000316,-0.7500896187872743
ACH-000317,-0.8254852779185912
ACH-000318,-0.528562036330919
ACH-000319,-0.5435920996998328
ACH-000320,-0.7523549614177372
ACH-000322,-0.9046069850431996
ACH-000323,-0.4930949189117894
ACH-000324,-0.7131399620362194
ACH-000329,-0.7428166128048523
ACH-000330,-0.8854810715713348
ACH-000331,-0.6047790855948714
ACH-000332,-0.5323840096437958
ACH-000334,-0.9478499363005288
ACH-000335,-0.8764375170435368
ACH-000336,-1.1038977417669902
ACH-000337,-0.6765277118510735
ACH-000338,-1.0397285283646107
ACH-000339,-0.7782261360918487
ACH-000341,-0.7993895147450927
ACH-000348,-0.8871834059695035
ACH-000350,-0.7620020508960486
ACH-000352,-1.0180108947431241
ACH-000356,-0.3873259720396983
ACH-000361,-0.70843117214824
ACH-000362,-0.439788028004498
ACH-000363,-0.6782005783150052
ACH-000364,-0.9495243498255616
ACH-000365,-0.6150028729878626
ACH-000366,-0.7406077557509504
ACH-000368,-0.8798627999264552
ACH-000374,-0.6212286978150152
ACH-000375,-0.6346236534314293
ACH-000376,-0.8216041986199575
ACH-000381,-0.8694633722581739
ACH-000383,-0.5081825906273181
ACH-000387,-0.6967992425121546
ACH-000389,-1.034090522649277
ACH-000390,-0.7910952819073808
ACH-000393,-0.5866941764733856
ACH-000395,-0.9468752088227184
ACH-000396,-0.7041469210557072
ACH-000397,-0.7113803098713912
ACH-000401,-0.9253232885043676
ACH-000402,-0.7235812713327898
ACH-000403,-0.9134940665428452
ACH-000404,-1.4941476862526692
ACH-000406,-0.6393519059341399
ACH-000407,-0.9453739842713652
ACH-000408,-0.7990665227943625
ACH-000410,-0.7608485082634532
ACH-000411,-0.6993173726030907
ACH-000414,-0.5776492684221163
ACH-000415,-0.7559112145193496
ACH-000416,-0.6577552168881705
ACH-000420,-0.8679807904936746
ACH-000421,-0.8676333741418633
ACH-000424,-0.9790112256817564
ACH-000425,-0.7967847605150502
ACH-000426,-1.4912822724438095
ACH-000427,-0.7217820791503681
ACH-000433,-0.9751811026624267
ACH-000435,-0.6509536136594058
ACH-000436,-1.0661800283467515
ACH-000444,-0.7798752900902458
ACH-000445,-0.9677237241044874
ACH-000448,-0.7605960621574257
ACH-000450,-0.7332046713815537
ACH-000452,-0.6985092395524661
ACH-000454,-0.6656038414395251
ACH-000458,-0.7321370813170966
ACH-000459,-0.8995533814046895
ACH-000460,-0.7162759512320832
ACH-000461,-0.3300499243785641
ACH-000463,-0.8271274986093101
ACH-000464,-0.8398289280463648
ACH-000466,-1.0758249259680748
ACH-000467,-0.952603479179706
ACH-000468,-0.8001952975182917
ACH-000469,-0.8646870325187243
ACH-000470,-0.9246803811624632
ACH-000471,-0.6664217855317291
ACH-000472,-0.6029306599276529
ACH-000473,-0.5779119523189078
ACH-000475,-0.6810267243224032
ACH-000476,-0.41427578530817855
ACH-000477,-0.5897459264150747
ACH-000479,-0.5912088322682916
ACH-000480,-0.5159015373557536
ACH-000481,-0.7241768431110971
ACH-000483,-0.5041206706510211
ACH-000484,-0.7280648558178
ACH-000485,-0.942520570903527
ACH-000486,-0.8997326865535964
ACH-000487,-0.7747055226360698
ACH-000488,-0.5989021826705998
ACH-000490,-0.5607316271932512
ACH-000491,-0.6799337514786303
ACH-000495,-0.8788190494475434
ACH-000496,-0.780523768417573
ACH-000499,-0.5768306530437531
ACH-000500,-0.6203982302680029
