,PIGT (51604)
ACH-000004,-0.15380434676186186
ACH-000005,-0.0916063207212388
ACH-000007,-0.10023518418144656
ACH-000009,-0.1674821322555077
ACH-000011,-0.37271497292324735
ACH-000012,-0.11053618939584137
ACH-000013,-0.04271740844107589
ACH-000014,-0.2308312696915016
ACH-000015,-0.24511626985426646
ACH-000017,-0.2714117127363761
ACH-000018,-0.15819426531074862
ACH-000019,-0.1358395664706589
ACH-000021,-0.10025000663375076
ACH-000022,-0.22464151759140336
ACH-000025,-0.28778273214327466
ACH-000028,0.050219805898487166
ACH-000030,-0.18752957060588307
ACH-000035,-0.18980794137665855
ACH-000036,-0.01112500298884152
ACH-000037,-0.0629310810440941
ACH-000039,-0.026402698083110864
ACH-000040,-0.3341456636329855
ACH-000041,-0.11490162370537145
ACH-000042,-0.3479412087851302
ACH-000045,-0.1898892719774152
ACH-000047,-0.23714597018223624
ACH-000052,-0.3239659583493165
ACH-000053,-0.18062291425781127
ACH-000054,-0.200161679271645
ACH-000055,-0.14543874943266666
ACH-000060,-0.2872060163926094
ACH-000067,-0.14947190495822574
ACH-000070,0.02708642638102079
ACH-000075,-0.07586579315393295
ACH-000078,-0.21080156133955108
ACH-000082,-0.32340150925605576
ACH-000085,-0.3601527705085503
ACH-000086,-0.15655029124431682
ACH-000087,-0.3069090065663396
ACH-000092,-0.14705615434741126
ACH-000095,-0.11991829783133975
ACH-000097,-0.23481355558686395
ACH-000098,-0.23072846692140755
ACH-000099,-0.29309563312630593
ACH-000108,-0.1578044689537997
ACH-000113,-0.21030199541043684
ACH-000116,-0.1950010075410145
ACH-000118,-0.2891914974235667
ACH-000120,-0.2680894821209259
ACH-000123,-0.2125859334254865
ACH-000127,-0.13220882645246362
ACH-000128,-0.2947778971549594
ACH-000132,-0.0583502064692216
ACH-000133,-0.33961246234861225
ACH-000137,-0.24293696483944385
ACH-000138,-0.2177261289053553
ACH-000142,-0.07391194686777071
ACH-000143,-0.208445634221248
ACH-000146,-0.10218544792855604
ACH-000148,-0.16900757004273412
ACH-000150,-0.26879327719825785
ACH-000152,-0.18284328721482884
ACH-000153,0.22789946289106075
ACH-000159,-0.13171326560108235
ACH-000160,-0.19346707298463345
ACH-000163,-0.29701171902354845
ACH-000167,-0.04686603153854408
ACH-000168,-0.20012270492036371
ACH-000169,-0.2399721178761675
ACH-000178,-0.19232715759520466
ACH-000183,-0.19732491200577432
ACH-000188,-0.137167208177385
ACH-000189,-0.19496998130091694
ACH-000190,-0.3048946586183881
ACH-000198,-0.23610606386048566
ACH-000203,0.10036641694509056
ACH-000204,-0.3653346749317217
ACH-000206,-0.16761567600460756
ACH-000207,-0.2592396999877512
ACH-000208,-0.10407701176148212
ACH-000210,-0.3265439308944579
ACH-000211,-0.13038742163628927
ACH-000215,-0.04897454197999454
ACH-000221,-0.21991205558642066
ACH-000222,-0.2714689645721101
ACH-000223,-0.27216660918422153
ACH-000226,-0.18115568691753095
ACH-000227,-0.09609346237311672
ACH-000228,-0.17632612747793006
ACH-000231,-0.16807103373643353
ACH-000232,-0.2788465086681341
ACH-000233,-0.16797801583314953
ACH-000234,-0.4572206928122935
