,HELB (92797)
ACH-000004,0.06774779646020597
ACH-000005,-0.13709671904951062
ACH-000007,-0.3511042234207031
ACH-000009,-0.17580335571675054
ACH-000011,-0.06525936305482738
ACH-000012,-0.08267964174821606
ACH-000013,-0.1531455475729965
ACH-000014,0.08675210044765462
ACH-000015,-0.1411411087061506
ACH-000017,-0.15175828374608816
ACH-000018,-0.23443431370040926
ACH-000019,0.04812329743565903
ACH-000021,-0.06710758848622304
ACH-000022,0.008101145806104987
ACH-000025,-0.1997260565470366
ACH-000028,-0.2072537900146811
ACH-000030,-0.17567158602917884
ACH-000035,-0.1252997197594364
ACH-000036,-0.16095861671989875
ACH-000037,0.06201425647743205
ACH-000039,0.07156266066608626
ACH-000040,-0.2005665951374858
ACH-000041,-0.07797298871992142
ACH-000042,-0.1119452472256274
ACH-000045,-0.018026005273839744
ACH-000047,-0.033751403751457354
ACH-000052,-0.09026829795452422
ACH-000053,-0.054034285204751016
ACH-000054,-0.13796629124520898
ACH-000055,-0.047386603668027334
ACH-000060,-0.04830180885222842
ACH-000067,-0.22178791167149808
ACH-000070,-0.2026265589112705
ACH-000075,-0.21691702228642565
ACH-000078,-0.03325345165151245
ACH-000082,-0.22239683240476454
ACH-000085,-0.1878718942302856
ACH-000086,-0.3264159092340026
ACH-000087,0.09592014826584676
ACH-000092,-0.2149948819423
ACH-000095,-0.10001186109075452
ACH-000097,-0.13056346896449206
ACH-000098,-0.01442212363965126
ACH-000099,-0.04664657829209741
ACH-000108,-0.019091988717041937
ACH-000113,-0.07995641007415892
ACH-000116,-0.07994927799333701
ACH-000118,-0.17731920729066844
ACH-000120,-0.07621433574877445
ACH-000123,-0.09304904585431983
ACH-000127,-0.13618135638407955
ACH-000128,-0.1924697521223749
ACH-000132,-0.01646969256830076
ACH-000133,-0.2380903672106535
ACH-000137,-0.04135920488676463
ACH-000138,-0.10639979514863553
ACH-000142,-0.20962816850528732
ACH-000143,0.10620298267479933
ACH-000146,-0.06929458768973283
ACH-000148,-0.07032081445873277
