,CALB2 (794)
ACH-000250,0.2735045972483463
ACH-000251,0.40757224587510577
ACH-000252,0.30122205473215624
ACH-000253,0.17524301852890264
ACH-000255,0.2341847161093205
ACH-000256,0.2321387556803696
ACH-000257,0.4113865913533284
ACH-000258,0.07846758573121708
ACH-000259,0.1625293989691108
ACH-000260,0.2404021445554111
ACH-000261,0.2565492320294075
ACH-000262,0.22523089282654815
ACH-000263,0.18078424886630906
ACH-000264,0.2930445291661604
ACH-000265,0.32637506557390705
ACH-000266,0.17609764259900418
ACH-000272,0.22415506102337385
ACH-000274,0.20415491233387145
ACH-000277,0.11066808187225627
ACH-000278,0.27586414631695955
ACH-000279,0.16963160620240153
ACH-000280,0.2361823176270269
ACH-000281,0.2043627704893966
ACH-000288,0.24844211619612636
ACH-000291,0.19237886203571805
ACH-000293,0.2024889869081252
ACH-000294,0.3323281372948146
ACH-000295,0.2924110187482266
ACH-000296,0.22501239492658867
ACH-000302,0.2273105169476646
ACH-000304,0.3198385478973889
ACH-000307,0.28493756509671103
ACH-000308,0.2709642890912204
ACH-000310,0.21552864412957146
ACH-000311,0.15333842498185585
ACH-000312,0.15779303032972006
ACH-000315,0.3026043975102937
ACH-000316,0.21660534503049697
ACH-000317,0.2489142077943349
ACH-000318,0.23877823954489105
ACH-000319,0.18558082850426025
ACH-000320,0.130337192033861
ACH-000322,0.1344941711390884
ACH-000323,0.3237428402292206
ACH-000324,0.29226490003158484
ACH-000329,0.1957584136830946
ACH-000330,0.30246475004020223
ACH-000331,0.3196772923499559
ACH-000332,0.2034676304784234
ACH-000334,0.4719204388955607
ACH-000335,0.0035092115812155322
ACH-000336,0.05441136981203888
ACH-000337,0.07167433712627654
ACH-000338,-0.12008399423759375
ACH-000339,0.16377296728291788
ACH-000341,0.047972052486113186
ACH-000348,0.18736715892633207
ACH-000350,0.20050656830200936
ACH-000352,0.3337085661210946
ACH-000356,0.29596826826574724
ACH-000361,0.34029060825789537
ACH-000362,0.27676924122766705
ACH-000363,0.20112220947889467
ACH-000364,0.23781385724627965
ACH-000365,0.207665221446562
ACH-000366,0.2438264983464722
ACH-000368,0.19694471142732184
ACH-000374,0.35097530807746385
ACH-000375,0.34238071256580016
ACH-000376,0.30518357249321515
ACH-000381,0.1940672983683644
ACH-000383,0.22212612230617526
ACH-000387,0.23473008029257336
ACH-000389,0.15466334082300354
ACH-000390,0.22863014789870176
ACH-000393,0.2872492342521587
ACH-000395,0.1849517808138596
ACH-000396,0.2022910900741196
ACH-000397,0.16293895180987414
ACH-000401,0.2660987879113606
ACH-000402,0.7698612624060334
ACH-000403,0.26925035499386674
ACH-000404,-0.021106484996382287
ACH-000406,0.2334237999227213
ACH-000407,0.2395633120663881
ACH-000408,0.3489321937057065
ACH-000410,0.1928717571878804
ACH-000411,0.2004686475785991
ACH-000414,0.2620203298435423
ACH-000415,0.26699299242013275
ACH-000416,0.2369020246277129
ACH-000420,0.3316630419687677
