,HIST1H2AD (3013)
ACH-000004,-0.03373695365614587
ACH-000005,-0.33787999371602484
ACH-000007,-0.4170388929188041
ACH-000009,-0.14169692844977352
ACH-000011,-0.5486843130839487
ACH-000012,-0.32150896002180823
ACH-000013,-0.3732149125814394
ACH-000014,-0.3837928457301196
ACH-000015,-0.11421791229508188
ACH-000017,-0.2634361012997343
ACH-000018,-0.26722392997239464
ACH-000019,-0.3186478611448896
ACH-000021,-0.1689279628856648
ACH-000022,-0.13602502273006806
ACH-000025,-0.22488584727040034
ACH-000028,-0.2704847144328004
ACH-000030,-0.2680974211409021
ACH-000035,-0.4698299083339418
ACH-000036,-0.19965040847593785
ACH-000037,-0.4029734193287792
ACH-000039,-0.33026488529280595
ACH-000040,-0.3925275592381559
ACH-000041,-0.3297805757327879
ACH-000042,-0.16331319482199194
ACH-000045,-0.35446859415695553
ACH-000047,-0.3364599250451877
ACH-000052,-0.5368471420169416
ACH-000053,-0.16705949094921194
ACH-000054,-0.2453090637442045
ACH-000055,-0.3322216062154445
ACH-000060,-0.425295418485776
ACH-000067,-0.3713554803644282
ACH-000070,-0.5157686500063325
ACH-000075,-0.6331212214537789
ACH-000078,-0.2610968759071973
ACH-000082,-0.3962832173006787
ACH-000085,-0.32511750548888524
ACH-000086,-0.18621922830558732
ACH-000087,-0.3683269360397543
ACH-000092,-0.3084348905947856
ACH-000095,-0.2611442054274722
ACH-000097,-0.2820459141693949
ACH-000098,-0.29381970411427
ACH-000099,-0.2626132544304897
ACH-000108,-0.16339601709467025
ACH-000113,-0.4793868333757035
ACH-000116,-0.3951855100769876
ACH-000118,-0.36169872424081373
ACH-000120,-0.17509061954962632
ACH-000123,-0.30583099367713384
ACH-000127,-0.3826121496469949
ACH-000128,-0.2754419651037716
ACH-000132,-0.2324939312364877
ACH-000133,-0.11806098876120262
ACH-000137,-0.4446826534715805
ACH-000138,-0.11884765415358498
ACH-000142,-0.3288701698514851
ACH-000143,-0.1887062148004712
ACH-000146,-0.25918331632809083
ACH-000148,-0.3345508613294936
ACH-000150,-0.4068828843874079
ACH-000152,-0.2364034507246787
ACH-000153,-0.3666972925330664
ACH-000159,-0.34050308368814725
ACH-000160,-0.2348657077751778
ACH-000163,-0.39106936773057344
ACH-000167,-0.556001639187327
ACH-000168,-0.4947491429833925
ACH-000169,-0.3221205894039188
ACH-000178,-0.2128857701708731
ACH-000183,-0.1714037896961759
ACH-000188,-0.19535937802652384
ACH-000189,-0.5668924941008879
ACH-000190,-0.3041969440063144
ACH-000198,-0.35138674747599197
ACH-000203,-0.18457381871467032
ACH-000204,-0.3373322523022324
ACH-000206,-0.6475933636988889
ACH-000207,-0.28382967318490543
ACH-000208,-0.4995253874246637
ACH-000210,-0.04964442298832791
ACH-000211,-0.3576769083586232
ACH-000215,-0.3188531508608867
ACH-000221,-0.26378995223642976
ACH-000222,-0.3677404360256809
ACH-000223,-0.43910871892561615
ACH-000226,-0.4177551950495685
ACH-000227,-0.5007966242431429
ACH-000228,-0.35876157345876364
ACH-000231,-0.4821978312501515
ACH-000232,-0.24804767858922136
ACH-000233,-0.4672779212910466
ACH-000234,-0.3603974459910469
ACH-000235,-0.2292256714658971
ACH-000237,-0.2937989190854787
ACH-000238,-0.4724421202006177
ACH-000242,-0.3919600780779749
ACH-000243,-0.2992872284578765
ACH-000244,-0.3877513340362834
ACH-000246,-0.26738055329217225
ACH-000248,-0.4337231755541665
ACH-000250,-0.2646447081499745
ACH-000251,-0.7010145963478672
ACH-000252,-0.35966037456212424
ACH-000253,-0.3271039695670035
ACH-000255,-0.2379534498299073
ACH-000256,-0.17403000216971107
ACH-000257,-0.26673921969657466
ACH-000258,-0.3927727755015392
ACH-000259,-0.2626298278646676
ACH-000260,-0.2786459212816936
ACH-000261,-0.2678771702961757
ACH-000262,-0.10950944586392697
ACH-000263,-0.049178006363854984
ACH-000264,-0.3476017116730703
ACH-000265,-0.33773391732817265
ACH-000266,-0.22651626795224436
ACH-000272,-0.19683462947781408
ACH-000274,-0.22221992298282014
ACH-000277,-0.4154932092887237
ACH-000278,-0.26507882658486986
ACH-000279,-0.16525611195473106
ACH-000280,-0.19868008490209946
ACH-000281,-0.25465461450845683
ACH-000288,-0.24290426539380586
ACH-000291,-0.2834201737102109
ACH-000293,-0.5086877784180068
ACH-000294,-0.1543291997593814
ACH-000295,-0.6030192797262501
ACH-000296,-0.34705620037654
ACH-000302,-0.21279653495389814
ACH-000304,-0.36874658029180574
ACH-000307,-0.3592737119323964
ACH-000308,-0.3444445922043132
ACH-000310,-0.20156043381657107
ACH-000311,-0.019205996386124927
ACH-000312,-0.13420050566210362
ACH-000315,-0.07362989716114833
ACH-000316,-0.303711846660288
ACH-000317,-0.4334850937458834
ACH-000318,-0.26441364624867736
ACH-000319,-0.3509405586088181
ACH-000320,-0.3665107888051077
ACH-000322,-0.2952553032947316
ACH-000323,-0.2617849776965751
ACH-000324,-0.21710121669229995
ACH-000329,-0.3236755891257472
ACH-000330,-0.35470854971653826
ACH-000331,-0.4570769591744553
ACH-000332,-0.3382334538784216
ACH-000334,-0.42773143471585
ACH-000335,-0.2796978161922105
ACH-000336,-0.39160869705488105
ACH-000337,-0.15255976696988835
ACH-000338,0.2520552603211526
ACH-000339,-0.168937767455764
ACH-000341,-0.24097013264618164
ACH-000348,-0.3101027649467565
ACH-000350,-0.15662199323908382
ACH-000352,-0.1428768885773845
ACH-000356,-0.6248581258632351
ACH-000361,-0.4186057986604401
ACH-000362,-0.4179259340294676
ACH-000363,-0.3325425083878816
ACH-000364,-0.2540495358334812
ACH-000365,-0.1197622980153424
ACH-000366,-0.07594702281695065
ACH-000368,-0.39074134490888185
ACH-000374,-0.5567581797117868
ACH-000375,-0.3542648785105124
ACH-000376,-0.255324116021641
ACH-000381,-0.4730544987389323
ACH-000383,-0.2716230819015981
ACH-000387,-0.2977746299847147
ACH-000389,-0.26631813257657405
ACH-000390,-0.2323508272118587
ACH-000393,-0.2843804046241136
ACH-000395,-0.14560507439303794
ACH-000396,0.01991476610614669
ACH-000397,-0.25777523421929915
ACH-000401,-0.4324196697336224
ACH-000402,-0.1909143252160289
ACH-000403,-0.288783839562281
ACH-000404,-0.24677816185957596
ACH-000406,-0.1876742734512456
ACH-000407,-0.3132655769415959
ACH-000408,-0.2987318972622693
ACH-000410,-0.12429407308783495
ACH-000411,-0.2766414319063521
ACH-000414,-0.2555865349681326
ACH-000415,-0.3201594868342955
ACH-000416,-0.25690808459542674
ACH-000420,-0.3312895988844584
ACH-000421,-0.27458249616299835
ACH-000424,-0.1381781123277997
ACH-000425,-0.24522601549540496
ACH-000426,-0.11242195019277557
ACH-000427,-0.30248050811944976
ACH-000433,-0.24999269807899516
ACH-000435,-0.29419276407518
ACH-000436,-0.2882343270235247
ACH-000444,-0.2816744121464181
ACH-000445,-0.30197284277080005
ACH-000448,-0.29093477792830125
ACH-000450,-0.36245215809167136
ACH-000452,-0.4394982651497188
ACH-000454,-0.3201682202446625
ACH-000458,-0.3914878284633127
ACH-000459,-0.5089759943339663
ACH-000460,-0.29816212336240405
ACH-000461,-0.18911703663269624
ACH-000463,-0.2530612248504082
ACH-000464,-0.3643852357922853
ACH-000466,-0.4850270618219093
ACH-000467,-0.2031345140695636
ACH-000468,-0.2460429455480034
ACH-000469,-0.4760445787866026
ACH-000470,-0.1688596513792659
ACH-000471,-0.2258587156374893
ACH-000472,-0.3845368586224615
ACH-000473,-0.2419651169996405
ACH-000475,-0.2986064631832764
ACH-000476,-0.294065575446957
ACH-000477,-0.35245714907610753
ACH-000479,-0.12769683274927354
ACH-000480,-0.2508092407313777
ACH-000481,-0.41682581888749504
ACH-000483,-0.29786316321072864
ACH-000484,-0.061348243800580224
ACH-000485,-0.3860334728701707
ACH-000486,-0.32667393148400986
ACH-000487,-0.53342816729177
ACH-000488,-0.3877269592903225
ACH-000490,-0.3758757922669134
ACH-000491,-0.3373851624579497
ACH-000495,-0.4235815743814865
ACH-000496,-0.2856840527310919
ACH-000499,-0.22659870264968074
ACH-000500,0.2799844309680317
ACH-000502,-0.2873659945571819
ACH-000503,-0.4879755042684598
ACH-000505,-0.13684228638609358
ACH-000507,-0.2952725658577384
ACH-000510,-0.19097104070959253
ACH-000511,-0.4309410196561256
ACH-000512,-0.4452742547472593
ACH-000516,-0.5435738094528543
ACH-000517,-0.399552747568613
ACH-000518,-0.4153310509373724
ACH-000520,-0.3201366110317118
ACH-000521,-0.10600059504648028
ACH-000522,-0.4067582730011565
ACH-000524,-0.5426001317531958
ACH-000527,-0.3752746475666954
ACH-000528,-0.3979783637110901
ACH-000537,-0.398482752631804
ACH-000541,-0.059524470998010226
ACH-000542,-0.2557499980469972
ACH-000544,-0.2707988378689367
ACH-000545,-0.3726802048435996
ACH-000547,-0.22837535482399896
ACH-000548,-0.40591586469988106
ACH-000549,-0.1927063831449453
ACH-000550,-0.3369300968786441
ACH-000552,-0.22065654280163435
ACH-000556,-0.33436949964775897
ACH-000557,-0.36719106538163293
ACH-000569,-0.2060132388654092
ACH-000570,-0.3014474977693609
ACH-000571,-0.3244147574607849
ACH-000573,-0.2726302125569764
ACH-000576,-0.2205892125409732
ACH-000579,-0.18181620333648005
ACH-000580,-0.15974983589027464
ACH-000584,-0.35500291378820004
ACH-000585,-0.5063910827593419
ACH-000588,-0.1388903005563819
ACH-000589,-0.2911580079622435
ACH-000591,-0.1733752667222176
ACH-000593,-0.19040919392823571
