,CPE (1363)
ACH-000004,-0.173450675349623
ACH-000005,-0.023973149934832558
ACH-000007,-0.0017493772631637882
ACH-000009,0.004255781199698986
ACH-000011,-0.0868272567351705
ACH-000012,-0.28479825365149913
ACH-000013,-0.16129012100048967
ACH-000014,-0.09267363498242667
ACH-000015,-0.15464677486586714
ACH-000017,-0.13359372772159733
ACH-000018,-0.12374368508441835
ACH-000019,-0.024691210220463097
ACH-000021,-0.0739606816777791
ACH-000022,-0.1453120051507562
ACH-000025,-0.2433521426044953
ACH-000028,-0.003991617497342587
ACH-000030,-0.2053806652742492
ACH-000035,-0.07116131582315857
ACH-000036,-0.1840315662361582
ACH-000037,-0.2352357404114669
ACH-000039,-0.1590865819098424
ACH-000040,-0.2277288691749224
ACH-000041,-0.009299372049634696
ACH-000042,-0.1992498235012207
ACH-000045,-0.1127469608053418
ACH-000047,-0.1862289023669514
ACH-000052,0.016256875572039774
ACH-000053,-0.2070119430550179
ACH-000054,-0.2907413477775525
ACH-000055,-0.06359332250551128
ACH-000060,-0.168989702146876
ACH-000067,-0.20406255307165336
ACH-000070,-0.2079355913491892
ACH-000075,-0.4834289079556812
ACH-000078,-0.11693331510228168
ACH-000082,-0.2754078359172504
ACH-000085,-0.21470172205627272
ACH-000086,-0.14828174725076462
ACH-000087,0.002551902660943486
ACH-000092,-0.16095809088059154
ACH-000095,-0.2162112779705854
ACH-000097,-0.14146664466943085
ACH-000098,-0.1846722537168983
ACH-000099,-0.1306478943872303
ACH-000108,-0.1462169602297077
ACH-000113,-0.20761377047263305
ACH-000116,-0.10033945997276338
ACH-000118,-0.14190441792204286
ACH-000120,-0.14294071730481445
ACH-000123,-0.2668219559901062
ACH-000127,-0.24243454985016974
ACH-000128,-0.18651420142196645
ACH-000132,-0.2556631244834163
ACH-000133,-0.2347883684267637
ACH-000137,-0.2980688570958013
ACH-000138,-0.050127794873199384
ACH-000142,-0.1693121038508037
ACH-000143,-0.09442068006269576
ACH-000146,-0.06506085740973883
ACH-000148,-0.10040615133620727
ACH-000150,-0.07094437995986165
ACH-000152,-0.1445478689007101
ACH-000153,-0.42653007521930864
ACH-000159,-0.2143312057969312
ACH-000160,-0.19242953069344326
ACH-000163,-0.19941981198269185
ACH-000167,-0.6135846162698669
ACH-000168,-0.2433096420793842
ACH-000169,-0.08001270341262415
ACH-000178,-0.2343992606627596
ACH-000183,-0.14562483990795366
ACH-000188,-0.15136340129895928
ACH-000189,-0.3257589969931421
ACH-000190,-0.09888137837108424
ACH-000198,-0.2113679889974686
ACH-000203,0.11242466238250108
