,PUF60 (22827)
ACH-000004,-1.344935308955027
ACH-000005,-1.3576079796931624
ACH-000007,-1.0913714325811332
ACH-000009,-1.3132525421731605
ACH-000011,-1.3993226853089198
ACH-000012,-1.5138609384629145
ACH-000013,-1.1459184613481832
ACH-000014,-1.1944211438305037
ACH-000015,-1.106424315742032
ACH-000017,-1.5013644346954451
ACH-000018,-1.2601535758778988
ACH-000019,-1.3153290492404195
ACH-000021,-1.3404585171858037
ACH-000022,-1.2216317013581646
ACH-000025,-1.1117216226758384
ACH-000028,-1.1719198372937996
ACH-000030,-1.2785231531914725
ACH-000035,-1.1179604622696615
ACH-000036,-1.1643782233219222
ACH-000037,-1.4512422731789605
ACH-000039,-1.3216991497902306
ACH-000040,-1.1478862933638192
ACH-000041,-1.1737636534930824
ACH-000042,-1.276442433694516
ACH-000045,-1.0386690575026103
ACH-000047,-1.3394845619186622
ACH-000052,-1.024689903737123
ACH-000053,-1.3069475225845506
ACH-000054,-1.4054455850262575
ACH-000055,-1.3607371944911328
ACH-000060,-1.268064753266409
ACH-000067,-1.2842469428958936
ACH-000070,-1.4086730703104529
ACH-000075,-0.9736298681115912
ACH-000078,-1.181606871402315
ACH-000082,-1.3785104811037006
ACH-000085,-1.5913212588007464
ACH-000086,-1.3943107893120077
ACH-000087,-1.1134413198882127
ACH-000092,-1.352332392691029
ACH-000095,-1.2017827272748538
ACH-000097,-1.2207787593962875
ACH-000098,-1.3837971394494522
ACH-000099,-1.2683107071933686
ACH-000108,-1.30233942088832
ACH-000113,-1.2315859247269587
ACH-000116,-1.1506952772540722
ACH-000118,-1.2441059221784194
ACH-000120,-1.4610859896615802
ACH-000123,-1.0893549089888528
ACH-000127,-1.307371185344677
ACH-000128,-1.306022792519949
ACH-000132,-1.3525097798555052
ACH-000133,-1.4069282575074369
ACH-000137,-1.2324037043876783
ACH-000138,-1.3686855501408648
ACH-000142,-1.2183984744870937
ACH-000143,-1.3362958477111406
ACH-000146,-1.333225369265894
ACH-000148,-1.1769085049222436
ACH-000150,-1.2318367239568504
ACH-000152,-1.3959939814814402
ACH-000153,-1.3335236358886604
ACH-000159,-1.178248542300127
ACH-000160,-1.8054574265448835
ACH-000163,-1.2816926518371212
ACH-000167,-1.7273361623638468
ACH-000168,-1.1784553514998857
ACH-000169,-1.2345444592342445
ACH-000178,-1.2283907243398076
ACH-000183,-1.4023815676072646
ACH-000188,-1.2484035913037377
ACH-000189,-1.3102445612102227
ACH-000190,-1.2687021626063255
ACH-000198,-1.3227648693322969
ACH-000203,-1.4198871581018115
ACH-000204,-1.186635426638078
ACH-000206,-1.2892140691901348
ACH-000207,-1.4126551717864744
ACH-000208,-1.1678127981300614
ACH-000210,-0.8867888305569412
ACH-000211,-1.3642728577017595
ACH-000215,-1.3137324228711718
ACH-000221,-1.5205499832076024
ACH-000222,-1.330558450293402
ACH-000223,-1.2903050348272893
ACH-000226,-1.3275506964902444
ACH-000227,-1.2572335643359454
ACH-000228,-1.4032106107497715
ACH-000231,-1.315165693802374
ACH-000232,-1.6101861786349694
ACH-000233,-1.6177121534348156
ACH-000234,-1.2278168483742165
ACH-000235,-1.346491231271966
ACH-000237,-1.1744380475090452
ACH-000238,-1.2724304139826872
ACH-000242,-1.4614011700632044
ACH-000243,-1.2096359367492109
ACH-000244,-1.4097473320453342
ACH-000246,-1.0704367754218072
ACH-000248,-1.4615986975923076
ACH-000250,-1.2551409695881013
ACH-000251,-1.4349031250994664
ACH-000252,-1.3894757160886708
ACH-000253,-1.228771364683087
ACH-000255,-1.0692640497872763
ACH-000256,-1.6697992474588366
ACH-000257,-1.5032427296463102
ACH-000258,-1.5219227609769297
ACH-000259,-1.37523031067747
ACH-000260,-1.23713060571512
ACH-000261,-1.2701796740976068
ACH-000262,-1.4171280607931616
ACH-000263,-1.1067742256514463
ACH-000264,-1.479781154486209
ACH-000265,-1.3325756690438926
ACH-000266,-1.2895963636028858
ACH-000272,-1.3970915426153638
ACH-000274,-1.3576051415475998
ACH-000277,-1.2461098549627438
ACH-000278,-1.119579742841083
ACH-000279,-1.232805441758027
ACH-000280,-1.1933985758571366
ACH-000281,-1.2889539516769026
ACH-000288,-1.313685890067674
ACH-000291,-1.0744925048566962
ACH-000293,-1.2599489196791824
ACH-000294,-1.4264529212678323
ACH-000295,-1.3654574715714898
ACH-000296,-1.2645544428964588
ACH-000302,-1.3437743519901106
ACH-000304,-1.6080245731645255
ACH-000307,-1.365793519250479
ACH-000308,-1.36954403344987
ACH-000310,-1.3327320071150677
ACH-000311,-1.4064327030512966
ACH-000312,-1.1662017270729002
ACH-000315,-1.3756559454581128
ACH-000316,-1.2845874391404262
ACH-000317,-1.2106724939693037
ACH-000318,-1.2303216693228398
ACH-000319,-1.1567798409806835
ACH-000320,-1.5020293698440623
ACH-000322,-1.4714578437752763
ACH-000323,-1.3009381201912678
ACH-000324,-1.3356293771296581
ACH-000329,-1.2640278796282316
ACH-000330,-1.3141565717112962
ACH-000331,-1.2523744802245318
ACH-000332,-1.1829370427510928
ACH-000334,-1.910346638421379
ACH-000335,-1.1915980594747897
ACH-000336,-1.3858229534319413
ACH-000337,-1.460961028793221
ACH-000338,-0.9564614992977412
ACH-000339,-1.3027910970222816
ACH-000341,-1.3091906710631382
ACH-000348,-1.2702830622994137
ACH-000350,-1.2951365615408716
ACH-000352,-1.5923021482419293
ACH-000356,-1.1425632243085193
ACH-000361,-1.4574098877724622
ACH-000362,-1.0594234801047908
ACH-000363,-1.2432229757520106
ACH-000364,-1.334931234934944
ACH-000365,-1.5440477736482043
ACH-000366,-1.3172761170827645
ACH-000368,-1.2298869404496002
ACH-000374,-0.9367641974931541
ACH-000375,-1.3510649685623666
ACH-000376,-1.3222347608935716
ACH-000381,-1.2008276373133664
ACH-000383,-1.3108853082227159
ACH-000387,-1.3308167913532536
ACH-000389,-1.2334025532864716
