,CCT6B (10693)
ACH-000004,-0.10859123232157276
ACH-000005,-0.2726564371417369
ACH-000007,-0.11996950664274668
ACH-000009,-0.03323496138697042
ACH-000011,-0.10631363401697567
ACH-000012,-0.0822710572072476
ACH-000013,-0.11799891699369078
ACH-000014,-0.08316478315252136
ACH-000015,-0.04241221798262621
ACH-000017,-0.14872065747269864
ACH-000018,-0.1823411467754697
ACH-000019,-0.16137139529824715
ACH-000021,-0.08783783561537299
ACH-000022,-0.10671920874854723
ACH-000025,-0.03182784922565355
ACH-000028,-0.17903096693452905
ACH-000030,-0.08560118037026118
ACH-000035,-0.04728243825475837
ACH-000036,-0.04535337337886993
ACH-000037,0.04103502484954573
ACH-000039,-0.2896375576177632
ACH-000040,-0.13556139600066008
ACH-000041,-0.23145895633685745
ACH-000042,-0.01488125955506655
ACH-000045,-0.05231101034793858
ACH-000047,-0.07419636166847292
ACH-000052,-0.01473726051043332
ACH-000053,-0.07756794236222525
ACH-000054,-0.143509853769107
ACH-000055,-0.0168190164617375
ACH-000060,-0.1670146750978931
ACH-000067,-0.2194031805791488
ACH-000070,-0.10288740033204108
ACH-000075,-0.014161087511853816
ACH-000078,-0.08863579570328724
ACH-000082,-0.1379599708008636
ACH-000085,-0.12518371761407346
ACH-000086,-0.1449854843637576
ACH-000087,-0.03865253556365599
ACH-000092,-0.07308219019548727
ACH-000095,-0.1354215045204802
ACH-000097,-0.15468509319845544
ACH-000098,-0.042358079953874014
ACH-000099,-0.13470939076351568
ACH-000108,0.038183300695908334
ACH-000113,-0.07150469372181041
ACH-000116,-0.2500910303814176
ACH-000118,-0.06647545182269989
ACH-000120,-0.06877615011637538
ACH-000123,-0.11713983322012528
ACH-000127,-0.18317678689183275
ACH-000128,-0.1485294113219153
ACH-000132,-0.09754275516049203
ACH-000133,-0.016245095124835216
ACH-000137,-0.2056228445264628
ACH-000138,-0.08890983064293956
ACH-000142,-0.08603531542714687
ACH-000143,-0.02295401174022092
ACH-000146,-0.0916405748104985
ACH-000148,-0.1728500033543724
ACH-000150,-0.3633193934067253
ACH-000152,-0.14225588617203627
ACH-000153,-0.10869831765298303
ACH-000159,-0.1141775196287891
ACH-000160,-0.0417951207342612
ACH-000163,-0.1667568166119985
ACH-000167,-0.07496282373504423
ACH-000168,-0.13425154441457002
ACH-000169,-0.015517018922811071
ACH-000178,-0.046935509181660014
ACH-000183,-0.25799210583040066
ACH-000188,-0.07734748534703421
ACH-000189,-0.5612377421865913
ACH-000190,-0.05215972040830075
ACH-000198,-0.06080696324629821
ACH-000203,0.20693174001198414
ACH-000204,0.17687461686668535
ACH-000206,0.0494484652183957
ACH-000207,-0.1155985514504989
ACH-000208,-0.3275547865275535
ACH-000210,0.01915582494462299
ACH-000211,-0.23945862976516566
ACH-000215,-0.1616073202009551
ACH-000221,-0.1396978102493361
ACH-000222,-0.08919756291271448
ACH-000223,-0.15571371751408428
ACH-000226,-0.1185653160940078
ACH-000227,-0.33528081472992144
ACH-000228,-0.07018043821420394
ACH-000231,-0.06567721340391139
ACH-000232,-0.07317051227853881
ACH-000233,-0.033664460353889314
ACH-000234,-0.17602691631086126
ACH-000235,-0.13021832451107396
ACH-000237,-0.0840182623037623
ACH-000238,-0.10460386009467172
ACH-000242,-0.4346399941164607
ACH-000243,-0.2125504887331881
ACH-000244,0.07012229192829253
ACH-000246,-0.07317182133852597
ACH-000248,-0.11848026990546025
ACH-000250,-0.13121112549107652
ACH-000251,-0.1596195850194261
ACH-000252,-0.21359533507784756
ACH-000253,-0.1306451334813694
ACH-000255,-0.1568523698032316
ACH-000256,-0.04279496046942082
ACH-000257,0.0037191358487727406
ACH-000258,-0.05450350610848705
ACH-000259,-0.09598414986877668
ACH-000260,-0.09995258678659837
ACH-000261,-0.15382870556734948
ACH-000262,0.17671114546207586
ACH-000263,-0.06243664518501223
ACH-000264,-0.1845238858928094
ACH-000265,-0.13836371598743213
ACH-000266,-0.11531380178864516
ACH-000272,-0.14957003503069616
ACH-000274,-0.10171148263535973
ACH-000277,-0.10020635682516522
ACH-000278,-0.21414911216927088
ACH-000279,-0.2612133033687752
ACH-000280,0.03599974626290437
ACH-000281,-0.12430338692578898
ACH-000288,-0.13400971265478925
ACH-000291,-0.2992372541347795
ACH-000293,-0.10347460165754943
ACH-000294,0.013867064850088562
ACH-000295,0.01798804591266617
ACH-000296,-0.2745378797370407
ACH-000302,-0.056320790526284026
ACH-000304,-0.15262602933479918
ACH-000307,-0.139348515428193
ACH-000308,-0.0578483797481868
ACH-000310,-0.041947857905968604
ACH-000311,0.056044128792679816
ACH-000312,-0.03350544416775183
ACH-000315,-0.223031045684348
ACH-000316,-0.33277329626508545
ACH-000317,-0.07722856704167645
ACH-000318,-0.12125926342724334
ACH-000319,-0.17780854922975764
ACH-000320,-0.12400141633848495
ACH-000322,-0.3047376891806813
ACH-000323,-0.2413600619712825
ACH-000324,-0.2570396170636049
ACH-000329,-0.04889475231769581
ACH-000330,-0.2311994501275859
ACH-000331,-0.04703631656103798
ACH-000332,-0.08234891285968084
ACH-000334,-0.1561562457575039
ACH-000335,-0.025044316222596782
ACH-000336,-0.15510146014473605
ACH-000337,-0.06620159879084911
ACH-000338,-0.16114190506116924
ACH-000339,-0.1557764057140456
ACH-000341,-0.11464330990100655
ACH-000348,-0.07985562381631192
ACH-000350,-0.10846587753382124
ACH-000352,-0.12561409609529756
ACH-000356,-0.05389110870527223
ACH-000361,0.058141975336785036
ACH-000362,-0.14243554615820125
ACH-000363,-0.08028799426919721
ACH-000364,-0.01348779804291452
ACH-000365,-0.057819901043296075
ACH-000366,-0.0685456355580941
ACH-000368,0.06087055870194659
ACH-000374,-0.18260945288136396
ACH-000375,-0.14555265187438252
ACH-000376,-0.12733926740393506
ACH-000381,-0.1593847555889414
ACH-000383,-0.1812759451490376
ACH-000387,-0.21652253649653305
