,OSM (5008)
ACH-000004,-0.11288939994097555
ACH-000005,-0.6925387936735682
ACH-000007,0.1318515994788663
ACH-000009,-0.1807304248197882
ACH-000011,-0.10097006415686413
ACH-000012,-0.16864478504641234
ACH-000013,-0.11620879917081955
ACH-000014,-0.10014679265122002
ACH-000015,-0.1355474742904323
ACH-000017,-0.07927658016326485
ACH-000018,-0.24897155237439744
ACH-000019,-0.18832728508697152
ACH-000021,-0.13884056024247576
ACH-000022,-0.008910659569076352
ACH-000025,-0.19768998870732388
ACH-000028,-0.04870756165986001
ACH-000030,-0.192199709389452
ACH-000035,-0.3926748643476231
ACH-000036,-0.2782300812807707
ACH-000037,-0.08204439495451425
ACH-000039,-0.1582361392008004
ACH-000040,-0.1453189660270066
ACH-000041,-0.3400252344867796
ACH-000042,-0.25539142207354704
ACH-000045,-0.10281580919876833
ACH-000047,-0.16738668994908318
ACH-000052,-0.20303061321441174
ACH-000053,-0.16315879518084753
ACH-000054,-0.14089153859543266
ACH-000055,-0.24479106910466736
ACH-000060,-0.3278021050750255
ACH-000067,-0.18778743164311096
ACH-000070,-0.14030857612563447
ACH-000075,-0.06032404237601316
ACH-000078,-0.0041742566195069174
ACH-000082,0.03512519101980758
ACH-000085,-0.20093753579975704
ACH-000086,0.04936878155807843
ACH-000087,-0.2190265314301854
ACH-000092,-0.36228527967278573
ACH-000095,-0.2272856957586154
ACH-000097,-0.06910093418109184
ACH-000098,-0.1703589259134909
ACH-000099,-0.0303822558610384
ACH-000108,-0.13770070884193605
ACH-000113,-0.17605369885143074
ACH-000116,-0.03133205554808147
ACH-000118,-0.1779545068268486
ACH-000120,-0.17904616412942762
ACH-000123,-0.05174642870655087
ACH-000127,-0.060092472471628064
ACH-000128,-0.14407982915328818
ACH-000132,-0.13066727803369774
ACH-000133,-0.14233760197461814
ACH-000137,-0.035510087149077545
ACH-000138,-0.019769241130851503
ACH-000142,-0.21915845243748325
ACH-000143,-0.27497891881603376
ACH-000146,-0.29168957390465633
ACH-000148,-0.03138998310171073
ACH-000150,-0.17103114170238987
ACH-000152,-0.0055999702829117644
ACH-000153,-0.08616848894617378
ACH-000159,-0.05598318849534201
ACH-000160,-0.10704347486244968
ACH-000163,-0.20920813586635226
ACH-000167,-0.2270326060833836
ACH-000168,-0.185764643025714
ACH-000169,-0.2094549388307489
ACH-000178,-0.05368241035264966
ACH-000183,-0.22974287598742996
ACH-000188,-0.206297255056686
ACH-000189,0.0040525049252521025
ACH-000190,-0.17087969818971266
ACH-000198,-0.3055572745802743
ACH-000203,0.16408562679245925
ACH-000204,-0.13793404938500267
ACH-000206,-0.2719097617455227
ACH-000207,-0.30414256340019746
ACH-000208,-0.1258559089105999
ACH-000210,-0.18673153317259364
ACH-000211,-0.02105814651505772
ACH-000215,-0.03856811996189453
ACH-000221,-0.1578415240293298
ACH-000222,-0.02559606342307327
ACH-000223,-0.13577271593203313
ACH-000226,-0.2722678384971278
ACH-000227,-0.24119521911093936
ACH-000228,-0.14382695577857216
ACH-000231,-0.15646793361811384
ACH-000232,-0.09513159276324444
ACH-000233,0.05696451998358629
ACH-000234,-0.08518357690427163
ACH-000235,-0.09328776163115148
ACH-000237,-0.15135136354908338
ACH-000238,-0.345159175958122
ACH-000242,-0.3574496749099257
ACH-000243,-0.10665735626116364
ACH-000244,-0.5784705883354989
ACH-000246,-0.10291757717545688
ACH-000248,-0.17396961074052164
ACH-000250,-0.0295590380107569
ACH-000251,-0.20430417361925696
ACH-000252,-0.05095446054378591
ACH-000253,-0.09890323123036382
ACH-000255,-0.23002882896446664
ACH-000256,-0.14913542896694207
ACH-000257,-0.3349295325036887
