,DNM1L (10059)
ACH-000004,-0.6411289568140424
ACH-000005,-0.3642368585738242
ACH-000007,-0.6185098703758481
ACH-000009,-0.3335265636944108
ACH-000011,-0.2173489237768685
ACH-000012,-0.4804603638750261
ACH-000013,-0.9179985858414428
ACH-000014,-0.4407869341256091
ACH-000015,-0.4274440714971056
ACH-000017,-1.0548873542245931
ACH-000018,-0.6026148151098288
ACH-000019,-0.5118666509037819
ACH-000021,-0.3384118041744725
ACH-000022,-0.7781479040792053
ACH-000025,-0.8009698277703265
ACH-000028,-1.0122663912829089
ACH-000030,-0.4769848894512978
ACH-000035,-0.8532740940263697
ACH-000036,-0.3431556385889147
ACH-000037,-0.3874073079844424
ACH-000039,-0.5347708709584382
ACH-000040,-0.6879589508721736
ACH-000041,-0.3846988165706043
ACH-000042,-0.7184774164929633
ACH-000045,-0.17408628962821926
ACH-000047,-1.0246119895866639
ACH-000052,-0.5677877565660431
ACH-000053,-0.3136637065669841
ACH-000054,-0.596146914833742
ACH-000055,-0.7380245203030487
ACH-000060,-0.5979514243325607
ACH-000067,-0.4402548134586383
ACH-000070,-1.1034432442281443
ACH-000075,-0.5003010071411054
ACH-000078,-0.5640203566664677
ACH-000082,-0.8290436008568882
ACH-000085,-0.6745761608621991
ACH-000086,-1.0655248695643686
ACH-000087,-0.5000039804610653
ACH-000092,-0.4986565354028416
ACH-000095,-0.24401341272651594
ACH-000097,-0.36875058006673095
ACH-000098,-0.7439675608981702
ACH-000099,-0.6242001658957563
ACH-000108,-0.7889548216852788
ACH-000113,-0.5961058348903278
ACH-000116,-0.910415203805688
ACH-000118,-0.8551864264083124
ACH-000120,-0.2617454970641243
ACH-000123,-0.6867661257410069
ACH-000127,-0.4715358514809674
ACH-000128,-0.7543225566542503
ACH-000132,-0.6479925163438083
ACH-000133,-0.7874199613972072
ACH-000137,-0.7725001162970982
ACH-000138,-0.5601273823567697
ACH-000142,-0.28162792387218705
ACH-000143,-0.5109131107013212
ACH-000146,-0.4784863447366428
ACH-000148,-0.8555133618360544
ACH-000150,-1.0327965181238132
ACH-000152,-0.5990177305689497
ACH-000153,-0.6952002835483161
ACH-000159,-0.3474053964590997
ACH-000160,-0.6083385540836141
ACH-000163,-0.5459325676691843
ACH-000167,-0.21359893533496369
ACH-000168,-0.2830709531644219
ACH-000169,-0.7451158983768925
ACH-000178,-0.4767976305153408
ACH-000183,-0.9309993144826312
ACH-000188,-0.5386780994753678
ACH-000189,-0.5503038207447756
ACH-000190,-0.7724435762996882
ACH-000198,0.10262767617241894
ACH-000203,-0.7392191336843558
ACH-000204,-0.7177440706205669
ACH-000206,-0.16155219930556786
ACH-000207,-0.5838914143482375
ACH-000208,-0.27901667735900204
ACH-000210,-0.8781764890381163
ACH-000211,-0.5971299213733163
ACH-000215,-0.5111556065382149
ACH-000221,-1.1011956853362694
ACH-000222,-0.7398873167741454
ACH-000223,-0.8269538999266859
ACH-000226,-0.6153207029008206
ACH-000227,-0.335513707694483
ACH-000228,-0.3066261475307867
ACH-000231,-0.6222738118588583
ACH-000232,-0.7293372544570417
ACH-000233,-0.39343231186844624
ACH-000234,-0.38131834851056384
ACH-000235,-0.31101369868189394
ACH-000237,-0.7042929290891347
ACH-000238,-0.5739078194652372
ACH-000242,-0.5727737959969593
ACH-000243,-0.5792668395974289
ACH-000244,-0.3115043647162675
ACH-000246,-0.8578655706676068
ACH-000248,-1.013302506322573
