,GDF5 (8200)
ACH-000168,-0.14869038585378594
ACH-000169,-0.0154251558460253
ACH-000178,0.018697405410922883
ACH-000183,-0.15875656603344873
ACH-000188,-0.05358826208841575
ACH-000189,-0.3498849862643733
ACH-000190,0.029016130547541583
ACH-000198,0.022513650514056884
ACH-000203,0.589814458902098
ACH-000204,0.11179304131027386
ACH-000206,-0.00092762544998723
ACH-000207,-0.05743129933561341
ACH-000208,-0.3594814267184229
ACH-000210,0.13587596070563268
ACH-000211,-0.04375005508720133
ACH-000215,0.0740172688801698
ACH-000221,-0.08931606390301272
ACH-000222,0.1021360953861461
ACH-000223,0.10187487038614204
ACH-000226,0.0068281350130854675
ACH-000227,-0.07751320969112041
ACH-000228,-0.1217197132399766
ACH-000231,-0.08546581217338536
ACH-000232,-0.04323274759648019
ACH-000233,0.0487620076934174
ACH-000234,-0.0038543153075714523
ACH-000235,-0.06231481414430784
ACH-000237,0.07033260113051705
ACH-000238,0.00026452461285403665
ACH-000242,-0.2880855531439097
ACH-000243,0.05673324079992562
ACH-000244,0.0595465286264199
ACH-000246,0.05989561013999796
ACH-000248,-0.14080100626578138
ACH-000250,0.10404035674694367
ACH-000251,0.1414416981809445
ACH-000252,0.0660118423435701
ACH-000253,-0.0708655532742167
ACH-000255,-0.1659926089455304
ACH-000256,0.12865524780287202
ACH-000257,0.12925001721143767
ACH-000258,0.03837002757123434
ACH-000259,-0.06802781531498006
ACH-000260,0.04395526603573428
ACH-000261,0.010168313714137041
ACH-000262,-0.02883334918591555
ACH-000263,-0.3511984187890293
ACH-000264,-0.06070016691593296
ACH-000265,-0.012938079461570572
ACH-000266,-0.02216411761752915
ACH-000272,0.07022771008388595
ACH-000274,-0.1132023897438302
ACH-000277,-0.19164270508798092
ACH-000278,0.059685107515312995
ACH-000279,0.12225751960368662
ACH-000280,-0.1544403544308915
ACH-000281,-0.1645060524942365
ACH-000288,0.08809135453503067
ACH-000291,-0.005976569251904292
ACH-000293,0.1515399497669491
ACH-000294,-0.30270634610394953
ACH-000295,-0.0009549306182825789
ACH-000296,0.2884938331117789
ACH-000302,-0.00950355551456136
ACH-000304,-0.10429985819460556
ACH-000307,-0.006251409330425028
ACH-000308,0.054406415762822236
ACH-000310,0.005209633945018391
ACH-000311,-0.052737060822064065
ACH-000312,-0.0790635538642906
ACH-000315,-0.22436221441758866
ACH-000316,-0.009648103393076259
ACH-000317,-0.03991253651926829
ACH-000318,0.09359395918739907
ACH-000319,0.05511190245702237
ACH-000320,0.07719544279177701
ACH-000322,0.05727496654565872
ACH-000323,0.12500011125461638
ACH-000324,0.04995807684151388
ACH-000329,-0.041164853013961715
ACH-000330,0.010341387932927418
ACH-000331,0.007081797661694011
ACH-000332,0.019690404846892936
ACH-000334,0.01572112095076201
ACH-000335,0.021681630082013462
ACH-000336,-0.3134795139822913
ACH-000337,0.05026024191108917
ACH-000338,-0.21342757544671886
ACH-000339,0.11871852732173682
ACH-000341,-0.06407856834053911
ACH-000348,0.07461720544866945
ACH-000350,-0.11365023404171612
ACH-000352,-0.037848568669149936
ACH-000356,0.0728789826185201
ACH-000361,-0.15784807097631656
ACH-000362,0.0017761756842059593
ACH-000363,0.11880968826870845
ACH-000364,0.10408932743766038
ACH-000365,0.049342270190499145
ACH-000366,0.005904063247852184
ACH-000368,0.2115258829814604
ACH-000374,0.03363836064706798
ACH-000375,0.06999435881831154
ACH-000376,-0.013733744869719329
ACH-000381,0.027721096158275692
ACH-000383,0.02125327333503673
ACH-000387,0.010989210117182638
ACH-000389,0.060604321347894986
ACH-000390,0.03849666235415212
ACH-000393,-0.017966108997490002
ACH-000395,-0.2782587199195193
ACH-000396,-0.04905502458779229
ACH-000397,0.037503155692209474
ACH-000401,0.10923666391466956
ACH-000402,0.13471327961742569
ACH-000403,-0.15083076966197925
ACH-000404,-0.05357385192732876
ACH-000406,0.029929838382121262
ACH-000407,-0.025560144117440804
ACH-000408,-0.2252511925352085
ACH-000410,0.04927135289057058
ACH-000411,0.06793835135953191
ACH-000414,-0.03752947917561585
ACH-000415,0.025546674364408276
