,NTPCR (84284)
ACH-000004,-0.20861119562624186
ACH-000005,0.2302965787203428
ACH-000007,0.0879559312949239
ACH-000009,-0.15169119898785938
ACH-000011,-0.2600270909665226
ACH-000012,-0.03655099170957913
ACH-000013,-0.07504498336374545
ACH-000014,-0.1297284097082416
ACH-000015,-0.038778851314032525
ACH-000017,-0.1315315459196186
ACH-000018,-0.17174842450096167
ACH-000019,-0.13792831534118213
ACH-000021,-0.16033716088164912
ACH-000022,-0.09302931598498212
ACH-000025,-0.17341989471254482
ACH-000028,0.019431519530885042
ACH-000030,-0.005564794987708113
ACH-000035,0.09881823395330676
ACH-000036,-0.035088946844064765
ACH-000037,0.07594701874363029
ACH-000039,-0.1280130804952756
ACH-000040,-0.14289037916035066
ACH-000041,-0.08236201494898693
ACH-000042,-0.1184612849022992
ACH-000045,-0.13704786636351876
ACH-000047,-0.08004444060273272
ACH-000052,-0.23392005136770516
ACH-000053,-0.09204026383569362
ACH-000054,-0.14369199579845696
ACH-000055,-0.1799356702452863
ACH-000060,-0.04813858068013383
ACH-000067,0.017197976563159363
ACH-000070,0.03655033060712621
ACH-000075,-0.0977424695520623
ACH-000078,-0.05014938489820938
ACH-000082,-0.08830935762525953
ACH-000085,-0.02364728450374653
ACH-000086,-0.04743153561798158
ACH-000087,-0.2009648962664264
ACH-000092,-0.020268074845945696
ACH-000095,-0.18132854160179016
ACH-000097,-0.058341585500182626
ACH-000098,-0.12664522340968434
ACH-000099,-0.13348785417968653
ACH-000108,-0.13080984056481773
ACH-000113,-0.2485463735400129
ACH-000116,-0.06398861660622983
ACH-000118,0.007361786862755023
ACH-000120,-0.1183559879381433
ACH-000123,0.03380688566323636
ACH-000127,-0.054519760926545625
ACH-000128,-0.03951738797379753
ACH-000132,-0.12233718011645894
ACH-000133,-0.0548124545336755
ACH-000137,0.0684294936252741
ACH-000138,-0.10360438626492674
ACH-000142,-0.08614914402860084
ACH-000143,-0.0036743091774364975
ACH-000146,-0.14059824925003778
ACH-000148,-0.12915617040174085
ACH-000150,-0.19525661583248508
ACH-000152,0.0014720116164668542
ACH-000153,0.1351037195748112
ACH-000159,-0.2049473780669727
ACH-000160,-0.04046621545455768
ACH-000163,-0.07761363750137942
ACH-000167,0.1598659156910798
ACH-000168,0.04553593853359314
ACH-000169,-0.021256414006761103
ACH-000178,-0.22763507772260244
ACH-000183,-0.13401964329560329
ACH-000188,-0.05839315056081858
ACH-000189,-0.0065905555405657386
ACH-000190,-0.1788504433522961
ACH-000198,-0.1308822825381218
ACH-000203,-0.2871310237860856
ACH-000204,-0.1802801407838653
ACH-000206,0.1623205736313415
ACH-000207,-0.020593785370403458
ACH-000208,-0.1859369341968763
ACH-000210,-0.4975613925887163
ACH-000211,-0.15170542182710678
ACH-000215,-0.06461526289848864
ACH-000221,0.059876547501883634
ACH-000222,-0.11350580430584363
ACH-000223,-0.11712662046114868
ACH-000226,-0.1425964368401708
ACH-000227,-0.03688078326139341
ACH-000228,-0.0907585052870156
ACH-000231,-0.03355895844388115
ACH-000232,-0.1242128393885739
ACH-000233,-0.30618244753659657
ACH-000234,-0.12041054039107185
ACH-000235,-0.10433187572196004
ACH-000237,-0.005164288905258128
ACH-000238,-0.1898319968555212
ACH-000242,-0.5334753083952652
ACH-000243,-0.09358445473114793
ACH-000244,0.01156757504909834
ACH-000246,-0.2461375264140263
ACH-000248,-0.04338950123294842
ACH-000250,-0.10986039252074324
ACH-000251,-0.2153533472500541
ACH-000252,-0.07204017060992106
ACH-000253,-0.1658093601931267
ACH-000255,-0.1889752633792344
ACH-000256,-0.029049952956523423
ACH-000257,-0.01658041644079356
ACH-000258,-0.2735641415713325
ACH-000259,-0.10038117876759073
ACH-000260,-0.17169169736206974
ACH-000261,-0.051431817113194896
ACH-000262,-0.1431514496414963
ACH-000263,0.04414021149419842
ACH-000264,-0.09760052185026448
ACH-000265,0.039776439213430034
ACH-000266,-0.1404684456097073
ACH-000272,-0.1354669075739829
ACH-000274,-0.12557814211367474
ACH-000277,-0.04112706448468113
ACH-000278,-0.006392390855034638
ACH-000279,-0.027095827281978874
ACH-000280,-0.11772449006603156
ACH-000281,-0.1515725919187448
ACH-000288,-0.19815191632932014
ACH-000291,-0.1500912098123127
ACH-000293,-0.06735110319978213
ACH-000294,-0.1386166465425165
ACH-000295,0.00290627376278531
ACH-000296,-0.13818316501048547
ACH-000302,-0.029409615631937638
ACH-000304,-0.1617683879759325
ACH-000307,-0.0660336217958171
ACH-000308,-0.1700592561948742
ACH-000310,-0.1329423858304096
ACH-000311,-0.2154390482812494
ACH-000312,-0.1025551280326007
ACH-000315,0.15666629015431072
ACH-000316,-0.0951353159491038
ACH-000317,-0.09762019414657164
ACH-000318,-0.028759243783150507
ACH-000319,0.025019967218111474
ACH-000320,0.03445798167147431
ACH-000322,0.1675478516964646
ACH-000323,-0.1174464786497118
ACH-000324,-0.06830016736895929
ACH-000329,-0.09086006888104443
ACH-000330,-0.08634367254859852
ACH-000331,-0.04544051933403862
ACH-000332,-0.13963873186612202
ACH-000334,-0.058327151621492365
ACH-000335,-0.05449514009322808
ACH-000336,-0.06157496419519956
ACH-000337,0.1090060511333866
ACH-000338,-0.3165108632860508
ACH-000339,-0.06326247573041219
ACH-000341,-0.23182614697847256
ACH-000348,-0.08398457076474784
ACH-000350,-0.02800009965646184
ACH-000352,-0.0844044922588498
ACH-000356,0.017149634083007327
ACH-000361,-0.2073565843632877
ACH-000362,-0.1316489435443695
ACH-000363,-0.03956275562474858
ACH-000364,-0.10306543256223884
ACH-000365,-0.10748174070982458
ACH-000366,-0.07066759336781764
ACH-000368,-0.15261790369765985
ACH-000374,-0.11088943152853163
ACH-000375,-0.13798521717718093
ACH-000376,-0.09311544887188504
ACH-000381,-0.17302698624885735
ACH-000383,-0.013361108065407412
ACH-000387,-0.08306348980495461
ACH-000389,-0.3060805287757087
ACH-000390,-0.07708529217074249
ACH-000393,-0.18642964594793154
ACH-000395,0.04443390131892504
ACH-000396,-0.008223317778642828
ACH-000397,-0.16419761508116526
ACH-000401,0.04042911611970832
ACH-000402,-0.2391459308565689
ACH-000403,-0.15838721887731316
ACH-000404,0.17186893501488226
ACH-000406,-0.10074801784758246
ACH-000407,-0.18490294622451373
ACH-000408,-0.1575848541657979
ACH-000410,-0.13085789125084565
ACH-000411,-0.17116561423981647
ACH-000414,-0.16899225415691282
ACH-000415,-0.06712490822441462
ACH-000416,-0.06648505732577137
ACH-000420,-0.08104971526884057
ACH-000421,-0.0608305862956833
ACH-000424,-0.041116018773726885
ACH-000425,-0.05385976423663809
ACH-000426,-0.16248109236792302
ACH-000427,-0.00897715482287667
ACH-000433,-0.16595779387990525
ACH-000435,-0.05011336365025596
ACH-000436,0.05197217964947665
ACH-000444,-0.20410794455742767
ACH-000445,-0.2347988532554419
ACH-000448,-0.05988566911917378
ACH-000450,0.025175493744113483
ACH-000452,-0.01873505657886913
ACH-000454,-0.21558366598072504
ACH-000458,-0.11290471202821215
ACH-000459,0.08195269138190703
ACH-000460,-0.06321551237421298
ACH-000461,0.0859433074516898
ACH-000463,-0.12574472643539078
ACH-000464,-0.1772224473256307
ACH-000466,-0.07556578251832649
ACH-000467,-0.15624901281418918
ACH-000468,-0.034962420428384766
ACH-000469,-0.13343051242157788
ACH-000470,-0.061448349977379614
ACH-000471,-0.14815683866282994
ACH-000472,-0.12367595917253688
ACH-000473,-0.2159711681315149
ACH-000475,-0.07701031401108327
ACH-000476,-0.04549803352510212
ACH-000477,-0.03256084646456912
ACH-000479,-0.03562614324259579
ACH-000480,-0.1499356668934642
ACH-000481,-0.06020163311328624
ACH-000483,-0.04579555562485264
ACH-000484,-0.4484106993749196
ACH-000485,-0.16509816757317572
ACH-000486,-0.09088048837271837
ACH-000487,-0.07949586354131101
ACH-000488,-0.09664606892118258
ACH-000490,-0.050303220676951255
ACH-000491,-0.07292298340546723
ACH-000495,-0.11819663803388615
ACH-000496,-0.05730905403235821
ACH-000499,-0.08592720359829206
ACH-000500,-0.3099356483733183
ACH-000502,-0.07171049269293818
ACH-000503,-0.2252342076143345
ACH-000505,-0.15476503400148675
ACH-000507,-0.2051225871529876
ACH-000510,-0.06762017660348403
ACH-000511,-0.137103632176015
ACH-000512,0.09911390375777336
ACH-000516,-0.0609895142288735
ACH-000517,-0.13506631818301618
ACH-000518,0.035558045438335684
ACH-000520,-0.1288494815399084
ACH-000521,-0.21041123762053052
ACH-000522,-0.09172880737859136
ACH-000524,-0.12231942572263765
ACH-000527,-0.16824757664678813
ACH-000528,-0.09116252196188984
ACH-000537,-0.19336577984908745
ACH-000541,-0.2471534836638273
ACH-000542,-0.013939910614710671
ACH-000544,-0.15817130676366395
ACH-000545,0.011471514836001857
ACH-000547,-0.35213418157520665
ACH-000548,-0.051886682542239417
ACH-000549,-0.1403605837175966
ACH-000550,-0.05882425864558941
ACH-000552,-0.11660613390639915
ACH-000556,-0.07355042355835653
ACH-000557,-0.025115504042987225
ACH-000569,-0.11067843084006114
ACH-000570,-0.048665477536354834
ACH-000571,-0.09956923178549043
ACH-000573,-0.05497186865491524
ACH-000576,-0.04395961537418376
ACH-000579,-0.2246159196670522
ACH-000580,-0.1416419978714096
ACH-000584,-0.08121961724216033
