,SLURP1 (57152)
ACH-000004,-0.07358647359569312
ACH-000005,-0.13833793501581268
ACH-000007,-0.1423394804469745
ACH-000009,-0.031097251421738806
ACH-000011,-0.07012991998738022
ACH-000012,-0.17677649626543024
ACH-000013,-0.0500059601454577
ACH-000014,0.0956658205018794
ACH-000015,0.008127717337804437
ACH-000017,-0.14981834007933875
ACH-000018,0.14067213783602606
ACH-000019,-0.2832391488568649
ACH-000021,-0.022521820818114727
ACH-000022,-0.08638866640200395
ACH-000025,-0.1427954178189757
ACH-000028,-0.1167748554490881
ACH-000030,-0.038440752619725016
ACH-000035,0.020440897515463328
ACH-000036,-0.02535623115968428
ACH-000037,-0.13067096490002966
ACH-000039,-0.05495183076413372
ACH-000040,-0.062070425699722515
ACH-000041,0.012680337109781949
ACH-000042,-0.12159130140947445
ACH-000045,-0.02849536229915609
ACH-000047,-0.18965315136594094
ACH-000052,0.01113898451085462
ACH-000053,-0.0954452735835015
ACH-000054,-0.08455672281219842
ACH-000055,-0.229988331665707
ACH-000060,-0.17564916983997164
ACH-000067,-0.2265649088711021
ACH-000070,0.058152516806012335
ACH-000075,-0.17482595746717602
ACH-000078,-0.12365327470438807
ACH-000082,0.07604675743734471
ACH-000085,-0.08359015555906593
ACH-000086,0.08762141443342635
ACH-000087,0.0635771580194043
ACH-000092,-0.060828610846646064
ACH-000095,0.055442183169327634
ACH-000097,-0.15004535616085068
ACH-000098,-0.1385952839600891
ACH-000099,-0.08659353629437991
ACH-000108,-0.11046916774410402
ACH-000113,0.021535122366063014
ACH-000116,-0.08833048348091946
ACH-000118,-0.1160749523619598
ACH-000120,-0.026477316296040613
ACH-000123,-0.16070343541480642
ACH-000127,-0.02628789186823523
ACH-000128,-0.08701442440985703
ACH-000132,0.10055902074101816
ACH-000133,0.01254209539891875
ACH-000137,-0.03751213416577867
ACH-000138,-0.07008848061716348
ACH-000142,-0.04492560393898009
ACH-000143,-0.056344809212350064
ACH-000146,-0.01593850173865675
ACH-000148,-0.06630056235771717
ACH-000150,-0.4245976351332618
ACH-000152,-0.08864730668565836
ACH-000153,-0.3546642659907693
ACH-000159,-0.03394998328645732
ACH-000160,0.01637127644637205
ACH-000163,-0.0773331043893026
ACH-000167,-0.3784037385148877
