,TIMM8B (26521)
ACH-000004,-0.1417795925467031
ACH-000005,-0.3842778047318397
ACH-000007,-0.3255435295748917
ACH-000009,-0.12141116821493785
ACH-000011,-0.4451447619033953
ACH-000012,-0.2447011524021095
ACH-000013,-0.19356915862647125
ACH-000014,-0.1020927019083147
ACH-000015,-0.05985947559416424
ACH-000017,-0.23458218134152364
ACH-000018,-0.2134238662934801
ACH-000019,-0.2326156712951275
ACH-000021,-0.14752716488152265
ACH-000022,-0.28829598855148264
ACH-000025,-0.1818664934869337
ACH-000028,-0.23645368441516995
ACH-000030,0.03391622675689586
ACH-000035,-0.09940225790079342
ACH-000036,-0.037979916991217534
ACH-000037,-0.4448018183504493
ACH-000039,-0.23026036231030256
ACH-000040,-0.28101425587826
ACH-000041,-0.32170329999930913
ACH-000042,-0.17062444894104806
ACH-000045,-0.21409145477798447
ACH-000047,-0.2250631804954996
ACH-000052,-0.5653659944022847
ACH-000053,-0.2673871779901643
ACH-000054,-0.24456333618725706
ACH-000055,-0.14209544872213187
ACH-000060,-0.21835074322906609
ACH-000067,-0.1181539245194178
ACH-000070,-0.31291406397117066
ACH-000075,-0.11665893890094192
ACH-000078,-0.14398834284120507
ACH-000082,-0.3301448401797589
ACH-000085,-0.16081953172779662
ACH-000086,-0.27495414444225275
ACH-000087,-0.2674374248640027
ACH-000092,-0.11611442544212405
ACH-000095,-0.21627837707348307
ACH-000097,-0.036339524546945424
ACH-000098,-0.17163091597319596
ACH-000099,-0.11620464959102318
ACH-000108,-0.3450836239172439
ACH-000113,-0.31578978539659786
ACH-000116,-0.2564073731992471
ACH-000118,-0.3731483226215129
ACH-000120,-0.2089042671027265
ACH-000123,0.02023496502230304
ACH-000127,-0.21889943737717488
ACH-000128,-0.17459913030547425
ACH-000132,-0.3295212834418214
ACH-000133,-0.15980885155328592
ACH-000137,-0.2920536554911089
ACH-000138,-0.2501735582589372
ACH-000142,-0.150767360144915
ACH-000143,-0.2402894303937599
ACH-000146,-0.2566388284003587
ACH-000148,-0.06050607935160447
ACH-000150,-0.06683429591920546
ACH-000152,-0.13291130263343273
ACH-000153,-0.3386583802278509
ACH-000159,-0.13632275328182386
ACH-000160,-0.1317325063791703
ACH-000163,0.03169068076284733
ACH-000167,0.060729104225780775
ACH-000168,-0.19476377096027292
ACH-000169,-0.2411530461865248
ACH-000178,-0.1796901252411829
ACH-000183,-0.26931167145163765
ACH-000188,-0.2906277507197073
ACH-000189,-0.08320503190762228
ACH-000190,-0.09198960826269972
ACH-000198,-0.13513638414194734
ACH-000203,-0.5410995905187853
ACH-000204,-0.241896120303948
ACH-000206,-0.13566654353966293
ACH-000207,-0.2637910998389543
ACH-000208,-0.006973091272192488
ACH-000210,-0.22938163526367855
ACH-000211,-0.050675302595400235
ACH-000215,-0.20584417614990846
ACH-000221,-0.09254963638940586
ACH-000222,-0.28941359488397417
ACH-000223,-0.22811530978810984
ACH-000226,-0.08615634112338848
ACH-000227,-0.2301737617108877
ACH-000228,-0.03045332784476773
ACH-000231,-0.1981452988315166
ACH-000232,-0.10827983122548038
ACH-000233,-0.1002053839938336
ACH-000234,-0.4320486652944811
ACH-000235,-0.1423890163801565
ACH-000237,-0.10918588140488106
ACH-000238,-0.0453911773475678
ACH-000242,-0.02577703970197073
ACH-000243,-0.11255752833821467
ACH-000244,-0.3298025937318583
ACH-000246,-0.0910682810773908
ACH-000248,-0.2324969876367929
ACH-000250,-0.17013729854738546
ACH-000251,-0.16835462018049022
ACH-000252,-0.0486157158690083
ACH-000253,-0.3391558924397097
ACH-000255,-0.35778688489586125
ACH-000256,-0.4781856770819473
ACH-000257,0.07385921415505707
ACH-000258,-0.05413541886212219
ACH-000259,-0.26475403669644065
ACH-000260,-0.2218807633143341
ACH-000261,-0.10585687860258776
ACH-000262,-0.10437060162974056
ACH-000263,-0.18094621404015032
ACH-000264,-0.17135503192660087
ACH-000265,-0.11400983242464965
ACH-000266,-0.2282137069467416
ACH-000272,-0.13604343366659338
ACH-000274,-0.20422149594266728
ACH-000277,-0.29032847561435193
ACH-000278,-0.2961594152820541
ACH-000279,-0.08153490749828175
ACH-000280,-0.0747859277661258
ACH-000281,-0.40116161019328017
ACH-000288,-0.2845106276523681
ACH-000291,-0.23684098197288486
ACH-000293,-0.4492656412684105
ACH-000294,-0.029143123823082238
