,APOE (348)
ACH-000004,-0.1447751472379838
ACH-000005,-0.04082777973230462
ACH-000007,0.006807563075750121
ACH-000009,-0.07773141850956522
ACH-000011,0.05969665996583725
ACH-000012,-0.12909630790414092
ACH-000013,-0.18424450137309115
ACH-000014,-0.2085004260353236
ACH-000015,-0.0702012437873625
ACH-000017,-0.09303806066833828
ACH-000018,-0.02300016680334738
ACH-000019,-0.2360719702008712
ACH-000021,-0.12331008230894228
ACH-000022,-0.022658491213233867
ACH-000025,0.11186576610767453
ACH-000028,-0.12817393062117674
ACH-000030,-0.16310438854708004
ACH-000035,-0.04742514671229905
ACH-000036,-0.11439703818749472
ACH-000037,-0.028910153744778982
ACH-000039,-0.18884654594576872
ACH-000040,0.0477897833541065
ACH-000041,0.09554674813011284
ACH-000042,-0.09762762907380693
ACH-000045,-0.09392840468512102
ACH-000047,-0.02382268826231191
ACH-000052,0.010535606184867704
ACH-000053,-0.2265448179991185
ACH-000054,-0.11209774315515293
ACH-000055,0.046265359653287715
ACH-000060,-0.06502939736674243
ACH-000067,-0.03704801863791517
ACH-000070,-0.018133455269093646
ACH-000075,-0.21869087577012047
ACH-000078,-0.02990449897281458
ACH-000082,-0.01597438180903805
ACH-000085,-0.03187201871879571
ACH-000086,-0.10173578893059934
ACH-000087,-0.05550596701461388
ACH-000092,-0.261206270201348
ACH-000095,-0.12567201164599068
ACH-000097,-0.17086319839594566
ACH-000098,-0.16229514127055975
ACH-000099,-0.1871258690886704
ACH-000108,-0.15032532543826999
ACH-000113,-0.00983211325582332
ACH-000116,-0.027361674137484488
ACH-000118,-0.2392783487827253
ACH-000120,-0.13281329238711115
ACH-000123,-0.10403046949248526
ACH-000127,-0.045306544871005286
ACH-000128,-0.11430119905374712
ACH-000132,-0.14895487087676162
ACH-000133,-0.14875649432408145
ACH-000137,-0.139823359451051
ACH-000138,0.004592213762271415
ACH-000142,-0.12897152425222366
ACH-000143,-0.3016132978253008
ACH-000146,-0.11299351585176215
ACH-000148,-0.07406682755891618
ACH-000150,0.061095368324856285
ACH-000152,-0.14151805281597093
ACH-000153,-0.11242478768360116
ACH-000159,-0.017375267801631757
ACH-000160,-0.12512453342364072
ACH-000163,-0.18275256349402652
ACH-000167,-0.019289105892344824
ACH-000168,-0.0992249169166999
ACH-000169,-0.07621152238496268
ACH-000178,-0.17869905769057146
ACH-000183,-0.07880499158156609
ACH-000188,0.009208274719734651
ACH-000189,0.047354915050563884
ACH-000190,-0.02075759946297703
ACH-000198,-0.0384589401188994
ACH-000203,-0.2322114816022569
ACH-000204,-0.30633701895485993
ACH-000206,-0.0812400162968976
