,TIMM17A (10440)
ACH-000004,-0.21181864694631256
ACH-000005,-0.10289302005874912
ACH-000007,-0.15359191577615852
ACH-000009,-0.14109999404368798
ACH-000011,0.04861268207762296
ACH-000012,-0.4135019957334104
ACH-000013,-1.0859313071709982
ACH-000014,-0.2742316918121681
ACH-000015,-0.1907541209831875
ACH-000017,-0.29122723466678485
ACH-000018,-0.4050917202461054
ACH-000019,-0.12290955098562414
ACH-000021,-0.26462609920559904
ACH-000022,-0.3901706732835817
ACH-000025,-0.7136236091773119
ACH-000028,-0.22374260688156875
ACH-000030,-0.4570388813130322
ACH-000035,-0.2090154308589524
ACH-000036,-0.3401563810764432
ACH-000037,-0.14974441357865675
ACH-000039,-0.2780613194149878
ACH-000040,-0.3896821047035968
ACH-000041,-0.20111555819329788
ACH-000042,-0.23853076535476014
ACH-000045,-0.3104373799157331
ACH-000047,-0.0949170997641841
ACH-000052,-0.29190630585567684
ACH-000053,-0.2445478396117257
ACH-000054,-0.4809038272575429
ACH-000055,-0.28406926213565353
ACH-000060,-0.09985007717765797
ACH-000067,-0.32504997462929336
ACH-000070,-0.3738566099691613
ACH-000075,-0.29986950977394605
ACH-000078,-0.08117619461705451
ACH-000082,-0.1375052642810369
ACH-000085,-0.3163277836018738
ACH-000086,-0.4429850757499292
ACH-000087,-0.30227368851916536
ACH-000092,-0.2897453330008682
ACH-000095,-0.1599971887675629
ACH-000097,-0.16125656012729145
ACH-000098,-0.2346495675346836
ACH-000099,-0.08227598918942511
ACH-000108,-0.16122366008498365
ACH-000113,-0.5843425997243584
ACH-000116,-0.3615519251479021
ACH-000118,-0.061045858596696825
ACH-000120,-0.1433685891325184
ACH-000123,-0.10695686585801063
ACH-000127,-0.05820059602473473
ACH-000128,-0.4637795128977539
ACH-000132,-0.3089633346007771
ACH-000133,-0.3801359585367155
ACH-000137,-0.12771354014801692
ACH-000138,-0.42778252890983776
ACH-000142,-0.4912858664410845
ACH-000143,-0.30630767246442525
ACH-000146,-0.24038183056097875
ACH-000148,-0.6391289110228285
ACH-000150,-0.02463972464643284
ACH-000152,-0.22026200191560985
ACH-000153,-0.42778358098190394
ACH-000159,-0.23805548580953756
ACH-000160,-0.5131807806921261
ACH-000163,-0.9078302616723276
ACH-000167,-0.811817778364833
ACH-000168,-0.004377187249556591
ACH-000169,-0.35097700317034997
ACH-000178,-0.20379886102598013
ACH-000183,-0.13290483466779726
ACH-000188,-0.9459893583800616
ACH-000189,-0.15390063241959592
ACH-000190,-0.35149747204497866
ACH-000198,-0.08074157221406242
ACH-000203,-0.2660930863000384
ACH-000204,-0.3954994041244474
ACH-000206,-0.1894341352436872
ACH-000207,-0.4617492643204152
ACH-000208,-0.3503132216256691
ACH-000210,-0.4063352011372326
ACH-000211,-0.21181407384497614
ACH-000215,-0.16090874898340726
ACH-000221,-0.9759606120295188
ACH-000222,-0.25405494777125665
ACH-000223,-0.4689641349862082
ACH-000226,-0.20476156955962385
ACH-000227,-0.3441580717873902
ACH-000228,-0.2566779355580666
ACH-000231,-0.1208690683115842
ACH-000232,-0.4760433349466279
ACH-000233,-0.34711539872477243
ACH-000234,-0.23657138473025055
ACH-000235,-0.21463850113542635
ACH-000237,-0.02589285480419236
ACH-000238,-0.33925400404866696
ACH-000242,-0.031397541366268884
ACH-000243,-0.22040256622383608
ACH-000244,-0.17232667330179258
ACH-000246,-0.07088463296922462
ACH-000248,-0.34723658446256994
ACH-000250,-0.17624601888852715
ACH-000251,-0.2783389255919225
ACH-000252,-0.18857135154553792
ACH-000253,-0.1788634936996567
ACH-000255,-0.8049843636113831
ACH-000256,-0.04765730520173296
ACH-000257,-0.2776686532786364
ACH-000258,-0.3926657691906504
ACH-000259,-0.2357899945042964
ACH-000260,-0.12503631546799945
ACH-000261,-0.15861199845146873
ACH-000262,-0.19415745727679928
ACH-000263,-0.1689632515390823
ACH-000264,-0.30550004508407463
ACH-000265,-0.09888537402857862
ACH-000266,-0.2439870862775869
ACH-000272,-0.2773259102322377
ACH-000274,-0.27278111585503684
ACH-000277,-0.10960379534281944
ACH-000278,0.031116165394415325
ACH-000279,-0.23626766430592835
ACH-000280,-0.2493393361838576
ACH-000281,-0.3174356826819039
ACH-000288,-0.25689564508385104
ACH-000291,-0.17919725840416892
ACH-000293,-0.30212435814241884
ACH-000294,-0.5149918853042559
ACH-000295,-0.4753890070894437
ACH-000296,0.07256436522752391
ACH-000302,-0.28922276870764874
ACH-000304,-0.16417046964013826
ACH-000307,-0.2485059548803712
ACH-000308,-0.32317475548940544
ACH-000310,-0.2511877159841972
ACH-000311,-0.2891051769905568
ACH-000312,-0.17885391095223252
ACH-000315,-0.1528927743463125
ACH-000316,-0.32025527831456857
ACH-000317,-0.6002589366727271
ACH-000318,-0.5129741449850057
ACH-000319,-0.1405099774001289
ACH-000320,-0.4405328389658629
ACH-000322,-0.2693272014920045
ACH-000323,-1.0164767497864788
ACH-000324,-0.20487060325823472
ACH-000329,-0.24717684386360536
ACH-000330,-0.3158572955000936
ACH-000331,-0.4288352691740919
ACH-000332,-0.19850259945687404
ACH-000334,-0.23121441691716754
ACH-000335,-0.7626698731616977
ACH-000336,-0.5527533938972102
ACH-000337,-0.3564136420302101
ACH-000338,-0.9799636662609196
ACH-000339,-0.12944168927243854
ACH-000341,-0.3018510123733795
ACH-000348,-0.21690554190314834
ACH-000350,-0.32187695524882765
ACH-000352,-0.03485655487662124
ACH-000356,-0.34530109683848553
ACH-000361,-0.3246615375145202
ACH-000362,-0.33186159444983315
ACH-000363,-0.14362069628157814
ACH-000364,-0.3014419490142952
ACH-000365,-0.4154931671038814
ACH-000366,-0.17998349605232916
ACH-000368,-0.05691056258407207
ACH-000374,-1.104958790762783
ACH-000375,0.17396621092595793
ACH-000376,-0.27089497668238416
ACH-000381,-0.1961933837966004
ACH-000383,-0.1952736461297893
ACH-000387,-0.6481052474288755
ACH-000389,-0.24845074130266503
ACH-000390,-1.0519849007369435
ACH-000393,-0.2291423694466153
ACH-000395,-0.2933909230550875
ACH-000396,-0.2739395737963413
ACH-000397,-0.14144711945780672
ACH-000401,-0.3451387059779623
ACH-000402,-0.12016302748343352
ACH-000403,-0.3557052857336023
ACH-000404,-0.8127904211422808
ACH-000406,-0.19638516286459226
ACH-000407,-0.1987695512750826
ACH-000408,-0.6903837364789158
ACH-000410,-0.2420364142379164
ACH-000411,-0.1555178829626742
ACH-000414,-0.22449935623143602
ACH-000415,-0.8419004928702121
ACH-000416,-0.12627382896937225
ACH-000420,-0.1388779546370773
ACH-000421,-0.33864180813232586
ACH-000424,-0.552044415489755
ACH-000425,-0.3341624857976229
ACH-000426,-0.15039158059680652
ACH-000427,-0.3374825115103888
ACH-000433,-0.3617662743970728
ACH-000435,-0.476396896324196
ACH-000436,-0.12710512616280742
ACH-000444,-0.8785662368187664
ACH-000445,-0.1268583777659147
ACH-000448,-0.33767896632409194
ACH-000450,-0.6541871756586124
ACH-000452,-0.7730175516505855
ACH-000454,-0.9585474009166479
