,PPIE (10450)
ACH-000004,-0.6245188953188462
ACH-000005,-0.4849886461520808
ACH-000007,-0.42037942381838506
ACH-000009,-0.7612229009950084
ACH-000011,-0.6653148906582568
ACH-000012,-0.6315317284098777
ACH-000013,-0.5266565406005039
ACH-000014,-0.6690433622337991
ACH-000015,-0.6607219348822426
ACH-000017,-0.6512121705622419
ACH-000018,-0.6000814676732532
ACH-000019,-0.6260426557594959
ACH-000021,-0.6513498930898386
ACH-000022,-0.6642886084427059
ACH-000025,-0.6176785222601588
ACH-000028,-0.6422273756678323
ACH-000030,-0.6965197607434588
ACH-000035,-0.7777789019994182
ACH-000036,-0.7097364925793945
ACH-000037,-0.7648868749943358
ACH-000039,-0.6182969971390523
ACH-000040,-0.6026027787452254
ACH-000041,-0.7328760042033522
ACH-000042,-0.7003967914926799
ACH-000045,-0.32565519254995
ACH-000047,-0.6239662663178265
ACH-000052,-0.7119172280367213
ACH-000053,-0.738896206123139
ACH-000054,-0.526223671379668
ACH-000055,-0.421809901992373
ACH-000060,-0.8630503396369589
ACH-000067,-0.7381833276913862
ACH-000070,-0.449878019440149
ACH-000075,-0.4831461393419436
ACH-000078,-0.44693054852560377
ACH-000082,-0.5313090093251218
ACH-000085,-0.5996346793621059
ACH-000086,-0.7527029327156042
ACH-000087,-0.5158738256689074
ACH-000092,-1.0468105039085494
ACH-000095,-0.5223976228543936
ACH-000097,-0.6553096331256687
ACH-000098,-0.6762268411460545
ACH-000099,-0.8478857946484406
ACH-000108,-0.5835359543699933
ACH-000113,-0.5124213620309991
ACH-000116,-0.4575680268194593
ACH-000118,-0.6401662159912127
ACH-000120,-0.6689619946355966
ACH-000123,-0.6626550526603651
ACH-000127,-0.7579908650275848
ACH-000128,-0.6262243280511479
ACH-000132,-0.5866349173282057
ACH-000133,-0.5344024587388714
ACH-000137,-0.4510387101784537
ACH-000138,-0.5913557604943215
ACH-000142,-0.7057018555622205
ACH-000143,-0.6554599739188457
ACH-000146,-0.3242953079609837
ACH-000148,-0.542277309278394
ACH-000150,-0.8898138690662385
ACH-000152,-0.6689461111607075
ACH-000153,-0.5785645434592827
ACH-000159,-0.6121906133931125
ACH-000160,-0.9297209541006836
ACH-000163,-0.4953790508581167
