,SAMD4B (55095)
ACH-000004,-0.04828101232568897
ACH-000005,-0.3023882534990371
ACH-000007,-0.8135413857925259
ACH-000009,-0.4431777280121336
ACH-000011,-0.4717246059470906
ACH-000012,-0.22678029025138585
ACH-000013,-0.7012638756477556
ACH-000014,-0.11173326562536688
ACH-000015,-0.4367934271428746
ACH-000017,-0.7423231410383258
ACH-000018,-0.4386736363552042
ACH-000019,-0.3817949786336268
ACH-000021,-0.1816289095480611
ACH-000022,-0.6524597647318775
ACH-000025,-0.15301808688765406
ACH-000028,-0.20952873601290475
ACH-000030,-0.536135432173266
ACH-000035,-0.6107856819168227
ACH-000036,-0.5823549575056837
ACH-000037,-0.032555806418774265
ACH-000039,-0.17882125886113706
ACH-000040,-0.23973816645621426
ACH-000041,-0.3530603043120937
ACH-000042,-0.2919270178173471
ACH-000045,-0.3566903330694028
ACH-000047,-0.4050696836809147
ACH-000052,-0.4536188298876034
ACH-000053,-0.16827407506551725
ACH-000054,-0.2989515070430204
ACH-000055,-0.19899768094221645
ACH-000060,-0.2984318622677039
ACH-000067,-0.09885616659582387
ACH-000070,-0.2146243701949421
ACH-000075,-0.07025132855472847
ACH-000078,-0.2360221594728506
ACH-000082,-0.07035751280554127
ACH-000085,-0.14885939583604735
ACH-000086,-0.20589411005732694
ACH-000087,-0.4232502979315086
ACH-000092,-0.2623422374015631
ACH-000095,-0.3224767440771454
ACH-000097,-0.8765172976293802
ACH-000098,-0.5668488490732235
ACH-000099,-0.2353636440646961
ACH-000108,-0.08242285144120376
ACH-000113,-0.3017760815599493
ACH-000116,-0.4411334831051497
ACH-000118,-0.11663436771223586
ACH-000120,-0.2576854140922151
ACH-000123,-0.039191957014090825
ACH-000127,-0.4064631909850554
ACH-000128,-0.3363473559469021
ACH-000132,-0.169847009237975
ACH-000133,-0.3018906080928161
ACH-000137,-0.6043483043567517
ACH-000138,-0.23425525488606244
ACH-000142,-0.42922249243335897
ACH-000143,-0.541351280310805
ACH-000146,-0.5804504808238816
ACH-000148,-0.1990557771016096
ACH-000150,-0.20947310567445251
ACH-000152,-0.3628350493551133
ACH-000153,-0.2961032037629074
ACH-000159,-0.2389468462716711
ACH-000160,-0.3639496829532579
ACH-000163,-0.2708931969090981
ACH-000167,-0.5070447960685677
ACH-000168,-0.5172552882982473
ACH-000169,-0.21948687434165265
ACH-000178,-0.399637854718038
ACH-000183,-0.2506751996292126
ACH-000188,-0.16176062189717366
ACH-000189,-0.5231976082923433
ACH-000190,-0.2100906579467542
ACH-000198,-0.2813011378309009
ACH-000203,-0.5861677331037931
ACH-000204,-0.17491276406056372
ACH-000206,-0.041720329068881526
ACH-000207,-0.26855448020906364
ACH-000208,-0.04380728834504417
ACH-000210,-0.28454063122406464
ACH-000211,-0.13659904604167367
ACH-000215,-0.23305469058053496
ACH-000221,-0.2173682022328885
ACH-000222,-0.9694867120388774
ACH-000223,-0.3444239922269642
ACH-000226,-0.11231282809732854
ACH-000227,-0.15200843187280075
ACH-000228,0.019036789078888627
ACH-000231,-0.13726230641061274
ACH-000232,-0.3311288043657524
ACH-000233,-0.01979111975543041
ACH-000234,-0.33754965831377043
ACH-000235,-0.20334245389149225
ACH-000237,-0.26354599930283024
ACH-000238,-0.17926029293735318
ACH-000242,0.000369227300640408
ACH-000243,-0.3217389766873072
ACH-000244,-0.4484278285948137
ACH-000246,-0.3518742661978879
ACH-000248,-0.3976079333658473
ACH-000250,-0.26764129337981474
ACH-000251,-0.379833720093024
ACH-000252,-0.7961506492957924
ACH-000253,-0.6273516977956949
ACH-000255,-0.029781728859911507
ACH-000256,-0.18953061129895574
ACH-000257,-0.15990327707863766
ACH-000258,-1.0191583940303115
ACH-000259,-0.1825316650573437
ACH-000260,-0.31482880612232594
ACH-000261,-0.2670822786206225
ACH-000262,-0.6650328828453146
ACH-000263,-0.5818043678012842
ACH-000264,-0.1356721799682761
ACH-000265,-0.17733085266717305
ACH-000266,-0.2703281440267586
ACH-000272,-0.26218477445736543
ACH-000274,-0.28944984774467075
ACH-000277,-0.5671880865013429
ACH-000278,-0.18531574895029224
ACH-000279,-0.3194622037419885
ACH-000280,-0.4776950844842451
ACH-000281,-0.4059331401499431
ACH-000288,-0.2605602465320143
ACH-000291,-0.6224138279589295
ACH-000293,-0.12578784736308993
ACH-000294,-0.6398161019496083
ACH-000295,0.02571427641289416
ACH-000296,-0.2169404843355309
ACH-000302,-0.4118189163910443
ACH-000304,-0.11510200897596075
