,RTTN (25914)
ACH-000004,-0.8495185304942394
ACH-000005,-0.5746815144959405
ACH-000007,-0.7880950208819365
ACH-000009,-0.8494896555908449
ACH-000011,-0.6527798285733403
ACH-000012,-0.7225472074453525
ACH-000013,-0.8736412729980291
ACH-000014,-0.6084024191297266
ACH-000015,-0.7677057555687213
ACH-000017,-0.5873623140115966
ACH-000018,-0.8093200683158928
ACH-000019,-0.7540779499035272
ACH-000021,-0.2952762996656926
ACH-000022,-0.5636343850358337
ACH-000025,-0.5224142535164077
ACH-000028,-0.8351300908965058
ACH-000030,-0.6207732918778816
ACH-000035,-0.5995093392902506
ACH-000036,-0.7542681551178799
ACH-000037,-0.6369561337168466
ACH-000039,-0.5559181184011862
ACH-000040,-0.3870462508441421
ACH-000041,-0.5458116268130283
ACH-000042,-0.6080701896650924
ACH-000045,-0.3722394830227743
ACH-000047,-0.5445906075127311
ACH-000052,-0.4422545201270365
ACH-000053,-0.7285891013808854
ACH-000054,-0.44268654154242415
ACH-000055,-0.9533328392164035
ACH-000060,-0.5703704155794251
ACH-000067,-0.5569637185578412
ACH-000070,-0.7663271647666716
ACH-000075,-0.3693672099035835
ACH-000078,-0.9676834288242022
ACH-000082,-0.6033000487178227
ACH-000085,-0.7153097399845955
ACH-000086,-0.6560697773132436
ACH-000087,-0.7839202565229063
ACH-000092,-0.4067629153995721
ACH-000095,-0.7220300624166424
ACH-000097,-0.6106632419206287
ACH-000098,-0.6481794210961873
ACH-000099,-0.7568030655400189
ACH-000108,-0.6508162289937699
ACH-000113,-0.5562496307361786
ACH-000116,-0.577996929650005
ACH-000118,-0.4305203576608492
ACH-000120,-0.8422096467786746
ACH-000123,-0.6503506136669349
ACH-000127,-0.6316330731658807
ACH-000128,-0.6432474134753647
ACH-000132,-0.7554624087587063
ACH-000133,-0.5420975569704511
ACH-000137,-0.7036686889589181
ACH-000138,-0.5990700903545522
ACH-000142,-0.5186213447261248
ACH-000143,-0.6452856988336487
ACH-000146,-0.22635596923907444
ACH-000148,-0.5830704268997848
ACH-000150,-0.4756657282752019
ACH-000152,-0.4482397370120649
ACH-000153,-0.9615895375639348
ACH-000159,-0.7114391076177171
ACH-000160,-0.7154420099562445
ACH-000163,-0.4990593251774522
ACH-000167,-0.17372805844721653
ACH-000168,-0.26800243571075816
ACH-000169,-0.8144351777752056
ACH-000178,-0.4844467873043339
ACH-000183,-0.6318411068084141
ACH-000188,-0.6447283650803458
ACH-000189,-0.8716749085025042
ACH-000190,-0.8692813397514338
ACH-000198,-0.6605694859760273
ACH-000203,-0.9152243045806386
ACH-000204,-0.7094090796916921
ACH-000206,-0.7341148282141857
ACH-000207,-0.5251744047583576
ACH-000208,-0.8175242230366535
ACH-000210,-0.5210362357919723
ACH-000211,-0.8715153151305537
ACH-000215,-0.6337649885102836
ACH-000221,-0.8661427316540504
ACH-000222,-0.4488931470926612
ACH-000223,-0.6085090793312211
ACH-000226,-0.7519719757534461
ACH-000227,-0.5911363903983707
ACH-000228,-0.5701322696614726
ACH-000231,-0.5991235421534755
ACH-000232,-0.9163243982758156
ACH-000233,-0.6854243068668608
ACH-000234,-0.821570223017391
ACH-000235,-0.6902838614513086
ACH-000237,-0.8802721849699345
ACH-000238,-0.9321960326607056
ACH-000242,-0.41973558675061895
ACH-000243,-0.7133269433223305
ACH-000244,-0.3883175147032848
ACH-000246,-0.9126015984610556
ACH-000248,-0.4957223863529868
ACH-000250,-0.9783867313614172
ACH-000251,-0.517424912747052
ACH-000252,-1.0603629424212286
ACH-000253,-0.8259994189831763
ACH-000255,-0.6919471898262396
ACH-000256,-0.6006510205227704
ACH-000257,-0.23097494503645735
ACH-000258,-0.7757025846357759
ACH-000259,-0.6341941953616079
ACH-000260,-0.8158923334169055
ACH-000261,-0.20481523900492396
ACH-000262,-0.6543540997348363
ACH-000263,-0.8038420675751622
ACH-000264,-0.6051363964710179
ACH-000265,-0.6276273207678219
ACH-000266,-0.5738921622118569
ACH-000272,-0.7094684549717888
ACH-000274,-0.6807615721439609
ACH-000277,-0.2890394168476574
ACH-000278,-0.7919033205717202
ACH-000279,-0.7231212819136106
ACH-000280,-0.6688180649787677
ACH-000281,-1.1591636582347928
ACH-000288,-0.4455680428805767
ACH-000291,-0.9016078133950736
ACH-000293,-0.4860666450459312
ACH-000294,-0.7689459319357742
ACH-000295,-0.5515650516956989
ACH-000296,-0.7180722848372294
ACH-000302,-0.7300311439219523
ACH-000304,-0.5054550773751267
ACH-000307,-1.0225944555221014
ACH-000308,-1.0376002508506836
ACH-000310,-0.8665630725380519
ACH-000311,-0.6763427516239936
ACH-000312,-0.9794757086409054
ACH-000315,-0.29768998455218937
ACH-000316,-0.6735409701597979
ACH-000317,-0.7821052078615062
ACH-000318,-0.6103712840422204
ACH-000319,-0.592382113025734
ACH-000320,-0.5143043441690855
ACH-000322,-0.5823785036904979
ACH-000323,-0.6493276790745949
ACH-000324,-0.6156674861223741
ACH-000329,-0.2738363357510601
ACH-000330,-0.8470246925341806
ACH-000331,-0.8278801221932258
ACH-000332,-0.8087586925117078
ACH-000334,-0.4927497082799687
ACH-000335,-0.5385695858776172
ACH-000336,-0.6101085573515392
ACH-000337,-0.7671269855842299
ACH-000338,-0.7165659048927244
ACH-000339,-0.3406724616610214
ACH-000341,-0.7450098322607359
ACH-000348,-0.30122423319216274
ACH-000350,-0.6357133089080861
ACH-000352,-0.7419053053554341
ACH-000356,-0.7794072084552761
ACH-000361,-0.5477527337028324
ACH-000362,-0.18737042865842066
ACH-000363,-0.5954524193053893
ACH-000364,-0.6004359559026102
ACH-000365,-0.6457128622053244
ACH-000366,-0.968280192096774
ACH-000368,-0.513154804674479
ACH-000374,-0.8550913081165279
ACH-000375,-0.4242649833082446
ACH-000376,-0.470014711609682
ACH-000381,-0.9608272360493142
ACH-000383,-0.5521732155770215
ACH-000387,-0.912022682924899
ACH-000389,-0.5567607306886168
ACH-000390,-1.0841113344807172
ACH-000393,-0.4696185957898657
ACH-000395,-0.3852994866963769
ACH-000396,-0.5679581995835858
ACH-000397,-0.6249939555418769
ACH-000401,-0.6216796776265834
ACH-000402,-0.4017139888431122
ACH-000403,-0.5329329623395244
ACH-000404,-0.5167972044939119
ACH-000406,-0.4556168953828463
ACH-000407,-0.918160642547697
ACH-000408,-0.6273141587344393
ACH-000410,-0.6579943010161752
ACH-000411,-0.5746707607750965
ACH-000414,-0.504541292494521
ACH-000415,-0.5607031078298795
ACH-000416,-0.8381772635775787
ACH-000420,-0.7891168230643434
ACH-000421,-0.7427138479350377
ACH-000424,-0.7932160832779266
ACH-000425,-0.6024943978180007
ACH-000426,-0.5387794182181239
ACH-000427,-0.7577005175937481
ACH-000433,-0.5845085169630548
ACH-000435,-0.6170706220911429
ACH-000436,-0.38256461348099796
ACH-000444,-0.6950423719583041
ACH-000445,-0.6893839113735122
ACH-000448,-0.7259589013633574
ACH-000450,-0.5134579517592447
ACH-000452,-0.7074507212280359
ACH-000454,-0.7166105587076824
ACH-000458,-0.7801060649031232
ACH-000459,-0.6220891581403951
ACH-000460,-0.8541873544813827
ACH-000461,-0.8219257770114544
ACH-000463,-0.8863507516394391
ACH-000464,-0.4832024018477316
ACH-000466,-0.6885332789930563
ACH-000467,-0.8359919735467893
ACH-000468,-0.7335808024724892
ACH-000469,-0.4682916818713226
ACH-000470,-0.5808342717705567
ACH-000471,-0.998979250906038
ACH-000472,-0.6062762646074392
ACH-000473,-0.9962713620401472
ACH-000475,-1.1522960547608028
ACH-000476,-0.4392928705162409
ACH-000477,-0.6305828448036037
ACH-000479,-0.535481177382347
ACH-000480,-1.047596697561329
ACH-000481,-0.5522486790707695
ACH-000483,-0.5630892203723418
ACH-000484,-0.5409639447282213
ACH-000485,-0.8247262774749851
ACH-000486,-0.5802607779098954
ACH-000487,-0.7029243134456411
ACH-000488,-0.4068251824991906
ACH-000490,-0.7321240144382973
ACH-000491,-0.5447344506064113
ACH-000495,-0.5551439691916125
ACH-000496,-0.6171963136560239
ACH-000499,-0.9947711900713412
ACH-000500,-0.6654650229043524
ACH-000502,-0.6265826994813198
ACH-000503,-0.5368087943375147
ACH-000505,-0.7169563298995678
ACH-000507,-1.0023085552632578
ACH-000510,-0.6114734905574687
ACH-000511,-0.3004042187372924
ACH-000512,-0.960098479253058
ACH-000516,-0.5683649007219493
ACH-000517,-0.40190060694861307
ACH-000518,-0.8862492793168355
ACH-000520,-0.651057490378347
ACH-000521,-0.4926416604996322
ACH-000522,-0.8074904154057368
ACH-000524,-0.6050983929388366
ACH-000527,-0.8136584186666168
ACH-000528,-0.8751495812241319
ACH-000537,-0.5571820553774219
ACH-000541,-0.3921558307601697
ACH-000542,-0.750731016088092
ACH-000544,-0.8645310800543555
ACH-000545,-0.9200455943575478
ACH-000547,-1.0789839257797025
ACH-000548,-0.7893197443525559
ACH-000549,-0.7916895673420347
ACH-000550,-0.7869221233988185
ACH-000552,-0.8128761281067941
ACH-000556,-0.3085679022061826
ACH-000557,-0.3801058951261175
ACH-000569,-0.4489774699675863
ACH-000570,-0.4865638951882185
ACH-000571,-0.5306093849608762
ACH-000573,-0.5661166685258641
ACH-000576,-0.7109696989906517
ACH-000579,-0.7038294321729882
ACH-000580,-0.8890636780858506
ACH-000584,-0.5307958153411926
ACH-000585,-0.8601120447481968
ACH-000588,-0.5607460028506509
ACH-000589,-0.4796932196135054
ACH-000591,-0.6353609474865055
ACH-000593,-0.6412518440313246
ACH-000600,-0.7209196561566734
ACH-000601,-0.5144176955386287
ACH-000605,-0.6492915036909392
ACH-000606,-0.8146919930321833
ACH-000608,-0.4527448455373181
ACH-000614,-0.6434924776230071
ACH-000616,-0.5575080160469994
ACH-000618,-0.6129340007273913
ACH-000619,-0.7538978234575802
ACH-000620,-0.6025846050816251
ACH-000621,-0.5425308748698039
ACH-000622,-0.5599272440623265
ACH-000623,-0.3915637470874036
ACH-000624,-0.7351159493443071
ACH-000627,-0.46912675822156297
ACH-000630,-0.8013555094790983
ACH-000631,-0.7051317701403355
ACH-000632,-0.4662610745239148
ACH-000633,-0.3973244970086093
ACH-000637,-0.5682131948427938
ACH-000638,-0.6639820513449286
ACH-000646,-0.41166499827035613
ACH-000647,-0.5704360395770449
ACH-000648,-0.8484327801327416
ACH-000649,-0.6341642577257227
ACH-000651,-0.9243893637568388
ACH-000652,-0.6632712227441978
ACH-000653,-0.4571458327065616
ACH-000657,-0.6405858197507478
ACH-000658,-0.4504332098776055
ACH-000661,-0.5922180793040089
ACH-000662,-0.4875667782291464
ACH-000663,-0.7562015501539787
ACH-000665,-0.6591135368650214
ACH-000671,-0.9660682776801248
ACH-000672,-0.6585996346036329
ACH-000673,-0.7060964922802115
ACH-000676,-0.4688918588934205
ACH-000677,-0.7488649974654412
ACH-000681,-0.6372814964148453
ACH-000683,-0.4345767662827544
ACH-000684,-0.936911550727455
ACH-000688,-0.4871982509441217
ACH-000693,-0.5840047973591693
ACH-000694,-0.7834870006958344
ACH-000695,-0.4613833441048216
ACH-000696,-0.8540900952637365
ACH-000697,-0.691389309021038
ACH-000699,-0.5188044070286084
ACH-000701,-0.7243152990469355
ACH-000706,-0.8707210247693503
ACH-000711,-0.8850071625886202
ACH-000713,-0.7725527309923511
ACH-000714,-0.4582092816431552
ACH-000718,-0.4128633857165236
ACH-000720,-0.5217244138730259
ACH-000721,-0.4733043965667714
ACH-000724,-0.5313346908375397
ACH-000725,-0.6207238273452713
ACH-000732,-0.7973773646178008
ACH-000734,-0.9274305720270448
ACH-000735,-0.9719182497104868
ACH-000736,-0.4646823632710737
ACH-000738,-0.7908400034367552
