,GOLGA8K (653125)
ACH-000004,-0.8825975232854016
ACH-000005,-0.6729765490130625
ACH-000007,-0.4480006077500285
ACH-000009,-0.6752192104947266
ACH-000011,-0.6286695744754683
ACH-000012,-0.7347953862855522
ACH-000013,-0.530201464504584
ACH-000014,-0.509346488850749
ACH-000015,-0.6860510462948531
ACH-000017,-0.5179161448658608
ACH-000018,-0.7347646599299205
ACH-000019,-0.6276074019217938
ACH-000021,-0.7016616660941914
ACH-000022,-0.5234354813787759
ACH-000025,-0.5562862952019135
ACH-000028,-0.5503050121965446
ACH-000030,-0.4962055341488109
ACH-000035,-0.5484840898013944
ACH-000036,-0.5725998160585486
ACH-000037,-0.5035936978466278
ACH-000039,-0.5151563870669156
ACH-000040,-0.5841525189380828
ACH-000041,-0.5730747898722454
ACH-000042,-0.5837472950827071
ACH-000045,-0.5858592096715439
ACH-000047,-0.6297901646047951
ACH-000052,-0.6536089399836201
ACH-000053,-0.6490545780894917
ACH-000054,-0.4686834188491671
ACH-000055,-0.4471448898362829
ACH-000060,-0.8189043347406008
ACH-000067,-0.6533115001477522
ACH-000070,-0.7674200449120219
ACH-000075,-0.7596960597165154
ACH-000078,-0.5494291231068933
ACH-000082,-0.4861525541322206
ACH-000085,-0.6403990984229201
ACH-000086,-0.6603251956423192
ACH-000087,-0.5697915652639935
ACH-000092,-0.5600853020078379
ACH-000095,-0.5169108428681226
ACH-000097,-0.5500433688555832
ACH-000098,-0.6007250429519292
ACH-000099,-0.5728206207289993
ACH-000108,-0.6877416626208852
ACH-000113,-0.6185643010504761
ACH-000116,-0.6494778001101991
ACH-000118,-0.4442942573566632
ACH-000120,-0.5210096253988233
ACH-000123,-0.6214609980231208
ACH-000127,-0.6203062399749429
ACH-000128,-0.6833342996574548
ACH-000132,-0.5009773241755868
ACH-000133,-0.5947300200608082
ACH-000137,-0.6504725461694635
ACH-000138,-0.6766176112488175
ACH-000142,-0.4819338914321459
ACH-000143,-0.5739046147912732
ACH-000146,-0.6115331186410514
ACH-000148,-0.6369686450451081
ACH-000150,-0.4952726063908702
ACH-000152,-0.6033391571729979
ACH-000153,-0.8037661251467667
ACH-000159,-0.4639170646042202
ACH-000160,-0.6260521651075387
ACH-000163,-0.5365640969832752
ACH-000167,-0.7571133229488157
ACH-000168,-0.6364371568202047
ACH-000169,-0.6922683843722031
ACH-000178,-0.5084827141004516
ACH-000183,-0.5465645656513564
ACH-000188,-0.5739489587582681
ACH-000189,-0.6794941120695062
ACH-000190,-0.6950173450200258
ACH-000198,-0.6668085415577344
ACH-000203,-0.6674758603247671
ACH-000204,-0.452060027662758
