,ACTR2 (10097)
ACH-000004,-0.8173829421031323
ACH-000005,-0.689562053891168
ACH-000007,-1.2244682580789643
ACH-000009,-0.9090382484400268
ACH-000011,-0.7419931746358157
ACH-000012,-0.4876520926651367
ACH-000013,-1.1162570804188698
ACH-000014,-1.193987394237447
ACH-000015,-1.0138358323014656
ACH-000017,-0.933903743850284
ACH-000018,-1.1197030975336957
ACH-000019,-0.8622659875560276
ACH-000021,-0.6572589411931614
ACH-000022,-0.7122513085710691
ACH-000025,-1.1372152175046866
ACH-000028,-1.0227479941842779
ACH-000030,-0.9021287312418887
ACH-000035,-1.0655743317455015
ACH-000036,-1.0820833745650982
ACH-000037,-0.6448412113781115
ACH-000039,-0.8490199264693596
ACH-000040,-0.7839355260383986
ACH-000041,-0.8780410187993865
ACH-000042,-0.9652666467098882
ACH-000045,-0.9649435062807802
ACH-000047,-1.2339362842298929
ACH-000052,-1.0843211226297087
ACH-000053,-0.8720386842358768
ACH-000054,-1.1734454855598728
ACH-000055,-0.3755823466903336
ACH-000060,-1.0996584727580032
ACH-000067,-0.7137483496465622
ACH-000070,-0.8919697229094188
ACH-000075,-1.0142849220331476
ACH-000078,-0.724135396255269
ACH-000082,-0.8372536677692229
ACH-000085,-0.8594272226128717
ACH-000086,-0.8554822191786579
ACH-000087,-0.6419288787514715
ACH-000092,-1.0452749668714374
ACH-000095,-0.6475801565954266
ACH-000097,-0.8230877464667568
ACH-000098,-1.2433549532420145
ACH-000099,-0.8577773532016852
ACH-000108,-1.0474880644693707
ACH-000113,-0.8925626048237527
ACH-000116,-1.017769513980405
ACH-000118,-1.1022282451863117
ACH-000120,-0.6092426321697224
ACH-000123,-0.9794989774154806
ACH-000127,-1.1634587877108316
ACH-000128,-1.147142896987595
ACH-000132,-1.1847265437030976
ACH-000133,-1.2381605655580337
ACH-000137,-0.8069461812768027
ACH-000138,-0.9288050708104226
ACH-000142,-1.099276214187351
ACH-000143,-1.0991441155818733
ACH-000146,-0.831803040315384
ACH-000148,-1.047496465622098
ACH-000150,-0.8257996644316153
ACH-000152,-1.117194781806547
ACH-000153,-0.8860917536639734
ACH-000159,-0.9433777250114344
ACH-000160,-0.6639213778802212
ACH-000163,-1.2569170993134058
ACH-000167,-1.4919764643962168
ACH-000168,-0.9867708638321604
ACH-000169,-0.6712776681651617
ACH-000178,-1.0006926265136271
ACH-000183,-0.8215306085493816
ACH-000188,-0.9021207799724807
ACH-000189,-0.7711472809845965
ACH-000190,-0.9288105629336212
ACH-000198,-0.81384108025628
ACH-000203,-0.7286152900616985
ACH-000204,-0.7898557437182134
ACH-000206,-1.124819656596842
ACH-000207,-0.8834387032288091
ACH-000208,-1.0792127286663349
ACH-000210,-1.0511009050865363
ACH-000211,-1.1488198621429455
ACH-000215,-0.9023267655880716
ACH-000221,-0.8377431102338809
ACH-000222,-0.958515320728138
ACH-000223,-0.9225317622888488
ACH-000226,-0.5615831130824427
ACH-000227,-0.9064221184503491
ACH-000228,-1.0627047148444857
ACH-000231,-0.8205628512490608
ACH-000232,-1.0804404479220289
ACH-000233,-1.0159134095756424
