,MPND (84954)
ACH-000004,-0.15028307438565475
ACH-000005,-0.2938329660076889
ACH-000007,-0.2596209869992049
ACH-000009,-0.15082815606643685
ACH-000011,-0.09458174894714626
ACH-000012,-0.1688465822929338
ACH-000013,-0.22852742786021754
ACH-000014,-0.0571741972571499
ACH-000015,-0.2467257059414517
ACH-000017,-0.39744137372195
ACH-000018,-0.18603195914870796
ACH-000019,-0.39469082658010296
ACH-000021,-0.23086326132776955
ACH-000022,-0.17539554640095562
ACH-000025,-0.42273549841506103
ACH-000028,-0.34419728014479845
ACH-000030,-0.2538514822889929
ACH-000035,-0.025246968196050712
ACH-000036,-0.1581026102030037
ACH-000037,-0.2088272870758276
ACH-000039,-0.2489275034558546
ACH-000040,-0.2091733913160076
ACH-000041,-0.24229914115016304
ACH-000042,-0.21015623228478514
ACH-000045,-0.08280514593491116
ACH-000047,-0.18180198851607798
ACH-000052,0.10732724638040024
ACH-000053,-0.1975125388504353
ACH-000054,-0.2183705147414687
ACH-000055,-0.18957287830134564
ACH-000060,-0.2558507820350339
ACH-000067,-0.2922682347430119
ACH-000070,-0.23589905540948336
ACH-000075,-0.04252491395450937
ACH-000078,-0.16718252665035738
ACH-000082,-0.18022906056629065
ACH-000085,0.010484646671556479
ACH-000086,-0.2960326758426049
ACH-000087,-0.07010101586000014
ACH-000092,-0.2637035718825064
ACH-000095,-0.3519582342094971
ACH-000097,-0.09920311680567748
ACH-000098,-0.3147702771610315
ACH-000099,-0.3043236761168317
ACH-000108,-0.19937421487846052
ACH-000113,-0.2564153298073746
ACH-000116,-0.2406526624456053
ACH-000118,-0.0714987006858787
ACH-000120,-0.1587677906507844
ACH-000123,-0.19405953034071596
ACH-000127,-0.2666505460727723
ACH-000128,-0.20368904021953774
ACH-000132,-0.06265673992516567
ACH-000133,-0.2327750601213397
ACH-000137,-0.19077856630562454
ACH-000138,-0.16302707798508329
ACH-000142,-0.19138257676104728
ACH-000143,-0.10157772730336274
ACH-000146,-0.2959761384820987
ACH-000148,-0.2652783664578042
ACH-000150,-0.4485111975278475
ACH-000152,-0.14684156739599866
ACH-000153,-0.16088581693396756
ACH-000159,-0.2911557218483941
ACH-000160,-0.11556255553623546
ACH-000163,-0.0969042251699234
ACH-000167,-0.03250819684237186
ACH-000168,-0.2454489211136779
ACH-000169,-0.14949448911430346
ACH-000178,-0.16799316586695912
ACH-000183,-0.2737747047500855
ACH-000188,-0.2414573458809134
ACH-000189,-0.1930247453157164
ACH-000190,-0.04543764126350089
