,RIIAD1 (284485)
ACH-000004,0.023887953563693342
ACH-000005,-0.2824585113447872
ACH-000007,-0.06649172418853695
ACH-000009,-0.1296495139306128
ACH-000011,-0.09349085816638487
ACH-000012,-0.12034420415423933
ACH-000013,-0.2005235799505624
ACH-000014,-0.04695104757621208
ACH-000015,-0.08939228327987807
ACH-000017,-0.05758345221401805
ACH-000018,-0.1567244022567898
ACH-000019,0.10730555807407677
ACH-000021,-0.09342834783018604
ACH-000022,-0.034159456284405414
ACH-000025,-0.19402065246877825
ACH-000028,0.012438920650814755
ACH-000030,-0.01674644411957547
ACH-000035,-0.2779570837274912
ACH-000036,-0.07199689500000457
ACH-000037,-0.007372171958301447
ACH-000039,-0.02132067993068702
ACH-000040,-0.012204720071016572
ACH-000041,-0.0419193609705398
ACH-000042,-0.11154592985669502
ACH-000045,0.038847467253911236
ACH-000047,-0.2251641872431208
ACH-000052,-0.017163018534877655
ACH-000053,-0.06616647352925857
ACH-000054,-0.03502245104704968
ACH-000055,0.05382349511861632
ACH-000060,-0.08954160681134257
ACH-000067,0.02928362285985793
ACH-000070,0.012022115519476862
ACH-000075,-0.02041431566660513
ACH-000078,-0.02635226233802272
ACH-000082,-0.0012000879232041085
ACH-000085,0.1101089237719691
ACH-000086,-0.1572191326901092
ACH-000087,0.09696109775130812
ACH-000092,-0.20139738972313664
ACH-000095,-0.10905156366231733
ACH-000097,-0.061897419514085575
ACH-000098,-0.07589385424456213
ACH-000099,0.0141697755005772
ACH-000108,-0.1379575015852368
ACH-000113,-0.021834473215991947
ACH-000116,-0.08514495939319201
ACH-000118,-0.08758691845983689
ACH-000120,0.03504313563419775
ACH-000123,-0.020502426895185076
ACH-000127,-0.10341717481296676
ACH-000128,-0.13134499826837673
ACH-000132,-0.14721587282973353
ACH-000133,-0.14661683972734169
ACH-000137,-0.08265270400494583
ACH-000138,-0.006054793746830283
ACH-000142,-0.15952876069273986
ACH-000143,-0.16124399403535447
ACH-000146,-0.0290892510254275
ACH-000148,-0.07666703638550743
ACH-000150,-0.16197414332111904
ACH-000152,-0.1071560364017124
ACH-000153,0.041982104148186206
ACH-000159,-0.22065733781691801
ACH-000160,0.03218676651663989
ACH-000163,-0.0811517501934474
ACH-000167,0.05025714558471141
ACH-000168,0.02098981148423185
ACH-000169,-0.03346996517816488
ACH-000178,-0.08244675765229949
ACH-000183,-0.1273265592876846
ACH-000188,-0.10604031909728706
ACH-000189,-0.04049028896580717
ACH-000190,-0.06285571152744819
ACH-000198,-0.08357927994378764
ACH-000203,-0.16560483991501698
ACH-000204,-0.2678564665008211
ACH-000206,-0.0023510769245890127
ACH-000207,-0.0066809512955728605
ACH-000208,0.004268317735147993
ACH-000210,-0.14158124093025096
ACH-000211,-0.0958055992634647
ACH-000215,-0.058195062335100724
ACH-000221,-0.06391208210209275
ACH-000222,0.0586339026502502
ACH-000223,-0.0989729352799801
ACH-000226,-0.061253630817781624
ACH-000227,-0.07779691418003419
ACH-000228,-0.04553234586470178
ACH-000231,-0.093569471429486
ACH-000232,-0.15743208623525426
ACH-000233,0.07074382057596162
ACH-000234,-0.10520101775601473
ACH-000235,-0.12851946412526002
ACH-000237,-0.08863889651779479
ACH-000238,-0.07118154565415402
ACH-000242,0.026867341741834715
ACH-000243,-0.07725457872253014
ACH-000244,-0.28060671793377234
ACH-000246,-0.16327988635043125
ACH-000248,-0.007290394726057631
ACH-000250,-0.0409485836331997
ACH-000251,-0.2572678259485008
ACH-000252,0.030501554326632162
ACH-000253,-0.22023375822765875
ACH-000255,-0.12045040814754635
ACH-000256,0.01274394195246683
ACH-000257,-0.4226899686581569
ACH-000258,0.18415884428768176
ACH-000259,-0.11323302529977228
ACH-000260,-0.08312265074021452
ACH-000261,-0.0735401147545416
ACH-000262,-0.09020449506896654
ACH-000263,0.023560728355113608
ACH-000264,-0.14748335830454334
ACH-000265,-0.07173846481644666
ACH-000266,-0.00968104431339784
ACH-000272,-0.1049185624675526
ACH-000274,-0.0023166042514468337
ACH-000277,0.01319268335825315
ACH-000278,-0.09875104499172728
