,MAP1LC3C (440738)
ACH-000004,0.11586389946951405
ACH-000005,-0.14542888719316485
ACH-000007,-0.0332782926186711
ACH-000009,0.029370073764155458
ACH-000011,0.0956518735325698
ACH-000012,0.16976206525752172
ACH-000013,0.1337518430721003
ACH-000014,0.001709336847317882
ACH-000015,0.20428233779778335
ACH-000017,0.11495078150250446
ACH-000018,0.1954747233413146
ACH-000019,0.0816467348525641
ACH-000021,0.12686335374578664
ACH-000022,0.06892924748095834
ACH-000025,0.02321676598367373
ACH-000028,0.10468920805903813
ACH-000030,0.10558955203311904
ACH-000035,0.2698726073747638
ACH-000036,0.017783680184410917
ACH-000037,0.016837177950475218
ACH-000039,0.09469654508400878
ACH-000040,0.08488203466735622
ACH-000041,-0.01702234710526242
ACH-000042,0.04069315621292977
ACH-000045,-0.07493223920250244
ACH-000047,0.05108268819326717
ACH-000052,0.20513473812002656
ACH-000053,0.04414961286357655
ACH-000054,-0.002394800647716403
ACH-000055,0.11825877869378908
ACH-000060,0.13073722001251314
ACH-000067,0.1971601603007995
ACH-000070,-0.009947923982227914
ACH-000075,0.24902281551519995
ACH-000078,-0.0051620656020737645
ACH-000082,0.11769622373060724
ACH-000085,0.22128678207878588
ACH-000086,-0.009306006819431669
ACH-000087,0.3185598146247892
ACH-000092,0.11625027208664453
ACH-000095,0.15610748831420249
ACH-000097,0.12377060377995297
ACH-000098,0.023491953819200655
ACH-000099,0.022269805776463886
ACH-000108,0.044818109029186065
ACH-000113,0.13532272140807722
ACH-000116,0.10068194062324708
ACH-000118,0.024798198769121347
ACH-000120,-0.019143608042798573
ACH-000123,-0.05458464246594032
ACH-000127,0.034152761631258716
ACH-000128,0.03123976463332295
ACH-000132,0.04983980747476359
ACH-000133,0.12121763229379312
ACH-000137,0.008819454718892856
ACH-000138,0.15857081944198748
ACH-000142,-0.06884859239193324
ACH-000143,-0.029727185353253964
ACH-000146,0.0028443951963437225
ACH-000148,0.009284131337881424
ACH-000150,0.2664943002412045
ACH-000152,0.009524938285867831
ACH-000153,-0.03769993587696066
ACH-000159,0.06993004477254801
ACH-000160,0.22328836116512785
ACH-000163,0.1522012001130412
ACH-000167,-0.07365378010117067
ACH-000168,0.0975959843975147
ACH-000169,0.12387966249270875
ACH-000178,0.1414121556403588
ACH-000183,0.1762864260396391
ACH-000188,0.09280582222337673
ACH-000189,0.16509541061350624
ACH-000190,-0.22945117687990196
ACH-000198,0.024124647106660742
ACH-000203,-0.11781593192597498
ACH-000204,-0.12494023422155075
ACH-000206,0.11929315812022008
ACH-000207,-0.0036199706129992713
ACH-000208,0.019603798891867745
ACH-000210,0.05309902833905991
ACH-000211,0.17633758315494738
ACH-000215,-0.06500878069669506
ACH-000221,0.04449255409449968
