,VRTN (55237)
ACH-000004,0.025380704728668727
ACH-000005,0.07654986579532908
ACH-000007,0.017388277210384134
ACH-000009,-0.06317984098772524
ACH-000011,-0.07204050211419559
ACH-000012,-0.0380450723838031
ACH-000013,-0.13663188021359546
ACH-000014,-0.10599550737020376
ACH-000015,-0.11495442319879152
ACH-000017,-0.1822690088873247
ACH-000018,0.08642133214516913
ACH-000019,-0.21387237654613125
ACH-000021,-0.08954546140912333
ACH-000022,-0.07052226250802841
ACH-000025,-0.062401050574041626
ACH-000028,-0.001421071631879357
ACH-000030,0.010645751906800994
ACH-000035,-0.046625433428212015
ACH-000036,-0.06302502742607967
ACH-000037,-0.08276465133716722
ACH-000039,-0.10624609620558688
ACH-000040,-0.2869770543129938
ACH-000041,-0.044462020414007014
ACH-000042,-0.13147273730006742
ACH-000045,-0.019266542603699758
ACH-000047,-0.14154399161028833
ACH-000052,0.08574684591428497
ACH-000053,-0.10672426792212564
ACH-000054,-0.20626616305501105
ACH-000055,-0.07037975522254647
ACH-000060,-0.412984283297586
ACH-000067,-0.04363079554428392
ACH-000070,-0.12791135465171213
ACH-000075,-0.03020553197604172
ACH-000078,-0.029253322341264862
ACH-000082,-0.1561957885987436
ACH-000085,-0.14416779249469716
ACH-000086,-0.1687959603921105
ACH-000087,-0.0982202613346576
ACH-000092,-0.10719256013280637
ACH-000095,-0.13327894080896832
ACH-000097,-0.09430631756269192
ACH-000098,-0.1136429190874614
ACH-000099,-0.07168223907813995
ACH-000108,-0.1536399492919676
ACH-000113,-0.057597761927394665
ACH-000116,-0.10313360857901532
ACH-000118,-0.2302605959377741
ACH-000120,-0.20996502201014453
ACH-000123,-0.16411510975933458
ACH-000127,-0.04122222382176586
ACH-000128,-0.2479178564649939
ACH-000132,-0.062466891744010385
ACH-000133,-0.04334320887812602
ACH-000137,-0.021957384037683984
ACH-000138,-0.023201343262035497
ACH-000142,-0.12091168857476242
ACH-000143,-0.01175960701237086
ACH-000146,-0.05435333435191685
ACH-000148,-0.16549659528823898
ACH-000150,-0.08306345423746221
ACH-000152,0.005495376941864432
ACH-000153,-0.10421224455798847
ACH-000159,-0.08187255842057192
ACH-000160,-0.1692784037824463
ACH-000163,-0.04144710747698332
ACH-000167,0.03649010588874326
ACH-000168,0.06896846671587491
ACH-000169,0.0075363175733535485
ACH-000178,-0.04708809482423237
ACH-000183,-0.21420057177519647
ACH-000188,-0.14612397939462946
ACH-000189,-0.3890232935064008
ACH-000190,-0.2297897730885689
ACH-000198,-0.1430770363063628
ACH-000203,0.32674618500924263
ACH-000204,-0.327370996083566
ACH-000206,-0.07483679922592519
ACH-000207,-0.16223715802804384
ACH-000208,-0.3632485312949019
ACH-000210,0.0013325023032882196
ACH-000211,-0.16767604970586628
ACH-000215,-0.07497370399330447
ACH-000221,-0.17375035715254514
ACH-000222,0.07577993133090574
ACH-000223,-0.07403898305679664
ACH-000226,-0.13380271730490506
ACH-000227,-0.2485824674118909
ACH-000228,-0.02528749727861035
ACH-000231,-0.034555389207850715
ACH-000232,-0.2315383318576957
ACH-000233,-0.15225512615472028
ACH-000234,-0.12341979480690787
ACH-000235,-0.09792833053639932
ACH-000237,0.044227331223851696
ACH-000238,-0.18243552407039468
ACH-000242,-0.4528181562454618
ACH-000243,-0.19678491891615216
ACH-000244,-0.23864788751525945
ACH-000246,-0.1582925504494695
ACH-000248,-0.16227528464035704
ACH-000250,-0.10259367714201628
ACH-000251,-0.17420712944994146
ACH-000252,-0.05249087657060735
ACH-000253,-0.09926199852856968
ACH-000255,-0.023814660979255137
ACH-000256,-0.13036136083248054
ACH-000257,-0.06854147431166459
ACH-000258,0.09249487949327476
ACH-000259,-0.09864500313436718
ACH-000260,-0.16413072659907205
ACH-000261,-0.01742621884724341
ACH-000262,-0.2647873935837987
ACH-000263,-0.2530100241396566
ACH-000264,-0.11111538904556584
ACH-000265,-0.109702584641415
ACH-000266,-0.06854770852904997
ACH-000272,-0.12270834276452845
ACH-000274,-0.17120791880960987
ACH-000277,-0.17585708726929167
ACH-000278,-0.0217587327045614
ACH-000279,-0.08279341836439527
ACH-000280,-0.18232463711131164
ACH-000281,-0.1459491979066624
ACH-000288,-0.05115841664725774
ACH-000291,-0.0772687178225346
ACH-000293,-0.05139585834876344
ACH-000294,-0.1967465990972909
ACH-000295,0.12119766220967952
ACH-000296,-0.16944498504425884
ACH-000302,-0.026395543669314073
ACH-000304,-0.2139307248611976
ACH-000307,-0.1293476363743066
ACH-000308,-0.007777043968906319
ACH-000310,-0.050895975679014986
ACH-000311,-0.12764060760449636
ACH-000312,-0.08605241443238379
ACH-000315,-0.2726448857065669
ACH-000316,-0.08865701893090913
ACH-000317,-0.20475682855902472
ACH-000318,0.029794036804270226
ACH-000319,-0.13203060159842026
ACH-000320,-0.2468017790329549
ACH-000322,-0.03386252999501086
ACH-000323,-0.059886365039508824
