,CPT1A (1374)
ACH-000004,-0.2386154303883912
ACH-000005,0.09195091601424953
ACH-000007,-0.11008460054884113
ACH-000009,-0.19296919053704945
ACH-000011,-0.09296572162525657
ACH-000012,-0.17256047193826995
ACH-000013,-0.160243929588537
ACH-000014,-0.1284126621841864
ACH-000015,-0.15272279861005328
ACH-000017,-0.24740343646164206
ACH-000018,-0.20756388048835744
ACH-000019,-0.1268729104663607
ACH-000021,-0.18358246490588676
ACH-000022,-0.23319314497103974
ACH-000025,-0.19086844224542465
ACH-000028,-0.113710281817144
ACH-000030,-0.20532006733335012
ACH-000035,-0.10350131947216368
ACH-000036,-0.16621843832488556
ACH-000037,-0.21683007999206416
ACH-000039,-0.2046290816673624
ACH-000040,-0.2737852698539169
ACH-000041,-0.20375058644796967
ACH-000042,-0.25811285474955564
ACH-000045,-0.15841466584103905
ACH-000047,-0.08287586923401034
ACH-000052,-0.2996333493967525
ACH-000053,-0.24184827338264334
ACH-000054,-0.18287801260680248
ACH-000055,-0.09001669141127147
ACH-000060,-0.1257382547097506
ACH-000067,-0.007604927806902176
ACH-000070,-0.23489371296808156
ACH-000075,-0.4633100688702234
ACH-000078,-0.15511701349627333
ACH-000082,-0.2544687164533917
ACH-000085,-0.12654011615980248
ACH-000086,-0.3197379767794181
ACH-000087,-0.17360386897121022
ACH-000092,-0.2309781121715288
ACH-000095,-0.07725872298757881
ACH-000097,-0.4395294856342666
ACH-000098,-0.1091416731579127
ACH-000099,-0.06767736980273849
ACH-000108,-0.1943820856943236
ACH-000113,-0.12648636907368896
ACH-000116,-0.3625294664697209
ACH-000118,-0.273309793856012
ACH-000120,-0.2392901841787309
ACH-000123,-0.1784409151501427
ACH-000127,-0.2500640576235765
ACH-000128,-0.2011283334720755
ACH-000132,-0.2325839755922361
ACH-000133,-0.1491306245212313
ACH-000137,-0.2110905100108371
ACH-000138,-0.3029733781954501
ACH-000142,-0.33068834010664616
ACH-000143,-0.16409979738262212
ACH-000146,-0.21251604076097852
ACH-000148,-0.1342289718626553
ACH-000150,-0.24436776240772184
ACH-000152,-0.15758988303047425
ACH-000153,-0.4408952546739145
ACH-000159,-0.10089267630874978
ACH-000160,-0.5290077998645041
ACH-000163,-0.17762755559728324
ACH-000167,-0.3005760631328682
ACH-000168,-0.017477035727609034
ACH-000169,-0.16748809940391202
ACH-000178,-0.1885046147685052
ACH-000183,-0.10327834783800724
ACH-000188,-0.4136115168003175
ACH-000189,-0.13315813281289826
ACH-000190,-0.2761106165591796
ACH-000198,-0.16316637248231722
ACH-000203,-0.39273545861979775
ACH-000204,-0.22193933884616335
ACH-000206,-0.2291696886730276
ACH-000207,-0.39507637596365736
ACH-000208,0.022762465639588038
ACH-000210,-0.2563202099773531
ACH-000211,-0.1571259460797292
ACH-000215,-0.20714604602134848
ACH-000221,-0.07693017482018989
ACH-000222,-0.24517475034380135
ACH-000223,-0.24113620394376295
ACH-000226,-0.07974812261220747
ACH-000227,-0.44264753792737616
ACH-000228,-0.1857906878797129
ACH-000231,-0.1940217286326118
ACH-000232,-0.14369897494500494
ACH-000233,-0.13961202618419105
ACH-000234,-0.07165998462922142
ACH-000235,-0.17784482171017132
ACH-000237,-0.2937123976422429
ACH-000238,-0.13501765823150147
ACH-000242,0.033761632070357726
ACH-000243,-0.1526031018037274
ACH-000244,-0.11216644907482673
ACH-000246,-0.19359323076762736
ACH-000248,-0.10858189224212572
ACH-000250,-0.11948897646121695
ACH-000251,-0.34911043463971153
ACH-000252,0.027482682089364132
ACH-000253,-0.19260572225030614
ACH-000255,-0.22137082244231104
ACH-000256,-0.2441301360670221
ACH-000257,-0.05729319694504894
ACH-000258,-0.17185707163612104
ACH-000259,-0.21799144833303666
ACH-000260,-0.2664470224456841
ACH-000261,-0.2207194978103294
