,OPRL1 (4987)
ACH-000004,-0.033893778822106785
ACH-000005,-0.053298399298219
ACH-000007,-0.2098024550345444
ACH-000009,-0.15534234085054818
ACH-000011,-0.1127185591162729
ACH-000012,-0.06345277648700166
ACH-000013,-0.06553374365778844
ACH-000014,-0.14932657112916792
ACH-000015,-0.1685462024296049
ACH-000017,-0.2700635749919765
ACH-000018,-0.1132821704413716
ACH-000019,-0.2160853264593436
ACH-000021,-0.0765973576547769
ACH-000022,-0.1949674866159423
ACH-000025,-0.12509773455719084
ACH-000028,-0.21785809341083529
ACH-000030,-0.10716673065692488
ACH-000035,0.06683528112670778
ACH-000036,-0.1795216387687758
ACH-000037,-0.006080967891875317
ACH-000039,-0.09196888866063757
ACH-000040,0.011552559473590084
ACH-000041,0.0012462027999852025
ACH-000042,-0.1979626366225211
ACH-000045,-0.019676389169152483
ACH-000047,-0.05237600203484
ACH-000052,0.04888298052792407
ACH-000053,-0.20151408711649285
ACH-000054,-0.1373161696385014
ACH-000055,0.04205736738733441
ACH-000060,-0.025559910321189643
ACH-000067,-0.027664288822613892
ACH-000070,-0.19666139889374976
ACH-000075,0.010367496729425071
ACH-000078,-0.35140457922437496
ACH-000082,-0.15057157340458632
ACH-000085,-0.2804085014744992
ACH-000086,-0.05026189475918059
ACH-000087,-0.11061272630654664
ACH-000092,0.02406101980849621
ACH-000095,-0.017441633882578085
ACH-000097,-0.14773764443749826
ACH-000098,-0.009831104399209796
ACH-000099,-0.25041538976262834
ACH-000108,-0.20688249000600414
ACH-000113,-0.0713284411765733
ACH-000116,-0.00916623086593326
ACH-000118,-0.07893630062405445
ACH-000120,-0.2354289481014108
ACH-000123,0.10751006713223968
ACH-000127,-0.2467179910561987
ACH-000128,-0.17926371565783966
ACH-000132,-0.02406212228788822
ACH-000133,-0.18969390794590807
ACH-000137,-0.046334274418125904
ACH-000138,-0.01872501766968965
ACH-000142,-0.09119925656625268
ACH-000143,-0.19775610945785574
ACH-000146,0.010261555937711636
ACH-000148,-0.13700276623194949
ACH-000150,-0.0726866887771255
ACH-000152,-0.10647881534333553
ACH-000153,-0.3128665776481144
ACH-000159,-0.04059965617512008
ACH-000160,0.032460634870334966
ACH-000163,-0.1569011218758034
ACH-000167,-0.2856841470922432
ACH-000168,0.061938943040895277
ACH-000169,-0.1570836684728735
ACH-000178,-0.2092012824130849
ACH-000183,-0.08601045561540649
ACH-000188,-0.04241503928133317
ACH-000189,-0.1270723199479906
ACH-000190,-0.0959469444464702
ACH-000198,0.04484958631004928
ACH-000203,0.03819251299734988
ACH-000204,-0.27741498190309466
ACH-000206,-0.02488578221115429
ACH-000207,-0.34078871718758136
ACH-000208,-0.2346218426427969
ACH-000210,0.2766828622524721
ACH-000211,0.027437617252194263
ACH-000215,-0.0035836015928201047
ACH-000221,0.03922030014561969
ACH-000222,0.07800786562817127
ACH-000223,-0.23032029242709076
ACH-000226,-0.13555419274542455
ACH-000227,-0.18681070306582606
ACH-000228,0.02337005347515764
ACH-000231,-0.10775434821307026
ACH-000232,-0.029726730578897388
ACH-000233,-0.16217821374756194
ACH-000234,-0.11819627590373905
ACH-000235,-0.16231358896944034
ACH-000237,-0.11318107230194402
ACH-000238,-0.34642916174434835
ACH-000242,-0.04176482691179843
ACH-000243,0.01024106123229034
ACH-000244,-0.055261944393253305
ACH-000246,-0.1985939192187389
ACH-000248,-0.0996191759586117
ACH-000250,-0.2364742118693448
ACH-000251,0.04022841819216754
ACH-000252,-0.1632962555366
ACH-000253,-0.4033006760797955
ACH-000255,-0.01717817197947284
ACH-000256,-0.3077311790500534
ACH-000257,-0.25985695791979657
ACH-000258,-0.11563432221933588
ACH-000259,-0.23053913659950775
ACH-000260,-0.13503578569702188
ACH-000261,-0.05418377523612041
ACH-000262,-0.22305428374750774
ACH-000263,0.12311089370700025
ACH-000264,-0.038618772898790885
ACH-000265,-0.046164571980401976
ACH-000266,-0.17645276852487946
ACH-000272,-0.16320205639761687
ACH-000274,-0.06431894205936275
ACH-000277,-0.4145836245192909
ACH-000278,-0.20836612784263345
ACH-000279,-0.020523970947771558
ACH-000280,-0.016481248280709473
ACH-000281,-0.1371009291544624
ACH-000288,-0.146185079055154
ACH-000291,-0.09880318178728456
ACH-000293,-0.1153181414816065
ACH-000294,-0.11283232481084568
ACH-000295,-0.2917585562466308
