,ASB16 (92591)
ACH-000004,-0.02547521834451226
ACH-000005,-0.34870654588750977
ACH-000007,-0.035499226047323494
ACH-000009,-0.08520047828339221
ACH-000011,-0.21664736940870696
ACH-000012,-0.25163545207766264
ACH-000013,-0.29634469488265663
ACH-000014,0.050586512445297084
ACH-000015,-0.13875011487667951
ACH-000017,-0.03027192054179081
ACH-000018,-0.28945950840600665
ACH-000019,-0.199197584910252
ACH-000021,-0.0679815328069435
ACH-000022,-0.24595816123587544
ACH-000025,-0.011189284252185737
ACH-000028,-0.14972235991810245
ACH-000030,-0.2665039811388568
ACH-000035,-0.15571341318265888
ACH-000036,-0.15377637890035412
ACH-000037,-0.12992608853301973
ACH-000039,-0.3346563495160925
ACH-000040,-0.15161314459678987
ACH-000041,-0.10384391678192452
ACH-000042,-0.2718689418032736
ACH-000045,-0.0471100986876998
ACH-000047,-0.283953442111799
ACH-000052,-0.15856386907590195
ACH-000053,-0.267380716249321
ACH-000054,0.05478034144333577
ACH-000055,-0.22202740538704432
ACH-000060,-0.3244910484775939
ACH-000067,-0.16893096266397026
ACH-000070,-0.2086333499350652
ACH-000075,-0.07520851723565672
ACH-000078,-0.12133020719983785
ACH-000082,-0.2473557796405237
ACH-000085,-0.19492914101914666
ACH-000086,-0.1547064124859586
ACH-000087,0.05190524667879692
ACH-000092,-0.17589554961047835
ACH-000095,-0.20069798236981806
ACH-000097,-0.2571359880653872
ACH-000098,-0.2903992218586208
ACH-000099,-0.2799876932520565
ACH-000108,-0.09731883401796804
ACH-000113,-0.12473448040923593
ACH-000116,-0.21427146397506489
ACH-000118,0.0018977383726328624
ACH-000120,-0.4209904662580028
ACH-000123,-0.04918948019269899
ACH-000127,0.05388514129626453
ACH-000128,-0.2832676641721182
ACH-000132,-0.22384993027451874
ACH-000133,-0.21174997417536487
ACH-000137,-0.08647832787727777
ACH-000138,-0.2898336771300936
ACH-000142,-0.4245385270783952
ACH-000143,-0.09946035196801817
ACH-000146,-0.3053288583613209
ACH-000148,-0.16655715370660146
ACH-000150,-0.3169298178172863
ACH-000152,-0.14801353063532888
ACH-000153,0.1130645345221465
ACH-000159,-0.1848258522351577
ACH-000160,-0.13429055719643254
ACH-000163,-0.1977680041061357
ACH-000167,-0.2489637729359963
ACH-000168,-0.051283716341760224
ACH-000169,-0.2998357218979277
ACH-000178,-0.19519453628053854
ACH-000183,-0.2757726428226284
ACH-000188,-0.09801613175981133
ACH-000189,-0.13657113291522446
ACH-000190,0.1061308481150936
ACH-000198,-0.1532401823922233
ACH-000203,0.695441561403389
ACH-000204,-0.3783423538634673
ACH-000206,-0.11672369208691985
ACH-000207,-0.12852830926841388
ACH-000208,-0.3408999571364167
ACH-000210,-0.13933728702773518
ACH-000211,-0.23124995437032395
ACH-000215,-0.2367375347309663
ACH-000221,-0.06649240303666452
ACH-000222,-0.07519483169690276
ACH-000223,-0.0965519233940212
ACH-000226,-0.2653080233281075
ACH-000227,-0.2599802521153937
ACH-000228,-0.2846790551754526
ACH-000231,-0.15533732503541314
ACH-000232,-0.12814265455913754
ACH-000233,-0.05485454022456243
ACH-000234,-0.21555123605677295
ACH-000235,-0.2432827426966669
ACH-000237,-0.15280819463912226
ACH-000238,-0.3441768360507675
ACH-000242,-0.033735495926483186
ACH-000243,-0.1710216623551017
ACH-000244,-0.06340749027623119
ACH-000246,-0.18280932723915824
ACH-000248,-0.3568515466847777
ACH-000250,-0.2296672126535562
ACH-000251,-0.4059878082678859
ACH-000252,-0.16466125779845728
ACH-000253,-0.12780922862464086
ACH-000255,-0.20253252270446867
ACH-000256,-0.2787118165566845
ACH-000257,-0.02264089765291876
ACH-000258,-0.075075293148312
ACH-000259,-0.27506205188252003
ACH-000260,-0.3479014031384496
ACH-000261,-0.13626681738569751
ACH-000262,-0.2906665786426943
ACH-000263,-0.04577275269444523
ACH-000264,-0.23974360567584285
ACH-000265,-0.14278572720233113
ACH-000266,-0.1685864764071091
ACH-000272,-0.16326652320237708
ACH-000274,-0.19599116240664435
ACH-000277,-0.10544393725315776
ACH-000278,-0.14442895627559035
ACH-000279,-0.10307275267267636
ACH-000280,-0.2210280828952265
ACH-000281,-0.2719453385313929
ACH-000288,-0.20699247368138984
ACH-000291,-0.15372012268019508
ACH-000293,-0.20826693949771624
ACH-000294,-0.1726700668627998
ACH-000295,0.033366082553813715
ACH-000296,-0.16779438341270386
ACH-000302,-0.2559315729473015
ACH-000304,-0.40777368352049137
ACH-000307,-0.07141525954647023
ACH-000308,-0.15079513468637354
ACH-000310,-0.25680629073764066
ACH-000311,0.05202991345561589
ACH-000312,-0.2630469547455079
ACH-000315,-0.30132821138815585
ACH-000316,-0.35476263776151795
ACH-000317,-0.21848001562074287
ACH-000318,0.07195640716721342
ACH-000319,-0.3122050229427476
