,ZKSCAN5 (23660)
ACH-000004,-0.2684984037014979
ACH-000005,-0.2351089596520074
ACH-000007,-0.11626215657349505
ACH-000009,-0.1388486334099774
ACH-000011,-0.35907682006563096
ACH-000012,-0.21193772774235792
ACH-000013,-0.16826290733664048
ACH-000014,-0.18584124204646235
ACH-000015,-0.23268288070062484
ACH-000017,-0.29617132247484523
ACH-000018,-0.1287077327127551
ACH-000019,-0.3446524492680046
ACH-000021,-0.2939771847425631
ACH-000022,-0.29056354573593624
ACH-000025,-0.1603950749183881
ACH-000028,-0.0724018764174105
ACH-000030,-0.17310114093292334
ACH-000035,-0.2804852621425083
ACH-000036,-0.3219042138207372
ACH-000037,-0.3627093095906112
ACH-000039,-0.32737263176002035
ACH-000040,-0.08868185576389409
ACH-000041,-0.3011155612461644
ACH-000042,-0.2541007257219817
ACH-000045,-0.1907694333189616
ACH-000047,-0.1730651622089607
ACH-000052,-0.2613155428809102
ACH-000053,-0.2520311821412698
ACH-000054,-0.3190189815167336
ACH-000055,-0.2276922963033655
ACH-000060,-0.2268927897547479
ACH-000067,-0.2257696313575246
ACH-000070,-0.2317354566343625
ACH-000075,-0.47899688013096103
ACH-000078,-0.17819977305853305
ACH-000082,-0.15175285472309533
ACH-000085,-0.2315700688642001
ACH-000086,-0.0568790162303171
ACH-000087,-0.2447940158720245
ACH-000092,-0.09858630156523904
ACH-000095,-0.2670055702752082
ACH-000097,-0.2228211802408143
ACH-000098,-0.32808742404925084
ACH-000099,-0.2467816874674845
ACH-000108,-0.04904744357721307
ACH-000113,-0.13032967628110928
ACH-000116,-0.20544860192398012
ACH-000118,-0.17954028592091453
ACH-000120,-0.2668271279823205
ACH-000123,-0.09094594913140552
ACH-000127,-0.15860896656317344
ACH-000128,-0.3674109556459226
ACH-000132,-0.2151452348465708
ACH-000133,-0.23447787904686604
ACH-000137,-0.17504729941884
ACH-000138,-0.2967563530458872
ACH-000142,-0.2084700762955819
ACH-000143,-0.09861623961934493
ACH-000146,-0.1936877475467884
ACH-000148,-0.2977082864279164
ACH-000150,-0.2261143210462296
ACH-000152,-0.1435046904224444
ACH-000153,-0.11861605645666155
ACH-000159,-0.2737759720940911
ACH-000160,-0.3290714630696843
ACH-000163,-0.2112285940399288
ACH-000167,-0.4550574416170622
ACH-000168,-0.10266291447118553
