,GLS2 (27165)
ACH-000004,-0.1362541806190864
ACH-000005,-0.2938060705878112
ACH-000007,-0.03301295032335395
ACH-000009,-0.2332401258904021
ACH-000011,-0.2522347855617941
ACH-000012,-0.25817991873818663
ACH-000013,-0.13071006427106366
ACH-000014,-0.17686839421245704
ACH-000015,-0.18859387111522452
ACH-000017,-0.1588031311059447
ACH-000018,0.030085481650691488
ACH-000019,-0.04094089511814706
ACH-000021,-0.14567635357487074
ACH-000022,-0.10509443414818072
ACH-000025,-0.12366405816398032
ACH-000028,-0.2305791248783149
ACH-000030,-0.09969259174939538
ACH-000035,-0.2131170745203926
ACH-000036,-0.1703558021621931
ACH-000037,-0.22077342909700293
ACH-000039,-0.24494648582942985
ACH-000040,-0.058355375157868775
ACH-000041,-0.26320277053737
ACH-000042,-0.17680923911709967
ACH-000045,0.06641052882598399
ACH-000047,-0.13703252657719406
ACH-000052,-0.24663936702229625
ACH-000053,-0.1435435481323112
ACH-000054,-0.06375711846668466
ACH-000055,-0.3115967155376362
ACH-000060,-0.09025036805157488
ACH-000067,-0.27424008400817274
ACH-000070,-0.15793755558766984
ACH-000075,-0.1392283650628479
ACH-000078,-0.13239195054935207
ACH-000082,-0.11698301700616025
ACH-000085,-0.2860027985643378
ACH-000086,-0.3804230172662989
ACH-000087,-0.1618508491099962
ACH-000092,-0.11802846370140993
ACH-000095,-0.2255329264429345
ACH-000097,-0.17466770796325548
ACH-000098,-0.1993184440152869
ACH-000099,-0.08041007125842839
ACH-000108,-0.08628845926732227
ACH-000113,-0.2862296146239964
ACH-000116,-0.1655418192535224
ACH-000118,-0.2793411307486593
ACH-000120,-0.094648924072383
ACH-000123,-0.1023168162620198
ACH-000127,-0.05212087514116299
ACH-000128,-0.2109590460965792
ACH-000132,0.0047798000235794
ACH-000133,-0.2796074168187759
ACH-000137,-0.1839471873191111
ACH-000138,-0.27368421234672635
ACH-000142,-0.19855556981682745
ACH-000143,-0.04219980751617334
ACH-000146,-0.059287686793082675
ACH-000148,-0.1855719165488084
ACH-000150,-0.3021440503635712
ACH-000152,-0.2310277113333046
ACH-000153,-0.19836075208745907
ACH-000159,-0.15996770563889276
ACH-000160,0.08216503887851374
ACH-000163,-0.19339536734517948
ACH-000167,0.3587804721740947
ACH-000168,-0.10324566124417303
ACH-000169,-0.10277091238276996
ACH-000178,-0.1265452890127907
ACH-000183,-0.2446300823274968
ACH-000188,0.08403967979319282
ACH-000189,-0.10192155392694327
ACH-000190,0.06493651895502736
ACH-000198,-0.2029779427727665
ACH-000203,0.055167610233171634
ACH-000204,-0.06552210350485063
ACH-000206,-0.05759718594234346
ACH-000207,-0.1882523890483099
ACH-000208,-0.3156258725405132
ACH-000210,-0.18567642784239108
ACH-000211,-0.14066828381100255
ACH-000215,-0.18843830510461354
ACH-000221,-0.23501728096319185
ACH-000222,-0.1841139940356852
ACH-000223,-0.10938506096101924
ACH-000226,-0.030408241231024417
ACH-000227,0.02685280358497328
ACH-000228,-0.1894754243106008
ACH-000231,-0.06640772455228097
ACH-000232,-0.022924659928830582
ACH-000233,-0.022691770931472545
ACH-000234,-0.2606715531194899
ACH-000235,-0.18855288225487607
ACH-000237,-0.07514242374049189
ACH-000238,-0.17867699411233567
ACH-000242,-0.3046256487940837
ACH-000243,-0.2230790735893712
ACH-000244,0.10382461898978912
ACH-000246,-0.10393898879755782
ACH-000248,-0.20011360798127914
ACH-000250,-0.10126008876930716
ACH-000251,-0.3855720426013948
ACH-000252,-0.3511274574225032
ACH-000253,-0.2131988610842435
ACH-000255,-0.14526498557478754
ACH-000256,-0.04506472682165593
ACH-000257,-0.2424084885649717
ACH-000258,0.037039557617244964
ACH-000259,-0.161452940212282
ACH-000260,-0.18950565990694213
ACH-000261,-0.23059009574532405
ACH-000262,-0.053878668724193716
ACH-000263,-0.3867898742046445
ACH-000264,-0.2165748418587095
ACH-000265,-0.1243158378863446
ACH-000266,-0.203032149300997
ACH-000272,-0.09457879092715744
ACH-000274,-0.2128348287731388
ACH-000277,-0.13233312653486354
ACH-000278,-0.2148877921279782
ACH-000279,-0.22498568220915807
ACH-000280,-0.2680969697163186
ACH-000281,-0.3549121983880931
ACH-000288,-0.263957584653051
ACH-000291,-0.16308624767542967
ACH-000293,-0.19471304301424866
ACH-000294,-0.1493191637019344
ACH-000295,0.08311807505368309
ACH-000296,-0.10469761033732274
ACH-000302,-0.1897427179181308
ACH-000304,-0.3938871278153211
ACH-000307,-0.2523469585205732
ACH-000308,-0.1597163858494124
ACH-000310,-0.12923628178129692
ACH-000311,-0.1981331062057685
ACH-000312,-0.14638062688861392
ACH-000315,-0.10665756973338908
ACH-000316,-0.22735617665403604
ACH-000317,-0.237506860035743
ACH-000318,-0.14646996574870827
ACH-000319,-0.2232730443874253
ACH-000320,-0.06353081214815881
ACH-000322,-0.14936814073291532
ACH-000323,-0.1891822301917292
ACH-000324,-0.3214842914613165
ACH-000329,-0.11105165923239044
ACH-000330,-0.19848467030889536
ACH-000331,-0.2279458178036867
ACH-000332,-0.12200082604560762
ACH-000334,-0.1835367851074997
ACH-000335,-0.4019812304722847
ACH-000336,-0.3675290298047679
ACH-000337,-0.364801650521205
ACH-000338,-0.08479864578657445
ACH-000339,-0.1946299243697192
ACH-000341,-0.17063058945721582
ACH-000348,-0.10264669807086738
ACH-000350,-0.2210828670911265
ACH-000352,-0.2691871272841586
ACH-000356,-0.20501867304000196
ACH-000361,-0.027573615784063074
ACH-000362,-0.1738880866600349
ACH-000363,-0.2612666679102321
ACH-000364,-0.10270978969028813
ACH-000365,-0.253101575665142
ACH-000366,-0.18559269340973736
ACH-000368,0.03302409320290328
ACH-000374,-0.37597347074892973
ACH-000375,-0.042828702659773926
ACH-000376,-0.08341137426876293
ACH-000381,0.01709575452644511
ACH-000383,-0.1141699340234386
ACH-000387,-0.1266975298260602
ACH-000389,-0.23871294736223325
ACH-000390,-0.03414914963476237
ACH-000393,-0.3292966162089673
ACH-000395,-0.3696753278604091
ACH-000396,-0.11574833923808678
ACH-000397,-0.1179239910234796
ACH-000401,-0.2475746160626944
ACH-000402,-0.3669078839480588
ACH-000403,-0.1024024896269156
ACH-000404,-0.38208717810595344
ACH-000406,-0.13172792546530818
ACH-000407,-0.2971271803248768
ACH-000408,-0.2026901185565845
ACH-000410,-0.271385216186081
ACH-000411,-0.17071144128491827
ACH-000414,-0.1380935523015722
ACH-000415,-0.13009413993518978
ACH-000416,-0.12892919326026098
ACH-000420,-0.2414965562913195
ACH-000421,-0.2988839985771818
ACH-000424,-0.2716443090771907
ACH-000425,-0.1549693490016268
ACH-000426,-0.10954635471428673
ACH-000427,-0.2350894918748017
ACH-000433,-0.376538090528883
ACH-000435,-0.1636147219818481
ACH-000436,-0.046087257993117976
ACH-000444,-0.013349592879206243
ACH-000445,-0.4478365024604025
ACH-000448,-0.2346083861430876
ACH-000450,-0.14918379071255264
ACH-000452,-0.21445013788976744
ACH-000454,-0.21951999798344274
ACH-000458,-0.16844300220704986
ACH-000459,0.13315624232124387
ACH-000460,-0.17328048000287866
ACH-000461,-0.1447192450238647
ACH-000463,-0.29550165872121353
ACH-000464,-0.304727778758685
ACH-000466,-0.1241086176756552
ACH-000467,-0.005133760034767951
ACH-000468,-0.3086316279840421
ACH-000469,-0.0700208713909269
ACH-000470,-0.05025843134758337
