,LRWD1 (222229)
ACH-000004,-0.1013274270961668
ACH-000005,-0.20546575560797006
ACH-000007,-0.18026897911183648
ACH-000009,-0.17268195630776997
ACH-000011,-0.20691269881535315
ACH-000012,-0.3472718286383931
ACH-000013,-0.10714861859164723
ACH-000014,-0.35951313043431943
ACH-000015,-0.23322385710369306
ACH-000017,-0.12511003589960534
ACH-000018,-0.09422575217469854
ACH-000019,-0.3237227513552405
ACH-000021,-0.4474799679969804
ACH-000022,-0.25220854446107305
ACH-000025,-0.2324710322055628
ACH-000028,-0.4579099826760388
ACH-000030,-0.12553633462711672
ACH-000035,-0.3969874355773951
ACH-000036,-0.3294997771977614
ACH-000037,-0.3675683533943721
ACH-000039,-0.2935968353413836
ACH-000040,-0.3524766191615553
ACH-000041,-0.09770252851265204
ACH-000042,-0.2543837541052018
ACH-000045,-0.22400052655621636
ACH-000047,-0.2959571960697862
ACH-000052,-0.3470239009885533
ACH-000053,-0.3184992920073932
ACH-000054,-0.4727038653861619
ACH-000055,-0.2418039504067527
ACH-000060,-0.34322380065470515
ACH-000067,-0.5038091021950615
ACH-000070,-0.3125665825372194
ACH-000075,-0.3851314810115309
ACH-000078,-0.5330828788222213
ACH-000082,-0.2853069528344329
ACH-000085,-0.3419589588255708
ACH-000086,-0.3432889836966976
ACH-000087,-0.2834586049832438
ACH-000092,-0.2993078183223153
ACH-000095,-0.2740430267140306
ACH-000097,-0.12152472342454945
ACH-000098,-0.2038035469191541
ACH-000099,-0.4070234404761162
ACH-000108,-0.25021047060974194
ACH-000113,-0.1427349098590516
ACH-000116,-0.2447803395532613
ACH-000118,-0.270130283063577
ACH-000120,-0.3170278069614467
ACH-000123,-0.2554509157900771
ACH-000127,-0.15962769538968075
ACH-000128,-0.2674467639818597
ACH-000132,-0.4234112293856228
ACH-000133,-0.3732798169863149
ACH-000137,-0.4721130585363329
ACH-000138,-0.294253282445142
ACH-000142,-0.2897867742365859
ACH-000143,-0.2727148879527789
ACH-000146,-0.3899989846704189
ACH-000148,-0.27240096321410073
ACH-000150,-0.305844729635501
ACH-000152,-0.2244426947395419
ACH-000153,-0.4894535673729914
ACH-000159,-0.2367404015171792
ACH-000160,-0.18004999367039162
ACH-000163,-0.33813269118960626
ACH-000167,-0.2800620663342921
ACH-000168,-0.39522404902653707
ACH-000169,-0.2359718170972612
ACH-000178,-0.2448505833538819
ACH-000183,-0.1455546903119498
ACH-000188,-0.2549312767138036
ACH-000189,-0.2180314276825344
ACH-000190,-0.08393350798125122
ACH-000198,-0.3969816816977656
ACH-000203,-0.4461219212467552
ACH-000204,-0.4380556203012736
ACH-000206,-0.06552558786116049
ACH-000207,-0.19429551805342068
ACH-000208,-0.0391473390854501
ACH-000210,-0.228575732773725
ACH-000211,-0.4157286972845915
ACH-000215,-0.29108918908612497
ACH-000221,-0.17167469163502505
ACH-000222,0.09724888146626393
ACH-000223,-0.25284368983935723
ACH-000226,-0.33839644106916383
ACH-000227,-0.39027021162639935
ACH-000228,-0.10633938585022368
ACH-000231,-0.1438423825520211
ACH-000232,-0.32593069502198235
ACH-000233,-0.2183094294172168
ACH-000234,-0.2889007453436593
ACH-000235,-0.2712885709899441
ACH-000237,-0.3629891869797721
ACH-000238,-0.2756369778082059
ACH-000242,-0.422204979239048
ACH-000243,-0.2831723575958197
ACH-000244,-0.4701817038965623
ACH-000246,-0.31636328659599183
ACH-000248,-0.16389159981231424
ACH-000250,-0.346396328030687
ACH-000251,-0.4518951287739088
ACH-000252,-0.2522529732360639
ACH-000253,-0.3460841899286001
ACH-000255,-0.39613869873138907
ACH-000256,-0.19989068234357327
ACH-000257,-0.25791924532205845
ACH-000258,-0.44682426170465744
ACH-000259,-0.291632036654273
ACH-000260,-0.3809077046341797
ACH-000261,-0.3171565126064637
ACH-000262,-0.13753082272134667
ACH-000263,-0.3609220430059316
ACH-000264,-0.29504681801397153
ACH-000265,-0.19535178205084408
ACH-000266,-0.3022673506808329
ACH-000272,-0.23480525802854685
ACH-000274,-0.22671076806489315
ACH-000277,-0.2772219871018269
ACH-000278,-0.2937809686738295
ACH-000279,-0.1953901975561698
ACH-000280,-0.2745326609057193
ACH-000281,-0.2361207055678198
ACH-000288,-0.2779685500162083
ACH-000291,-0.17515889518515054
ACH-000293,-0.520787196777405
ACH-000294,-0.31821567174888177
ACH-000295,-0.2721895763515396
ACH-000296,-0.4315658915980086
ACH-000302,-0.2642846503857376
ACH-000304,-0.4995455607796236
ACH-000307,-0.2589841594471514
ACH-000308,-0.2736926507711623
ACH-000310,-0.2856390614394627
ACH-000311,-0.18465268247073036
ACH-000312,-0.3312795640698379
ACH-000315,-0.13377718700485558
ACH-000316,-0.3390350942681201
ACH-000317,-0.2901199441839497
ACH-000318,-0.2687662873448663
ACH-000319,-0.433093763321
ACH-000320,-0.20711001562743056
ACH-000322,-0.40659425246200204
ACH-000323,-0.24306813511587286
ACH-000324,-0.33818712984850324
ACH-000329,-0.3164161387708262
ACH-000330,-0.3099351897280766
ACH-000331,-0.33618664564007045
ACH-000332,-0.23705803830396624
ACH-000334,-0.373210245564176
ACH-000335,-0.18369137940494606
ACH-000336,-0.6105701048869873
ACH-000337,-0.3116196216893093
ACH-000338,-0.23916849893302056
ACH-000339,-0.2364764744319759
ACH-000341,-0.2647735307421788
ACH-000348,-0.18611982196308488
ACH-000350,-0.3134282852776367
ACH-000352,-0.1690515349028231
ACH-000356,-0.2785164751592154
ACH-000361,-0.2653690913894552
ACH-000362,-0.44203593349694176
ACH-000363,-0.08968641385133025
ACH-000364,-0.23353193143071546
ACH-000365,-0.3374211206461943
ACH-000366,-0.28300206311829906
ACH-000368,-0.09891976619826078
ACH-000374,-0.28379558231699714
ACH-000375,0.08279284066420856
ACH-000376,-0.2912781894774049
ACH-000381,-0.10543752499784904
ACH-000383,-0.514723138686563
ACH-000387,-0.3843129163293559
ACH-000389,-0.3084348374821228
ACH-000390,-0.3858785211746366
ACH-000393,-0.2601185096547585
ACH-000395,-0.43805895420674257
ACH-000396,-0.2277785286808271
ACH-000397,-0.3905684686818476
ACH-000401,-0.02881572579064643
ACH-000402,-0.3615711336826088
ACH-000403,-0.20874943503860974
ACH-000404,-0.30745546234116217
ACH-000406,-0.26592785297581545
ACH-000407,-0.3409361792190586
ACH-000408,-0.5236924233873818
ACH-000410,-0.21425344442402436
ACH-000411,-0.17691626939889485
ACH-000414,-0.3358401454921461
ACH-000415,-0.3636077167940824
ACH-000416,-0.3179182121916265
ACH-000420,-0.3554617151890961
ACH-000421,-0.3182317476897333
ACH-000424,-0.2345862340462565
ACH-000425,-0.2418627288081179
ACH-000426,-0.2705707986388144
ACH-000427,-0.2825291099004985
ACH-000433,-0.3157330427117398
ACH-000435,-0.28695818793138755
ACH-000436,-0.2643288946937372
ACH-000444,-0.1731405573451004
ACH-000445,-0.2876238421925347
ACH-000448,-0.2709633076928584
ACH-000450,-0.03547560738030518
ACH-000452,-0.3596315229788525
ACH-000454,-0.32787094418505675
ACH-000458,-0.3864928400814044
ACH-000459,-0.2096893288167908
ACH-000460,-0.3578621216254503
ACH-000461,-0.24098991798734445
ACH-000463,-0.2302201563535284
ACH-000464,-0.5563287560105533
ACH-000466,-0.3832091147225344
ACH-000467,-0.11491688902132476
ACH-000468,-0.2840911634417366
ACH-000469,-0.42528210773382014
ACH-000470,-0.3291844770384928
ACH-000471,-0.27635163104444
ACH-000472,-0.20584176928939493
ACH-000473,-0.34412938861139425
ACH-000475,-0.3180481930275315
ACH-000476,-0.5187407127166511
ACH-000477,-0.39909191321198695
ACH-000479,-0.4021128518071683
ACH-000480,-0.05210974045947652
ACH-000481,-0.3357997379080783
ACH-000483,-0.4179052306086543
ACH-000484,-0.3621954730992088
ACH-000485,-0.2974469951347495
ACH-000486,-0.1709074308490644
ACH-000487,-0.34093321672454824
ACH-000488,-0.2845345602851333
ACH-000490,-0.2802336873828425
ACH-000491,-0.2741570064054157
ACH-000495,-0.4429564708797616
ACH-000496,-0.218162741079836
ACH-000499,-0.2469710736449144
ACH-000500,-0.5316311737169085
ACH-000502,-0.3318575299469113
ACH-000503,-0.3802834391258538
ACH-000505,-0.2316005070725099
ACH-000507,-0.04139078008822791
ACH-000510,-0.3708234432309481
ACH-000511,-0.2709729097196191
ACH-000512,-0.34234137106027346
ACH-000516,-0.4744577371429615
ACH-000517,-0.22293518980022586
ACH-000518,-0.22046623407584695
ACH-000520,-0.518083056740718
ACH-000521,-0.32664822278539624
ACH-000522,-0.29938518831556793
ACH-000524,-0.3962369326167205
ACH-000527,-0.2636005771610477
ACH-000528,-0.2648612733526288
ACH-000537,-0.14095877607495988
ACH-000541,-0.3425374470529729
ACH-000542,-0.2289837328688628
ACH-000544,-0.5925247001071188
ACH-000545,-0.3638582237140695
ACH-000547,-0.16477300580903248
ACH-000548,-0.16112400478523475
ACH-000549,-0.05361942519212088
ACH-000550,-0.3422827530244086
ACH-000552,-0.4114653580262765
ACH-000556,-0.2180986237053948
ACH-000557,-0.28184768788608056
ACH-000569,-0.17740763365274864
ACH-000570,-0.3037806075989824
ACH-000571,-0.2397828274764364
ACH-000573,-0.2552967603383351
ACH-000576,-0.2736213423450765
ACH-000579,-0.2441072681154696
ACH-000580,-0.2265424551298301
ACH-000584,-0.2437240485902252
ACH-000585,-0.4823057985075694
ACH-000588,-0.2351379320616057
ACH-000589,-0.1988113383019421
ACH-000591,-0.32667920989541993
ACH-000593,-0.2717466119132064
ACH-000600,-0.4251237061560535
ACH-000601,-0.13399870016104304
ACH-000605,-0.23580490057922
ACH-000606,-0.2947268603949372
ACH-000608,-0.3362911174922092
ACH-000614,-0.4378253679700481
ACH-000616,-0.3301482342612964
ACH-000618,-0.1057445703709488
ACH-000619,-0.34349390540878205
ACH-000620,-0.3571695141451276
ACH-000621,-0.2762492753337013
ACH-000622,-0.2853876597998942
ACH-000623,-0.26505817619686606
ACH-000624,-0.31431731980164024
ACH-000627,-0.19324205368920072
ACH-000630,-0.26207649467537825
ACH-000631,-0.20160129195858573
ACH-000632,-0.21320436463756606
ACH-000633,-0.29986840514178903
ACH-000637,-0.15961863123782466
ACH-000638,-0.2355168305793053
ACH-000646,-0.13222426722314004
ACH-000647,-0.14889565003494915
ACH-000648,-0.15674388959733015
ACH-000649,-0.3492905700909457
ACH-000651,-0.17680706804799382
ACH-000652,-0.3940693822391579
ACH-000653,-0.2619756748607751
ACH-000657,-0.4985498272281992
ACH-000658,-0.3280796010016379
ACH-000661,-0.2523679185679243
ACH-000662,-0.2376959327032344
ACH-000663,-0.04164299053921424
ACH-000665,-0.3202961686401539
ACH-000671,-0.3588005459046754
ACH-000672,-0.2316507916778531
ACH-000673,-0.3878139826579884
ACH-000676,-0.3196713494050161
ACH-000677,-0.1659481342409422
ACH-000681,-0.3495034918902941
ACH-000683,-0.23714279013765324
ACH-000684,-0.44303652131688137
ACH-000688,-0.26311460964568184
ACH-000693,-0.4164337285227381
ACH-000694,-0.3483347423595299
ACH-000695,-0.3519312377518312
ACH-000696,-0.3042516990661773
ACH-000697,-0.08412921724568274
ACH-000699,-0.3499585969214448
ACH-000701,-0.2003774431190971
ACH-000706,-0.20594867410408946
ACH-000711,-0.2782863889532245
ACH-000713,-0.43244492363263703
ACH-000714,-0.5899663589227686
ACH-000718,-0.24690185358227815
ACH-000720,-0.24600839715292766
ACH-000721,-0.19781283524194676
ACH-000724,-0.2432975072438308
ACH-000725,-0.18500256360530404
ACH-000732,-0.18814345501553711
ACH-000734,-0.23331441402416025
ACH-000735,-0.2156012870442302
ACH-000736,-0.23851167244085206
ACH-000738,-0.20832994972535454
ACH-000746,-0.29702641967174753
ACH-000747,-0.3879597987357006
ACH-000748,-0.28783844923287444
ACH-000753,-0.18037785503432208
ACH-000756,-0.1309525488676526
ACH-000757,-0.2396655242819427
ACH-000758,-0.24251262759766345
ACH-000760,-0.21856499820830755
ACH-000762,-0.29395671942206714
ACH-000763,-0.38103401455860497
ACH-000764,-0.2115817520198721
ACH-000765,-0.14476988530379267
ACH-000766,-0.2170943542629703
ACH-000767,-0.4203722527168469
ACH-000768,-0.3083658088060351
ACH-000769,-0.3774037496460844
ACH-000770,-0.30207383445097946
ACH-000771,-0.3724177612829043
ACH-000773,-0.26153555895907216
ACH-000776,-0.3579151574236375
ACH-000777,-0.30039681566520515
ACH-000778,-0.1496796596031397
ACH-000781,-0.18307172348505585
ACH-000782,-0.32285535542375904
ACH-000783,-0.35571663642080154
ACH-000784,-0.2358920848482097
ACH-000785,-0.21927702242715952
ACH-000787,-0.26411592666329875
ACH-000788,-0.3714176818112917
ACH-000791,-0.2691237095797471
ACH-000792,-0.3722427248327667
ACH-000794,-0.2784100071049141
