,SMTN (6525)
ACH-000004,-0.5841505491333371
ACH-000005,-0.2751415387675639
ACH-000007,-0.4146421382586194
ACH-000009,-0.2477968746229936
ACH-000011,-0.3353391305059814
ACH-000012,-0.283332703853785
ACH-000013,-0.18918035816655984
ACH-000014,-0.2597438446958037
ACH-000015,-0.3456302724046477
ACH-000017,-0.1395107680309483
ACH-000018,-0.010508536532445429
ACH-000019,-0.2368823801818485
ACH-000021,-0.15462722842280902
ACH-000022,-0.12508643733846392
ACH-000025,-0.2339705750288957
ACH-000028,-0.3082832536230465
ACH-000030,-0.3938971119740189
ACH-000035,-0.22441761452029899
ACH-000036,-0.18595914407319286
ACH-000037,0.04819887581656279
ACH-000039,-0.26561662341725506
ACH-000040,-0.10490972505745716
ACH-000041,-0.20916916397229396
ACH-000042,-0.24902841449756094
ACH-000045,-0.010965175653034323
ACH-000047,-0.35525990672737395
ACH-000052,-0.3630831696228145
ACH-000053,-0.18646403294046746
ACH-000054,-0.1260731845212046
ACH-000055,-0.4535667102084351
ACH-000060,-0.2737178102576233
ACH-000067,-0.18224637157250054
ACH-000070,-0.06296760182167298
ACH-000075,-0.06770018578930835
ACH-000078,-0.2751343349730105
ACH-000082,-0.054083606713016735
ACH-000085,-0.578070242242796
ACH-000086,-0.13578068394848875
ACH-000087,-0.20992487330116924
ACH-000092,-0.33741671941776125
ACH-000095,-0.09795870237598102
ACH-000097,-0.24929056420587156
ACH-000098,-0.2697718792510111
ACH-000099,-0.2403755844539595
ACH-000108,-0.10954530925938452
ACH-000113,-0.12632851196559847
ACH-000116,-0.2832333199556455
ACH-000118,-0.10863674456201154
ACH-000120,-0.11183776029319946
ACH-000123,-0.2488309169321691
ACH-000127,-0.08012679788394785
ACH-000128,0.012458848377551771
ACH-000132,-0.1193709105799578
ACH-000133,-0.2013602277731512
ACH-000137,-0.06308062922447598
ACH-000138,-0.10844133258404784
ACH-000142,-0.09401126307490952
ACH-000143,-0.129779813071745
ACH-000146,-0.1791614086584803
ACH-000148,-0.15120221341479587
ACH-000150,-0.4124315751879339
ACH-000152,-0.1827779312745662
ACH-000153,-0.11315089831774375
ACH-000159,-0.12367701930668536
ACH-000160,-0.2566801415865702
ACH-000163,-0.10994543373258617
ACH-000167,0.16481928501860968
ACH-000168,-0.21921418655342026
ACH-000169,-0.1922211689310182
ACH-000178,-0.18415869323596107
ACH-000183,-0.3356630905401814
ACH-000188,0.004307509570089329
ACH-000189,-0.4126950057767969
ACH-000190,-0.3392175390320265
ACH-000198,-0.08663214837845888
ACH-000203,-0.6280801434783311
ACH-000204,-0.07918295621535952
ACH-000206,0.0773290797582721
ACH-000207,-0.325435026994478
ACH-000208,-0.10307517518763833
ACH-000210,-0.3513010668951688
ACH-000211,-0.26269293993556586
ACH-000215,-0.16146874395154473
ACH-000221,-0.3518625286799566
ACH-000222,-0.09234793344684993
ACH-000223,-0.1167464704182858
ACH-000226,-0.22130225324569205
ACH-000227,-0.20128111597834425
ACH-000228,-0.25397400394719305
ACH-000231,-0.17289206322360676
ACH-000232,-0.19353912142281054
ACH-000233,-0.3159499935334887
ACH-000234,-0.025417644465952623
ACH-000235,-0.08604775414147707
ACH-000237,-0.1323258265356207
ACH-000238,-0.2151721196405268
ACH-000242,-0.6175300052421884
ACH-000243,-0.1657569151360324
ACH-000244,-0.17702367463879204
ACH-000246,-0.08653434417745827
ACH-000248,-0.13516925481707825
ACH-000250,-0.3943328677694731
ACH-000251,-0.2802921371791795
ACH-000252,-0.07932743250162881
ACH-000253,-0.208588881243132
ACH-000255,-0.23052610959126926
ACH-000256,-0.18389417101468591
ACH-000257,-0.1429255965478408
ACH-000258,-0.4256918091005827
ACH-000259,-0.04852131104203363
ACH-000260,-0.0595050212813827
ACH-000261,-0.1569589190428337
ACH-000262,-0.14275971555070371
ACH-000263,-0.016700442532116947
ACH-000264,-0.24986671625648496
ACH-000265,-0.2358965538633309
ACH-000266,-0.11654873358697215
ACH-000272,-0.17706741155474442
ACH-000274,-0.276889723177289
ACH-000277,-0.10814658451970292
ACH-000278,-0.17303447109733622
ACH-000279,-0.20479235542576266
ACH-000280,-0.16601055003427315
ACH-000281,-0.26095535804064285
ACH-000288,-0.16092533684372198
ACH-000291,-0.19566230840018986
ACH-000293,-0.14901688606237146
ACH-000294,-0.11773149059066924
ACH-000295,0.12753592513500822
ACH-000296,-0.34493781640602256
