,AURKAIP1 (54998)
ACH-000004,-0.4291672925861717
ACH-000005,-0.2803513730444103
ACH-000007,-0.5716500524797634
ACH-000009,-0.4345897960629648
ACH-000011,-0.3008696472335851
ACH-000012,-0.3884661348911406
ACH-000013,-0.4595701725229155
ACH-000014,-0.41604095897949134
ACH-000015,-0.4667155353198442
ACH-000017,-0.15338667099741254
ACH-000018,-0.5747405650000187
ACH-000019,-0.6363355093084297
ACH-000021,-0.4300744488896428
ACH-000022,-0.6759143410236347
ACH-000025,-0.5103625124828945
ACH-000028,-0.3465148256448331
ACH-000030,-0.4121539968808823
ACH-000035,-0.7178421787478971
ACH-000036,-0.3650414828976744
ACH-000037,-0.4464217243115372
ACH-000039,-0.39907949590280056
ACH-000040,-0.4394523863477205
ACH-000041,-0.39074247097547415
ACH-000042,-0.4108663774623393
ACH-000045,-0.5069483396283192
ACH-000047,-0.7078363481104528
ACH-000052,-0.4620751718917799
ACH-000053,-0.3488137960780773
ACH-000054,-0.5572632560547862
ACH-000055,-0.4497584531683032
ACH-000060,-0.4193313864120087
ACH-000067,-0.34774502438364696
ACH-000070,-0.5038406172204931
ACH-000075,-0.24906551029488866
ACH-000078,-0.3472141927749106
ACH-000082,-0.2801546532153486
ACH-000085,-0.4920427245820048
ACH-000086,-0.4408806404200896
ACH-000087,-0.7623694718784988
ACH-000092,-0.3169014845013345
ACH-000095,-0.2314899180632755
ACH-000097,-0.5479697527294266
ACH-000098,-0.2980371140111321
ACH-000099,-0.5332508738553362
ACH-000108,-0.4221456026770055
ACH-000113,-0.5787011729205122
ACH-000116,-0.5194414613663786
ACH-000118,-0.6505812513717684
ACH-000120,-0.3858027604528453
ACH-000123,-0.42977564790070105
ACH-000127,-0.6764815514589396
ACH-000128,-0.3475955205792054
ACH-000132,-0.3888958014315991
ACH-000133,-0.4290964676780565
ACH-000137,-0.3476766925354375
ACH-000138,-0.4915797509910012
ACH-000142,-0.30747873720695057
ACH-000143,-0.44350554232927203
ACH-000146,-0.35060459323499943
ACH-000148,-0.42163848119527175
ACH-000150,-0.5477261347689704
ACH-000152,-0.4488877345458813
ACH-000153,-0.635791693798199
ACH-000159,-0.3083405292688132
ACH-000160,-0.5589300020620264
ACH-000163,-0.4230188872317368
ACH-000167,-0.629363072668693
ACH-000168,-0.4088665907644595
ACH-000169,-0.6218617915849369
ACH-000178,-0.44825258585990896
ACH-000183,-0.3694109313256749
ACH-000188,-0.2853826893928585
ACH-000189,-0.7142266106713497
ACH-000190,-0.5902399484292675
ACH-000198,-0.32686874505316593
ACH-000203,-0.5168012556820918
ACH-000204,-0.6176174484214562
ACH-000206,-0.7597934422370011
ACH-000207,-0.6111113640029259
ACH-000208,-0.23804736866403164
ACH-000210,-0.6335764980122999
ACH-000211,-0.3649937375545372
ACH-000215,-0.5216961108534742
ACH-000221,-0.5403792887635255
ACH-000222,-0.4351494563972441
ACH-000223,-0.5523672938946922
ACH-000226,-0.3407978625436078
ACH-000227,-0.3538522392911853
ACH-000228,-0.3934103657883869
ACH-000231,-0.3286670595339641
ACH-000232,-0.42307178933863615
ACH-000233,-0.4559188490501399
ACH-000234,-0.493382972901411
ACH-000235,-0.4084862208733143
ACH-000237,-0.29273735718343824
ACH-000238,-0.5519779832645516
ACH-000242,-0.09999365650267532
ACH-000243,-0.409063488117338
ACH-000244,-0.2055553389452295
ACH-000246,-0.6206834677493362
ACH-000248,-0.6779213888687156
ACH-000250,-0.3190714295207862
ACH-000251,-0.6473795115356401
ACH-000252,-0.2154806946935728
ACH-000253,-0.29351734981638244
ACH-000255,-0.4493795728466233
ACH-000256,-0.4763053446998616
ACH-000257,-0.7336721428975626
ACH-000258,-0.2806841412870664
ACH-000259,-0.43948288060649104
ACH-000260,-0.4590126891200856
ACH-000261,-0.4066738947524545
ACH-000262,-0.5241186512034852
ACH-000263,-0.6699558224294525
ACH-000264,-0.3716850827404489
ACH-000265,-0.34276169865068123
ACH-000266,-0.3616754262528478
ACH-000272,-0.3716379740594791
ACH-000274,-0.5373227720437481
ACH-000277,-0.6619276136928365
ACH-000278,-0.24044316558307585
ACH-000279,-0.465712629406171
ACH-000280,-0.3212789178904707
ACH-000281,-0.4542256015963251
ACH-000288,-0.5876641242882257
ACH-000291,-0.42786787751484295
ACH-000293,-0.4480280943094268
ACH-000294,-0.3720425292170728
ACH-000295,-0.5165597087538316
ACH-000296,-0.17822789087196836
ACH-000302,-0.5674071387877616
ACH-000304,-0.9974895719199426
ACH-000307,-0.5005516363248611
