,GZMM (3004)
ACH-000004,-0.0768339370763246
ACH-000005,-0.13410909164982338
ACH-000007,-0.1737197982286541
ACH-000009,-0.05245094461987622
ACH-000011,-0.12947003470602467
ACH-000012,-0.17498571582314754
ACH-000013,-0.17252334716505013
ACH-000014,-0.017938577537236402
ACH-000015,-0.1665174787275636
ACH-000017,-0.18670189208944696
ACH-000018,-0.11349258631900655
ACH-000019,-0.2971093183184231
ACH-000021,-0.1890876359915334
ACH-000022,-0.19879244893319106
ACH-000025,-0.1816049537281455
ACH-000028,-0.18870047747579172
ACH-000030,-0.22315799471718034
ACH-000035,-0.10418175128104183
ACH-000036,-0.1558352686843339
ACH-000037,-0.2039727464658116
ACH-000039,-0.05522242399822962
ACH-000040,-0.2368191224314585
ACH-000041,-0.07854570382764779
ACH-000042,-0.12374354719727695
ACH-000045,-0.08135942147200087
ACH-000047,-0.20354976554537108
ACH-000052,0.09523283984498963
ACH-000053,-0.2329475225470017
ACH-000054,-0.27129343906890263
ACH-000055,-0.06729135301568152
ACH-000060,-0.08758391499455878
ACH-000067,-0.1825421986983776
ACH-000070,-0.06432809594240506
ACH-000075,0.044320322779415416
ACH-000078,-0.1640909315854477
ACH-000082,-0.12056583665395725
ACH-000085,-0.22309074787791414
ACH-000086,-0.21778598999663507
ACH-000087,0.1693900356659413
ACH-000092,-0.05074977399881885
ACH-000095,-0.29556049713023513
ACH-000097,-0.12210456684040763
ACH-000098,-0.16945018852847354
ACH-000099,-0.33597149528239506
ACH-000108,-0.08785058594621277
ACH-000113,-0.11825472735097366
ACH-000116,-0.05641952427855487
ACH-000118,-0.11621993009483275
ACH-000120,-0.03547742815239256
ACH-000123,-0.10585542340832406
ACH-000127,-0.14829756575490646
ACH-000128,-0.03719031169542306
ACH-000132,-0.14335598682594028
ACH-000133,-0.11663030932456407
ACH-000137,-0.07775928268691046
ACH-000138,-0.08536722265134483
ACH-000142,-0.1211585298386498
ACH-000143,-0.0930379721878933
ACH-000146,-0.1213353284430888
ACH-000148,-0.08651943500604048
ACH-000150,-0.2728455236237421
ACH-000152,-0.19734917211053224
ACH-000153,0.04863477724226746
ACH-000159,-0.0905712993910404
ACH-000160,-0.13596675855731818
ACH-000163,0.009564929709186914
ACH-000167,0.05864206961684729
ACH-000168,0.08743234839163484
ACH-000169,-0.0139399876044409
ACH-000178,-0.1769851879353705
ACH-000183,-0.1363252353172856
ACH-000188,-0.10205713459883636
ACH-000189,-0.15424714868367498
ACH-000190,0.013830375038914312
ACH-000198,0.02850652226611972
ACH-000203,-0.4601246696718204
ACH-000204,-0.2010850429884986
ACH-000206,0.09368533151265697
ACH-000207,0.054861677995775016
ACH-000208,-0.03083292225903232
ACH-000210,-0.22232516453975984
ACH-000211,-0.05876430668338646
ACH-000215,-0.09357563574930404
ACH-000221,-0.15361168856937132
ACH-000222,-0.3185812694449648
ACH-000223,-0.0944663914244765
ACH-000226,-0.037929723797366026
ACH-000227,-0.03320809289767648
ACH-000228,-0.031682491424401535
ACH-000231,-0.11018878500577367
ACH-000232,-0.08411791503138709
ACH-000233,-0.14665655796096588
ACH-000234,-0.2148402780631056
ACH-000235,-0.14700557618440338
ACH-000237,-0.20717417738213872
ACH-000238,-0.1650614154456777
ACH-000242,-0.15896965573398886
ACH-000243,-0.06211640418157905
ACH-000244,-0.19477994705476248
ACH-000246,-0.1365851219007866
ACH-000248,-0.02393991802545097
ACH-000250,-0.22471035768073225
ACH-000251,-0.23706023605556836
ACH-000252,-0.014616634290568652
ACH-000253,-0.18976060164049607
ACH-000255,0.02729948706156653
ACH-000256,-0.18849465085905664
ACH-000257,-0.0018699728635167055
ACH-000258,-0.07265984660199552
ACH-000259,-0.15865499320879395
ACH-000260,-0.05533819107006222
ACH-000261,-0.08997769780624976
ACH-000262,-0.1565468166602746
ACH-000263,-0.2172753466015399
ACH-000264,-0.08323223369645033
ACH-000265,0.005931877034296839
ACH-000266,-0.2020541868150651
ACH-000272,-0.07120413887353186
ACH-000274,-0.24700886717887194
ACH-000277,-0.09978611750896356
ACH-000278,-0.02961653596518912
ACH-000279,-0.1138504373325318
ACH-000280,-0.1474163966731238
ACH-000281,0.05103939390411755
ACH-000288,-0.037017722109800526
ACH-000291,-0.02517494905594921
ACH-000293,-0.10974843736411456
ACH-000294,-0.21062772887877929
ACH-000295,-0.391988213559686
ACH-000296,-0.046116296920266274
ACH-000302,-0.16078617522092098
ACH-000304,0.03205624681021325
ACH-000307,-0.0733185610733962
ACH-000308,-0.08885805740379484
ACH-000310,-0.1585646899916094
ACH-000311,-0.1901909763384928
ACH-000312,-0.2655107762637731
ACH-000315,0.08615858373091999
ACH-000316,0.0693007518951586
ACH-000317,-0.02034051723195149
ACH-000318,0.12703438716972254
ACH-000319,-0.24733255693429834
ACH-000320,-0.11058817344546623
ACH-000322,0.2070533847545896
ACH-000323,-0.2048368403978015
ACH-000324,-0.19346138321377232
ACH-000329,-0.1965364249715056
ACH-000330,-0.25991526941453474
ACH-000331,-0.14420291618432218
ACH-000332,-0.19018561747827376
ACH-000334,-0.16981407042839705
