,CHURC1 (91612)
ACH-000004,-0.023855898387231983
ACH-000005,0.08920217573367137
ACH-000007,-0.16155793181745062
ACH-000009,-0.13488144076038294
ACH-000011,-0.2605713797097036
ACH-000012,-0.1356275165892907
ACH-000013,-0.2387757225515231
ACH-000014,-0.2055226948997336
ACH-000015,-0.08634484433345922
ACH-000017,-0.15408572612866908
ACH-000018,-0.1328741926429633
ACH-000019,-0.2516099375692328
ACH-000021,-0.11728102006375495
ACH-000022,-0.13410594660901806
ACH-000025,-0.09980239093733392
ACH-000028,-0.0600106748739232
ACH-000030,-0.20263920755953568
ACH-000035,-0.07881260188232415
ACH-000036,-0.15567958861030098
ACH-000037,-0.25580385084100393
ACH-000039,0.0309812007598082
ACH-000040,-0.0834355666314635
ACH-000041,-0.11908701116984242
ACH-000042,-0.1174620703126365
ACH-000045,0.0998787303833381
ACH-000047,-0.12083841034946785
ACH-000052,-0.1150933994971382
ACH-000053,-0.12724514278359192
ACH-000054,-0.2540880018763335
ACH-000055,0.010348572787808544
ACH-000060,-0.35543049552117145
ACH-000067,-0.15061846787050948
ACH-000070,-0.06820673638975874
ACH-000075,-0.16982433600826952
ACH-000078,-0.09298971800498364
ACH-000082,-0.2538023745380105
ACH-000085,-0.1090284424813648
ACH-000086,-0.20571836573270955
ACH-000087,-0.25524788778045865
ACH-000092,-0.17498861475858438
ACH-000095,-0.2027212119924777
ACH-000097,-0.15570823823960867
ACH-000098,-0.1330076258210297
ACH-000099,-0.1594510624558793
ACH-000108,-0.07589860696593778
ACH-000113,-0.10661910298896847
ACH-000116,-0.12005237908961768
ACH-000118,-0.2299327244624028
ACH-000120,-0.08483886852625228
ACH-000123,-0.18913127543284225
ACH-000127,-0.10563813336104544
ACH-000128,-0.14128563403511196
ACH-000132,-0.20954826656098455
ACH-000133,-0.2915628358260067
ACH-000137,-0.049089342766852714
ACH-000138,-0.13461686387124924
ACH-000142,-0.11757689090656298
ACH-000143,-0.07283095717388068
ACH-000146,-0.11105985264889537
ACH-000148,-0.1813985035180853
ACH-000150,-0.0563501180064624
ACH-000152,-0.13646293581325145
ACH-000153,-0.1272338900937496
ACH-000159,-0.22148878157930812
ACH-000160,-0.2562827546662272
ACH-000163,-0.1533634408595578
ACH-000167,-0.3496896049812288
ACH-000168,-0.2450303789638964
ACH-000169,-0.14993062227311213
ACH-000178,-0.15376429533799096
ACH-000183,-0.2243957826924288
ACH-000188,-0.0926766713910374
ACH-000189,-0.631688290462004
ACH-000190,-0.13313501700948982
ACH-000198,-0.15135920543088655
ACH-000203,-0.4002275435011256
ACH-000204,-0.2346243636031267
ACH-000206,-0.3869691390606232
ACH-000207,-0.1849173014693118
ACH-000208,-0.04086738852491356
