,IFFO2 (126917)
ACH-000004,-0.16638626147883226
ACH-000005,0.4017172251909648
ACH-000007,-0.1522683221633091
ACH-000009,-0.055829255145272004
ACH-000011,-0.031634696315415566
ACH-000012,-0.09200431309322957
ACH-000013,-0.14100487363569658
ACH-000014,-0.06922611564503127
ACH-000015,0.04509825256252646
ACH-000017,-0.1630760417257505
ACH-000018,0.1331490809879338
ACH-000019,-0.14749893333110756
ACH-000021,0.025901866447067958
ACH-000022,-0.09721022415258138
ACH-000025,0.04217139127427778
ACH-000028,0.02284965197560555
ACH-000030,0.001196848735209126
ACH-000035,-0.22007396325913414
ACH-000036,0.00036258338929282544
ACH-000037,-0.26200189391799905
ACH-000039,-0.12706449786004154
ACH-000040,-0.23349752518732725
ACH-000041,0.02860622269654332
ACH-000042,-0.027023503738946818
ACH-000045,0.2509327758513239
ACH-000047,-0.0820685052583801
ACH-000052,-0.05138473585189158
ACH-000053,-0.07230465113303558
ACH-000054,-0.0921885018156926
ACH-000055,-0.17462284550297286
ACH-000060,-0.06843493388908076
ACH-000067,-0.14329553361625008
ACH-000070,-0.1146552980348271
ACH-000075,-0.07593903991285741
ACH-000078,-0.026322579875234363
ACH-000082,0.009214512717705488
ACH-000085,-0.016526071401059952
ACH-000086,-0.10115625399499986
ACH-000087,-0.3028198954411679
ACH-000092,-0.1057135294365935
ACH-000095,-0.2065928541664888
ACH-000097,-0.014673887189635838
ACH-000098,-0.042381297274484316
ACH-000099,-0.14009420253729546
ACH-000108,-0.20775911655266255
ACH-000113,-0.08086114831486595
ACH-000116,-0.1178904593104208
ACH-000118,-0.11246698748480134
ACH-000120,-0.1220202577940512
ACH-000123,-0.09158408364381446
ACH-000127,-0.08132374899352066
ACH-000128,-0.22461054789882584
ACH-000132,-0.16290669993984222
ACH-000133,-0.16796229956250122
ACH-000137,-0.2318626591122782
ACH-000138,0.08320832700130043
ACH-000142,-0.0418839451542482
ACH-000143,-0.187056740127072
ACH-000146,-0.1540698434611366
ACH-000148,-0.11155315520061516
ACH-000150,-0.23984496468561906
ACH-000152,-0.20956984148179053
ACH-000153,-0.09378876935820846
ACH-000159,-0.003929465906646487
ACH-000160,-0.008052765729196963
ACH-000163,-0.059744689488636225
ACH-000167,0.079967095023269
ACH-000168,0.19140077251043905
ACH-000169,-0.08072665396118324
ACH-000178,-0.18223962702757496
ACH-000183,-0.09987874822239366
ACH-000188,0.03304536024395716
ACH-000189,-0.0384597898160852
ACH-000190,-0.08740519679762791
ACH-000198,0.029698797361530995
ACH-000203,0.0554994731068112
ACH-000204,-0.23623113625478065
ACH-000206,-0.1333227097382246
ACH-000207,-0.011048139296493351
ACH-000208,-0.07431473615392918
ACH-000210,-0.3793961384897093
ACH-000211,-0.039666554080237934
ACH-000215,-0.10640934735584386
ACH-000221,-0.10887533953570323
ACH-000222,0.06192262105081661
ACH-000223,-0.2007191160529262
ACH-000226,-0.11139976332020672
ACH-000227,-0.12460644947540694
ACH-000228,-0.060679572485442486
ACH-000231,-0.07331940700723209
ACH-000232,-0.06816401896812027
ACH-000233,-0.13947227564932155
ACH-000234,-0.047665962828442855
ACH-000235,-0.051825359786703
ACH-000237,-0.1500399145637112
ACH-000238,-0.1510504242327737
