,CEPT1 (10390)
ACH-000004,0.0272503683513829
ACH-000005,-0.12599776402608714
ACH-000007,-0.8162578836144386
ACH-000009,-0.2228075704620396
ACH-000011,-0.09071931685001616
ACH-000012,-0.3367693006515226
ACH-000013,0.026249360547288318
ACH-000014,-0.2630535475762345
ACH-000015,-0.7673524487802197
ACH-000017,-0.1946067800845896
ACH-000018,-0.2891132936115439
ACH-000019,-0.3290648327464929
ACH-000021,-0.3032071226225211
ACH-000022,-0.1753412338795911
ACH-000025,-0.4577363892099384
ACH-000028,-0.4673220832761703
ACH-000030,-0.3944246146666692
ACH-000035,-0.229745807762448
ACH-000036,-0.347993373924471
ACH-000037,-0.3261383080020281
ACH-000039,-0.1932194210610664
ACH-000040,-0.7351548910672482
ACH-000041,-0.0159068881913087
ACH-000042,-0.15884247939434548
ACH-000045,-0.9179865188082243
ACH-000047,-0.12029507647089482
ACH-000052,-0.8239940034223717
ACH-000053,-0.7642145201859715
ACH-000054,-0.2354969478295247
ACH-000055,-0.6292494605522063
ACH-000060,-0.4246770608221804
ACH-000067,-0.1471643020626277
ACH-000070,-0.01231928203859658
ACH-000075,-0.7099247851141373
ACH-000078,-0.6939737714589023
ACH-000082,-0.2513012986452725
ACH-000085,-0.2633770027404518
ACH-000086,-0.7547251630641032
ACH-000087,-0.18369896114013534
ACH-000092,-0.3012511215577858
ACH-000095,-0.057789837616236024
ACH-000097,-0.03373024577203505
ACH-000098,-0.39824858040332256
ACH-000099,-0.4336354482122481
ACH-000108,-0.1585660483779142
ACH-000113,-0.03414644075397987
ACH-000116,-0.21009858713585847
ACH-000118,-0.8621614566709697
ACH-000120,-0.2777524225354067
ACH-000123,-0.536284879402968
ACH-000127,-0.4820327744513708
ACH-000128,-0.2022541479042752
ACH-000132,-0.2452536721930696
ACH-000133,-0.2544880005670757
ACH-000137,-0.3869446737770204
ACH-000138,-0.32740306034020955
ACH-000142,-0.13564710222758802
ACH-000143,-0.4557148992534701
ACH-000146,-0.7246957263868612
ACH-000148,-0.1607563032194493
ACH-000150,-0.03294782860949514
ACH-000152,-0.2786931719882645
ACH-000153,-0.3266790139839145
ACH-000159,-0.11862083998674268
ACH-000160,-0.11574508827858453
ACH-000163,-0.4735412078648739
ACH-000167,-1.164461327254762
ACH-000168,-0.25336466276402164
ACH-000169,-0.12778333328073735
ACH-000178,-0.25926396502297233
ACH-000183,-0.012847140365763909
ACH-000188,-0.25904705571018805
ACH-000189,-0.2442665462479113
ACH-000190,-0.3676723652749064
ACH-000198,-0.01957603305508604
ACH-000203,-0.14341923528431672
ACH-000204,0.004558153451898515
ACH-000206,-0.5525130335417696
ACH-000207,-0.242385558081792
ACH-000208,-0.29424009641154153
ACH-000210,-0.09362081803510164
ACH-000211,-0.26866995069917915
ACH-000215,-0.1997560562860604
ACH-000221,-0.2462041775336873
ACH-000222,-0.22281075669072772
ACH-000223,-0.30597985825974344
ACH-000226,-0.05199532099673924
ACH-000227,-0.2354395063073372
ACH-000228,-0.3553272039413387
ACH-000231,-0.2950375851951712
ACH-000232,-0.1970263109703831
ACH-000233,-0.17587490126196909
ACH-000234,-0.18696458997915444
ACH-000235,-0.22677991522182475
ACH-000237,-0.4597744976862582
ACH-000238,-0.2949017570427412
ACH-000242,-0.07367990562359218
ACH-000243,-0.3102934096008411
ACH-000244,-0.3974675749636519
ACH-000246,-0.09718091091687056
ACH-000248,-0.13041250536071314
ACH-000250,-0.14646786167465425
ACH-000251,-0.24614300233150765
ACH-000252,-0.4364543902146367
ACH-000253,-0.11748096141302428
ACH-000255,-0.011193939151017828
ACH-000256,-0.1374426613203572
ACH-000257,-0.2407504552290168
ACH-000258,-0.16635244502136595
ACH-000259,-0.2450431405607669
ACH-000260,-0.07489717411085305
ACH-000261,-0.5158718082250773
ACH-000262,-0.5879772754352868
ACH-000263,-0.16766308199540056
ACH-000264,-0.5509412256818311
ACH-000265,-0.4394363825095031
ACH-000266,-0.12459482933095045
ACH-000272,-0.3200369321842869
ACH-000274,-0.1391522302798049
ACH-000277,-0.11248598720353196
ACH-000278,-0.2337090531881784
ACH-000279,-0.8037793948464135
ACH-000280,-0.2701696086850696
ACH-000281,-0.3231384518129801
ACH-000288,-0.32778034796438443
ACH-000291,-0.4115337229138653
ACH-000293,-0.06488194113292403
ACH-000294,-0.2100066140042765
ACH-000295,0.00738791768577656
ACH-000296,-0.6275170532273436
ACH-000302,-0.19943824991461845
ACH-000304,-0.17968466386228812
ACH-000307,-0.828029763037136
ACH-000308,-0.2116747233630432
ACH-000310,-0.21566170811908414
ACH-000311,0.07243883659221731
ACH-000312,-0.2303140581784556
ACH-000315,-0.9252688103825338
ACH-000316,-0.29887372380799343
ACH-000317,-0.3379807887445793
ACH-000318,-0.2341348585811737
ACH-000319,-0.25972067513429714
ACH-000320,-0.3379183557361333
ACH-000322,0.0027840983594286718
ACH-000323,-0.4518062850111198
ACH-000324,-0.2677639026825387
ACH-000329,-0.2706300758803293
ACH-000330,-0.5646567783289368
ACH-000331,-0.1917011703250702
ACH-000332,-0.1546796712856413
ACH-000334,-0.6522262648642437
ACH-000335,-0.2310329589109379
ACH-000336,-0.1713480397870853
ACH-000337,-0.005966870719708889
ACH-000338,-0.7098567886857934
ACH-000339,-0.1111483824380698
