,FRMD4B (23150)
ACH-000004,0.008400009331691652
ACH-000005,-0.07631045296055754
ACH-000007,0.04838027493753717
ACH-000009,0.032219542892779264
ACH-000011,0.06840658259389139
ACH-000012,-0.09678596811386818
ACH-000013,0.08797149868623286
ACH-000014,-0.03624310017891039
ACH-000015,-0.1031196451674138
ACH-000017,-0.03091554288849858
ACH-000018,-0.10458199974165064
ACH-000019,-0.06625380231411923
ACH-000021,-0.007491655961546253
ACH-000022,-0.13377528961798066
ACH-000025,-0.0134029386072703
ACH-000028,-0.009321834348748968
ACH-000030,0.029768678335253974
ACH-000035,-0.06121367953178548
ACH-000036,-0.031043480782167107
ACH-000037,0.06308433459595822
ACH-000039,-0.002223691794779532
ACH-000040,0.07085213726692366
ACH-000041,-0.040416372582698916
ACH-000042,-0.06002839758711714
ACH-000045,-0.0201915127330122
ACH-000047,-0.01342858746079994
ACH-000052,0.0416973275822738
ACH-000053,-0.0793174955121862
ACH-000054,-0.08066379632205482
ACH-000055,-0.11322198854845625
ACH-000060,-0.05454881910420142
ACH-000067,-0.24098520263377715
ACH-000070,-0.06805809968965862
ACH-000075,-0.0411848931144717
ACH-000078,-0.026285089874924585
ACH-000082,0.02391320097948351
ACH-000085,-0.05909267598670059
ACH-000086,-0.04444121158961828
ACH-000087,-0.2545924876997393
ACH-000092,0.1435268240146303
ACH-000095,-0.06597604450458856
ACH-000097,0.09287234596285866
ACH-000098,-0.08127382835939266
ACH-000099,0.06306699538644693
ACH-000108,-0.01872147576974237
ACH-000113,0.005720297410338482
ACH-000116,0.01828875042557071
ACH-000118,-0.0531255938442987
ACH-000120,0.004438200923313892
ACH-000123,0.03751447110984669
ACH-000127,-0.08655873112534092
ACH-000128,-0.1251893809976354
ACH-000132,0.10622623263445677
ACH-000133,-0.06856277449921956
ACH-000137,-0.09499682565817186
ACH-000138,0.0025133982488633965
ACH-000142,0.0495283327994823
ACH-000143,0.04667335319235462
ACH-000146,-0.08872013114427013
ACH-000148,-0.039356838527266576
ACH-000150,-0.2628275760714077
ACH-000152,-0.06112879562696118
ACH-000153,-0.14951260069276853
ACH-000159,-0.002518755580924116
ACH-000160,-0.03716517035346787
ACH-000163,-0.12937140719899975
ACH-000167,0.11723780812449495
ACH-000168,0.0657646851981759
ACH-000169,-0.17853646374408938
ACH-000178,-0.06474220137522373
ACH-000183,-0.12973962815717438
ACH-000188,0.013015601064604702
ACH-000189,0.10072853638392157
ACH-000190,0.04301231324488409
ACH-000198,-0.04573458755908569
ACH-000203,0.05433118358757105
ACH-000204,-0.0717676743829729
ACH-000206,-0.011991578228907486
ACH-000207,0.06510149164851993
ACH-000208,-0.4478755196320554
