,HIST1H2AI (8329)
ACH-000004,-0.4689508190249224
ACH-000005,-0.844775236608614
ACH-000007,-0.2373957921828342
ACH-000009,-0.4691419719840965
ACH-000011,-0.3526007793329774
ACH-000012,-0.3810438343479524
ACH-000013,-0.4830997191109459
ACH-000014,-0.5341102252438357
ACH-000015,-0.6738524048168499
ACH-000017,-0.5829970154691396
ACH-000018,-0.4620288140316417
ACH-000019,-0.3355654781647201
ACH-000021,-0.30356206769442096
ACH-000022,-0.6030549802437625
ACH-000025,-0.4489892245175308
ACH-000028,-0.435388594896665
ACH-000030,-0.44042947207770944
ACH-000035,-0.4810583075253684
ACH-000036,-0.4105845735924284
ACH-000037,-0.6099594705726651
ACH-000039,-0.6208219403071322
ACH-000040,-0.5637289182319638
ACH-000041,-0.6428225864589248
ACH-000042,-0.4696062091969888
ACH-000045,-0.7513902349140018
ACH-000047,-0.5418113095867461
ACH-000052,-0.44897170516139295
ACH-000053,-0.5233035683556186
ACH-000054,-0.3971547244791574
ACH-000055,-0.3902145421572363
ACH-000060,-0.5241863885148533
ACH-000067,-0.4793192873942477
ACH-000070,-0.38644341273210825
ACH-000075,-0.44035249471350657
ACH-000078,-0.6824893667746609
ACH-000082,-0.5747005001159282
ACH-000085,-0.35487640577922797
ACH-000086,-0.3720555833017107
ACH-000087,-0.4939475279864901
ACH-000092,-0.4890647807284626
ACH-000095,-0.5821076084738052
ACH-000097,-0.4171003199680505
ACH-000098,-0.4841123581719934
ACH-000099,-0.37294704878447255
ACH-000108,-0.3567537765407495
ACH-000113,-0.43831751952078
ACH-000116,-0.4158397742437008
ACH-000118,-0.5422513056208494
ACH-000120,-0.29663673594808765
ACH-000123,-0.39475563350821774
ACH-000127,-0.2890889013974556
ACH-000128,-0.4799721759489576
ACH-000132,-0.1149030901243772
ACH-000133,-0.4988239346490432
ACH-000137,-0.34745728265459924
ACH-000138,-0.6319437021842315
ACH-000142,-0.344919115039936
ACH-000143,-0.3444498265475806
ACH-000146,-0.7401485719057187
ACH-000148,-0.2850584954607106
ACH-000150,-0.4711500809304082
ACH-000152,-0.29039511513115185
ACH-000153,-0.4990205454082234
ACH-000159,-0.4652711129454595
