,DONSON (29980)
ACH-000004,-1.583206874922276
ACH-000005,-1.7685143253878701
ACH-000007,-1.5883376616029108
ACH-000009,-1.4795313425312833
ACH-000011,-1.177622454808703
ACH-000012,-1.2036398189391078
ACH-000013,-1.70588858903525
ACH-000014,-1.311860314661097
ACH-000015,-1.3721943652765185
ACH-000017,-1.1395606470898465
ACH-000018,-1.248560600939464
ACH-000019,-1.5292484099827368
ACH-000021,-1.0931890763687735
ACH-000022,-1.6807290409054063
ACH-000025,-1.5098739607430194
ACH-000028,-1.3554517947728792
ACH-000030,-1.4602461324967846
ACH-000035,-1.1603737070203348
ACH-000036,-1.3950478800627752
ACH-000037,-0.22109900539889288
ACH-000039,-1.5645657638036663
ACH-000040,-1.2460495833748928
ACH-000041,-1.5096938210770248
ACH-000042,-1.4878774561571624
ACH-000045,-1.2840765829925134
ACH-000047,-1.4399715932858392
ACH-000052,-1.3986866971495566
ACH-000053,-1.364842252282931
ACH-000054,-1.3876787683863514
ACH-000055,-1.3429959709539634
ACH-000060,-1.4773003170225778
ACH-000067,-1.1496837553146655
ACH-000070,-1.5113299969590028
ACH-000075,-1.299238507514452
ACH-000078,-1.5479372957431852
ACH-000082,-1.3746232751823035
ACH-000085,-1.4501647168419307
ACH-000086,-1.1615325288530705
ACH-000087,-1.4041949850957514
ACH-000092,-1.3913688584419206
ACH-000095,-1.5308682235065512
ACH-000097,-1.36677065522497
ACH-000098,-1.2961036664331027
ACH-000099,-1.13571992430165
ACH-000108,-1.492280843737664
ACH-000113,-1.5205732124410534
ACH-000116,-1.5546324488024794
ACH-000118,-1.3912721689838825
ACH-000120,-1.4124048188417957
ACH-000123,-1.2666780046372663
ACH-000127,-1.4880307722757589
ACH-000128,-1.4945580407402668
ACH-000132,-1.3443127320646877
ACH-000133,-1.3938943685879983
ACH-000137,-1.3462591872211536
ACH-000138,-1.3032262407963564
ACH-000142,-1.2633845477825103
ACH-000143,-1.5204050924681431
ACH-000146,-1.8200577337439896
ACH-000148,-1.260527779387643
ACH-000150,-1.495754002250779
ACH-000152,-1.1379685148780827
ACH-000153,-1.5612851180833691
ACH-000159,-1.4660219114173385
ACH-000160,-1.7998579679759057
ACH-000163,-1.2779576630032792
ACH-000167,-2.5995237510829714
ACH-000168,-1.3519309863048128
ACH-000169,-1.4230885209203592
ACH-000178,-1.3694861860367804
ACH-000183,-1.269960540507196
ACH-000188,-1.1404824427796691
ACH-000189,-1.3830262254843997
ACH-000190,-1.4377483633197152
ACH-000198,-1.3936430115662781
ACH-000203,-1.248877508279299
ACH-000204,-1.1350154359420577
ACH-000206,-1.5784278646769028
ACH-000207,-1.5928595726930077
ACH-000208,-1.2841686639042051
ACH-000210,-1.5326988467104832
ACH-000211,-1.3960533748422208
ACH-000215,-1.4143054736678184
ACH-000221,-1.8557191908859891
ACH-000222,-1.5080096559700054
ACH-000223,-1.535482431033794
ACH-000226,-1.1286377355650747
ACH-000227,-1.6348021995947388
ACH-000228,-1.6316445031455895
ACH-000231,-1.1680600155508352
ACH-000232,-1.3820160645196464
ACH-000233,-1.2886636519427148
ACH-000234,-1.206136603872922
ACH-000235,-1.4154826554581523
ACH-000237,-1.4265617737564495
ACH-000238,-1.4655045605739574
ACH-000242,-0.9862800285460206
ACH-000243,-1.4864664215817986
ACH-000244,-1.275718748046055
ACH-000246,-1.2284050260978878
ACH-000248,-1.2675516451936233
ACH-000250,-1.3793649623758442
ACH-000251,-1.155172492675773
ACH-000252,-1.3731229775127571
ACH-000253,-1.4636991592935693
ACH-000255,-1.428715997162579
ACH-000256,-1.1091448442801095
ACH-000257,-0.9297925717061386
ACH-000258,-1.1367612768841031
ACH-000259,-1.6571120420143828
ACH-000260,-1.61631516075174
ACH-000261,-1.3375674487168925
ACH-000262,-1.5532303067773598
ACH-000263,-1.6193038261963049
ACH-000264,-1.3896043657734167
ACH-000265,-1.24409118548955
ACH-000266,-1.5039697375872394
ACH-000272,-1.0368164786956415
ACH-000274,-1.425475847050268
ACH-000277,-1.2473157189749116
ACH-000278,-1.4265247956383655
ACH-000279,-1.5256482706037269
ACH-000280,-1.4835789011884546
ACH-000281,-1.2683930179957692
ACH-000288,-1.4479636501864352
ACH-000291,-1.2079443128413692
ACH-000293,-1.4113738424776654
ACH-000294,-1.2114746763457478
ACH-000295,-1.2756808167380853
ACH-000296,-1.6635792401274845
ACH-000302,-1.6225716815578908
ACH-000304,-1.5043619132142827
ACH-000307,-1.4120282061693248
ACH-000308,-1.5622240899362598
ACH-000310,-1.4766637039120991
ACH-000311,-1.3872539448547805
ACH-000312,-1.4990200544125996
ACH-000315,-1.317643990459887
ACH-000316,-1.447319390860338
ACH-000317,-1.3183514846477098
ACH-000318,-1.7923424742627392
ACH-000319,-1.243331364397191
ACH-000320,-1.5371985972573825
ACH-000322,-1.5379309238290801
ACH-000323,-1.071338214376688
ACH-000324,-1.3921009387450394
ACH-000329,-1.4044889052888658
ACH-000330,-1.2333948105757295
ACH-000331,-1.420955479615841
ACH-000332,-1.3819270995052926
ACH-000334,-1.6122523913642195
ACH-000335,-1.4911002090057182
