,LGALS3BP (3959)
ACH-000004,-0.13368313384921404
ACH-000005,-0.1130613783169656
ACH-000007,0.0002960279796925352
ACH-000009,-0.2348867669796699
ACH-000011,-0.3656199403029266
ACH-000012,-0.19317886190951306
ACH-000013,-0.2533708130334317
ACH-000014,-0.2570680756445042
ACH-000015,-0.2469005727535913
ACH-000017,-0.33032740674996897
ACH-000018,-0.3035397021162618
ACH-000019,-0.30535660061370634
ACH-000021,-0.2517968629202499
ACH-000022,-0.16178296984000035
ACH-000025,-0.19040283715313736
ACH-000028,-0.08867033871095778
ACH-000030,-0.1898141876881674
ACH-000035,-0.2784040139853107
ACH-000036,-0.28792036948692545
ACH-000037,-0.21265964515254024
ACH-000039,-0.3060746240914098
ACH-000040,-0.09726525787277493
ACH-000041,-0.2627937877279882
ACH-000042,-0.2932654677580612
ACH-000045,-0.3155486535002587
ACH-000047,-0.33296456458613394
ACH-000052,-0.3447444575777128
ACH-000053,-0.22496669877944545
ACH-000054,-0.22805853985212104
ACH-000055,-0.37899983412801
ACH-000060,-0.3020800463544161
ACH-000067,-0.20150449917435148
ACH-000070,-0.2465503604567187
ACH-000075,-0.252788943272543
ACH-000078,-0.3997980918636059
ACH-000082,-0.2593199331696831
ACH-000085,-0.2597766150812927
ACH-000086,-0.3812237202593977
ACH-000087,-0.4288658042679047
ACH-000092,-0.20531728860857348
ACH-000095,-0.2946726667992641
ACH-000097,-0.19700423617013185
ACH-000098,-0.21874549894049625
ACH-000099,-0.3578612104602818
ACH-000108,-0.2597439269537589
ACH-000113,-0.12723187180262505
ACH-000116,-0.3554867798766365
ACH-000118,-0.3033125396842765
ACH-000120,-0.545652301708079
ACH-000123,-0.17667457290263766
ACH-000127,-0.23832819577808664
ACH-000128,-0.2650589354091937
ACH-000132,-0.04818967709192275
ACH-000133,-0.1726205896190697
ACH-000137,-0.1186000996192856
ACH-000138,-0.2805080241201397
ACH-000142,-0.3575336289381061
ACH-000143,-0.18698380216717175
ACH-000146,-0.16051855367183382
ACH-000148,-0.1709280928257498
ACH-000150,-0.4509192551265889
ACH-000152,-0.29201893994474803
ACH-000153,-0.011965766181388102
ACH-000159,-0.18916477941308266
ACH-000160,-0.2841162584693068
ACH-000163,-0.26908285471641946
ACH-000167,-0.07689323068649878
ACH-000168,-0.2795348407805341
ACH-000169,-0.33749989753007603
ACH-000178,-0.28833344418666473
ACH-000183,-0.5142893305936332
ACH-000188,-0.3259262704250089
ACH-000189,-0.2226272126627032
ACH-000190,-0.3245015467434918
ACH-000198,-0.1923117128878536
ACH-000203,0.15792454221750385
ACH-000204,-0.12041878352401575
ACH-000206,-0.16573026791834186
ACH-000207,-0.3293148456155815
ACH-000208,-0.2840229304089095
ACH-000210,-0.3307673967864541
ACH-000211,-0.34513017000590684
ACH-000215,-0.2887483690141157
ACH-000221,-0.2966582434384801
ACH-000222,-0.18343033883906695
ACH-000223,-0.22789186166060146
ACH-000226,-0.09185638214429033
ACH-000227,-0.2708915468792865
ACH-000228,-0.2327019749722612
ACH-000231,-0.19597563681686933
ACH-000232,-0.2510339679718159
ACH-000233,-0.19293016853797829
ACH-000234,-0.28737159102920273
ACH-000235,-0.25950548547635177
ACH-000237,-0.1415687164850224
ACH-000238,-0.19282029443203666
ACH-000242,-0.2839347502456524
ACH-000243,-0.28097009855221783
ACH-000244,-0.3971620720151566
ACH-000246,-0.3780243034894888
ACH-000248,-0.42777046617942
ACH-000250,-0.2845872034746655
ACH-000251,-0.2777972747030029
ACH-000252,-0.184748787409936
ACH-000253,-0.3188422426523195
ACH-000255,-0.34879125039541603
ACH-000256,-0.4632348360282684
ACH-000257,-0.11798520702995102
ACH-000258,-0.2540463160746794
ACH-000259,-0.2725163086615028
ACH-000260,-0.3667112815678061
ACH-000261,-0.3472468198443399
ACH-000262,-0.04257108828522985
ACH-000263,-0.5897202436848227
ACH-000264,-0.21927183943469145
ACH-000265,-0.1732259638475584
ACH-000266,-0.3294237839665497
ACH-000272,-0.2372009833153303
ACH-000274,-0.3196463433823267
ACH-000277,-0.29157469345005543
ACH-000278,-0.17275079614549546
ACH-000279,-0.22645887086876254
ACH-000280,-0.25971051514412624
ACH-000281,-0.23696282492527698
ACH-000288,-0.2639378850376937
ACH-000291,-0.2557252869102625
ACH-000293,-0.1385267436276826
ACH-000294,-0.17011468864793766
ACH-000295,-0.3699140730945729
ACH-000296,-0.12479437698142892
ACH-000302,-0.2049349064316533
ACH-000304,-0.2289760084167863
ACH-000307,-0.19560041986917207
ACH-000308,-0.17138630441280978
ACH-000310,-0.3940497633742141
ACH-000311,-0.4136697524169596
ACH-000312,-0.3332106458910936
ACH-000315,-0.049910495107395085
ACH-000316,-0.4430910985140172
ACH-000317,-0.15654384446457106
ACH-000318,-0.3558963132708162
ACH-000319,-0.2060582102853116
ACH-000320,-0.24582895440353364
ACH-000322,-0.13169672744959746
ACH-000323,-0.3973471904877981
ACH-000324,-0.3747143390261117
ACH-000329,-0.31988734421697984
ACH-000330,-0.6531627631161108
ACH-000331,-0.32114092226010194
ACH-000332,-0.2373789319506865
ACH-000334,-0.3134880853426809
ACH-000335,-0.11697953674379324
ACH-000336,-0.21567556776204014
ACH-000337,-0.4338297076228532
ACH-000338,-0.3319732822138693
ACH-000339,-0.2868082350264045
ACH-000341,-0.2376619726294308
ACH-000348,-0.16048198704361294
ACH-000350,-0.2169211812972691
ACH-000352,-0.33552342737617186
ACH-000356,-0.17826965603511027
ACH-000361,-0.5974824851425821
ACH-000362,0.00223557670556288
ACH-000363,-0.3708683249604782
ACH-000364,-0.11308540283392544
ACH-000365,-0.14931538199328648
ACH-000366,-0.2331053369657195
ACH-000368,-0.3088151007884217
ACH-000374,-0.3194394414435253
ACH-000375,-0.2485802107110604
ACH-000376,-0.2289832812432724
ACH-000381,-0.170699465276223
ACH-000383,-0.23687998378586614
ACH-000387,-0.2281179130841533
ACH-000389,-0.3489024132830713
ACH-000390,-0.16040902411213054
ACH-000393,-0.21681071511895805
ACH-000395,-0.14767785695046362
ACH-000396,-0.12277602420936892
ACH-000397,-0.33449000326123546
ACH-000401,-0.42294269985196464
ACH-000402,0.3098564687024402
ACH-000403,-0.23549180648014945
ACH-000404,-0.10025074768586772
ACH-000406,-0.07826643777343144
ACH-000407,-0.3598521505765181
ACH-000408,-0.17862745994658502
ACH-000410,-0.16123299840855593
ACH-000411,-0.2749452854580801
ACH-000414,-0.20241632275683946
ACH-000415,-0.228750920831755
ACH-000416,-0.2414266211699899
ACH-000420,-0.379417281894325
ACH-000421,-0.37044596842551797
ACH-000424,-0.3931272164702679
ACH-000425,-0.2637439030501665
ACH-000426,-0.0737317449611179
ACH-000427,-0.20900961583826172
ACH-000433,-0.39493877806546973
ACH-000435,-0.0864091027665287
ACH-000436,-0.1499348517412009
ACH-000444,-0.26509114310791626
ACH-000445,-0.22338785771367686
ACH-000448,-0.2572106940353877
ACH-000450,-0.09822900508382816
ACH-000452,-0.20842134037894208
ACH-000454,-0.05068036673226551
ACH-000458,-0.295830850636672
ACH-000459,-0.1058130090709492
ACH-000460,-0.20643565871792252
ACH-000461,-0.13428275757475122
ACH-000463,-0.3765041853084136
ACH-000464,-0.28384491368684706
ACH-000466,-0.14218859626816993
ACH-000467,-0.2495576242548123
ACH-000468,-0.2830974638136717
ACH-000469,-0.22057834670387985
ACH-000470,-0.2030576995099531
ACH-000471,-0.2778931920570548
ACH-000472,-0.2872483658276989
ACH-000473,-0.11021782865128653
ACH-000475,-0.1694185655686202
ACH-000476,-0.4260931382009012
ACH-000477,-0.18473962994336315
ACH-000479,-0.09594966620974424
ACH-000480,-0.3002051232168663
ACH-000481,-0.10578395392664454
