,NFIA (4774)
ACH-000004,-0.18013761056181038
ACH-000005,-0.1288876141813045
ACH-000007,-0.14599118358864774
ACH-000009,-0.06099532810139927
ACH-000011,-0.022789415931290767
ACH-000012,0.03039689000004909
ACH-000013,-0.1593680449754937
ACH-000014,-0.1823865909123832
ACH-000015,-0.10846397381570007
ACH-000017,-0.21047706381412573
ACH-000018,-0.12032050323211756
ACH-000019,0.08434595940403165
ACH-000021,0.09454707676220793
ACH-000022,-0.050784031293018984
ACH-000025,-0.044249311577989926
ACH-000028,0.010453290839390108
ACH-000030,-0.07086637614751601
ACH-000035,-0.07909080260189533
ACH-000036,-0.057219522055306636
ACH-000037,-0.05833011548417654
ACH-000039,0.06368215882493357
ACH-000040,-0.12828115374481086
ACH-000041,0.09433215116924254
ACH-000042,-0.07734916821189321
ACH-000045,-0.09998673431276402
ACH-000047,0.02269985206831309
ACH-000052,-0.22549409568190446
ACH-000053,-0.08972316577931468
ACH-000054,-0.132310511797673
ACH-000055,-0.16931189740856226
ACH-000060,-0.3983731429295617
ACH-000067,-0.19563207273262956
ACH-000070,-0.11572059384559262
ACH-000075,-0.0653343622330949
ACH-000078,0.040355527158826975
ACH-000082,-0.12758021243285886
ACH-000085,0.14915130538492574
ACH-000086,-0.0902030748798694
ACH-000087,-0.14916204229215987
ACH-000092,-0.18452755171195376
ACH-000095,-0.007809430451461235
ACH-000097,0.0837353969208435
ACH-000098,0.03134947794827245
ACH-000099,-0.09135997337387848
ACH-000108,-0.07541106424275132
ACH-000113,-0.14747427632860344
ACH-000116,-0.1675331286660042
ACH-000118,0.031243900051374607
ACH-000120,0.07564484111653033
ACH-000123,0.014360596656552241
ACH-000127,-0.05532432144887845
ACH-000128,-0.3177003328704401
ACH-000132,-0.07810619994927942
ACH-000133,-0.08527846173135319
ACH-000137,-0.09732461608354234
ACH-000138,-0.0361863276498872
ACH-000142,0.24804992661537126
ACH-000143,0.04366881227985613
ACH-000146,-0.07767826055633273
ACH-000148,0.016805240046026182
ACH-000150,-0.0594678738434841
ACH-000152,-0.062376681354969876
ACH-000153,0.047946051167154634
ACH-000159,-0.10389329463921286
ACH-000160,0.031042407665411074
ACH-000163,-0.0008805361593370307
ACH-000167,-0.3983665889312638
ACH-000168,0.02163035338141388
ACH-000169,-0.054223695995937585
ACH-000178,-0.3116985102884445
ACH-000183,-0.27413762537257297
ACH-000188,-0.09596033036431877
ACH-000189,-0.023940271556414545
ACH-000190,-0.14921936481379394
ACH-000198,0.018477992877433302
ACH-000203,0.1951712533057131
ACH-000204,0.33368081719972964
ACH-000206,0.0725382166139497
ACH-000207,-0.012341292632272485
ACH-000208,0.028106061418183108
ACH-000210,-0.3668636479753352
ACH-000211,0.022910959972046924
ACH-000215,-0.051589394127348434
ACH-000221,-0.2426156890507163
ACH-000222,-0.144310622290616
ACH-000223,-0.15298204131176865
ACH-000226,0.18521040718946705
ACH-000227,-0.06122161394067816
ACH-000228,-0.13154737777814768
ACH-000231,-0.011590857687359502
ACH-000232,-0.15052310723388934
ACH-000233,0.046711528363054165
ACH-000234,-0.09872334469969823
ACH-000235,-0.052536563203057364
ACH-000237,-0.1290757253326817
ACH-000238,-0.22328871402004025
ACH-000242,0.17380476266595513
ACH-000243,-0.08995679168444026
ACH-000244,0.05275227548984115
ACH-000246,-0.1293757446280498
ACH-000248,-0.13088769574249573
ACH-000250,-0.04165280977735485
ACH-000251,-0.23318379384001536
ACH-000252,0.1559332867376879
ACH-000253,-0.0064412673021107605
ACH-000255,-0.2621786790339621
ACH-000256,-0.06970894987525142
ACH-000257,0.1129562075261402
ACH-000258,0.0406815148358372
ACH-000259,-0.06753136691184278
ACH-000260,0.06098723118280101
ACH-000261,-0.09980188416850956
ACH-000262,-0.16727212091904586
ACH-000263,-0.040446518476497266
