,PIGU (128869)
ACH-000004,-0.12418553088927775
ACH-000005,-0.22100986061721872
ACH-000007,-9.002422798177234e-05
ACH-000009,-0.16901540848562593
ACH-000011,-0.3111203961665068
ACH-000012,0.017505693568588592
ACH-000013,-0.0023346493471851637
ACH-000014,-0.21752422021803847
ACH-000015,-0.1235297952335151
ACH-000017,-0.11744329615720947
ACH-000018,-0.07929161341689207
ACH-000019,-0.01484364888196403
ACH-000021,-0.1028355113322627
ACH-000022,-0.04529147427614325
ACH-000025,-0.10606187992695176
ACH-000028,-0.0076832588369329284
ACH-000030,-0.13623746124398126
ACH-000035,-0.15988899636458584
ACH-000036,-0.07066880492741319
ACH-000037,-0.04772448631016045
ACH-000039,-0.03323599851259814
ACH-000040,-0.05191053039044144
ACH-000041,-0.07326693128824596
ACH-000042,-0.1696783227232997
ACH-000045,0.08345963029725659
ACH-000047,-0.2200375219102677
ACH-000052,-0.149565742120074
ACH-000053,-0.04421023908594104
ACH-000054,-0.1513448546246466
ACH-000055,0.061186127197794614
ACH-000060,-0.2483871496542953
ACH-000067,-0.07883509235667248
ACH-000070,-0.048630350506311315
ACH-000075,-0.0944724657792652
ACH-000078,-0.11376353039256935
ACH-000082,-0.1513028148754486
ACH-000085,-0.15358937629219033
ACH-000086,-0.15101402160399027
ACH-000087,-0.2304172072937896
ACH-000092,-0.1677603643504746
ACH-000095,-0.0525354300648188
ACH-000097,-0.02921637567941457
ACH-000098,-0.14495826557737834
ACH-000099,-0.2280012091097496
ACH-000108,-0.09688010664005572
ACH-000113,-0.059908935559180476
ACH-000116,-0.13347906903400253
ACH-000118,-0.30403056745669
ACH-000120,-0.20718721564288115
ACH-000123,-0.17813595021366194
ACH-000127,-0.11579120318405743
ACH-000128,-0.14796959415950495
ACH-000132,-0.0962663996122575
ACH-000133,-0.2309151660085117
ACH-000137,-0.03703998918231993
ACH-000138,-0.17530088759485482
ACH-000142,-0.05197631366656202
ACH-000143,-0.21076981997749775
ACH-000146,-0.06662595722993579
ACH-000148,-0.11846623169197723
ACH-000150,-0.21592569095000444
ACH-000152,-0.040533927149703886
ACH-000153,-0.0818832208092229
ACH-000159,0.007962453168894422
ACH-000160,-0.07079360607455942
ACH-000163,-0.15008741844923665
