,CENPL (91687)
ACH-000004,0.033322824608343016
ACH-000005,-0.0717438252547529
ACH-000007,-0.14370825744873972
ACH-000009,-0.337123738093774
ACH-000011,-0.3084886429596449
ACH-000012,-0.2383472952403873
ACH-000013,-0.19574625422836872
ACH-000014,-0.31815868307599965
ACH-000015,-0.138362698825992
ACH-000017,-0.251429307535335
ACH-000018,-0.3193294401659563
ACH-000019,-0.2889129899101965
ACH-000021,-0.15750478143730864
ACH-000022,-0.27436327739734034
ACH-000025,-0.3026024121381541
ACH-000028,-0.3417013947980446
ACH-000030,-0.3836667194530177
ACH-000035,-0.17940782845003908
ACH-000036,-0.3061106433308038
ACH-000037,-0.0647604028599662
ACH-000039,-0.4025606422994731
ACH-000040,-0.2769872850462005
ACH-000041,-0.09757479687451973
ACH-000042,-0.19049375766864285
ACH-000045,-0.3095177068818861
ACH-000047,-0.3526743286551678
ACH-000052,-0.3411330637182273
ACH-000053,-0.33442611173262754
ACH-000054,-0.3784167891684915
ACH-000055,-0.4891119871577557
ACH-000060,-0.22198361804241126
ACH-000067,-0.24634197417328074
ACH-000070,-0.004416646181591622
ACH-000075,-0.20901691831290264
ACH-000078,-0.26962026303695485
ACH-000082,-0.2779004445292103
ACH-000085,-0.3107028127326441
ACH-000086,-0.5693027865622035
ACH-000087,-0.2667071574600041
ACH-000092,-0.3101220169457845
ACH-000095,-0.21375970944769912
ACH-000097,-0.0754173074234826
ACH-000098,-0.34705742517971105
ACH-000099,-0.1454752146094539
ACH-000108,-0.27266986847325664
ACH-000113,-0.14631112384503753
ACH-000116,-0.2510654093773045
ACH-000118,-0.2472352334585929
ACH-000120,-0.23884236494259364
ACH-000123,-0.242385863300624
ACH-000127,-0.19314279800080808
ACH-000128,-0.03841955907157308
ACH-000132,-0.09772422027982834
ACH-000133,-0.2783695850058564
ACH-000137,-0.2737060532872954
ACH-000138,-0.13973703721240538
ACH-000142,-0.3011497899710088
ACH-000143,-0.35686957454257673
ACH-000146,0.05571947219696144
ACH-000148,-0.2713814329194293
ACH-000150,0.07432979309101781
ACH-000152,-0.4123653997322628
ACH-000153,-0.2790247853894637
ACH-000159,-0.22513659962426072
ACH-000160,0.16223701475769334
ACH-000163,-0.2866566011278962
ACH-000167,0.24913185100716825
ACH-000168,-0.3891435760016402
ACH-000169,-0.17773270646518052
ACH-000178,-0.12298752442286848
ACH-000183,-0.3381731402900161
ACH-000188,-0.3042487216499565
ACH-000189,-0.4018892912436685
ACH-000190,-0.04101799770977863
ACH-000198,-0.18789421662852854
ACH-000203,-0.165157713004887
ACH-000204,-0.4804612734661583
ACH-000206,-0.12600473879472812
ACH-000207,-0.2916276903080524
ACH-000208,-0.5112156046977828
ACH-000210,-0.4425408257929757
ACH-000211,-0.27107651940548505
ACH-000215,-0.4578479437159159
ACH-000221,-0.28381711176118035
ACH-000222,-0.23685306590951244
ACH-000223,-0.2784275023484836
ACH-000226,-0.2886392534263842
ACH-000227,-0.2536968316762541
ACH-000228,-0.2312854686147309
ACH-000231,-0.3003655482983009
ACH-000232,-0.3518859654520637
ACH-000233,-0.264859755803788
ACH-000234,-0.30688433157599515
ACH-000235,-0.12183095661239353
ACH-000237,-0.25487805031980565
ACH-000238,-0.24773183846181074
ACH-000242,-0.3335590591794305
ACH-000243,-0.36792141399605705
ACH-000244,-0.450102166172457
ACH-000246,-0.28464753378950114
ACH-000248,-0.24790634285568935
ACH-000250,-0.11128744739405792
ACH-000251,-0.4214021096229254
ACH-000252,-0.2012554021394599
ACH-000253,-0.16531179524589576
ACH-000255,-0.19682097256199185
ACH-000256,-0.2145504817124312
ACH-000257,-0.35269045918022845
ACH-000258,-0.1067045419259072
ACH-000259,-0.08163957639042846
ACH-000260,-0.3146695938158932
ACH-000261,-0.20336256419104615
ACH-000262,-0.3225829292605639
ACH-000263,-0.4210126164145635
ACH-000264,-0.4507653741414666
ACH-000265,-0.24941582988368025
ACH-000266,-0.2296109928715729
ACH-000272,-0.2956453824188067
ACH-000274,-0.21437378084943973
ACH-000277,-0.18586982793077145
ACH-000278,-0.1330608467601857
ACH-000279,-0.18747433571094396
ACH-000280,-0.1643491974422828
ACH-000281,-0.3681798264324626
ACH-000288,-0.31758851440756586
ACH-000291,-0.4293299015912496
ACH-000293,-0.20239967423733407
ACH-000294,-0.06496560630419368
ACH-000295,-0.38366005997394736
ACH-000296,-0.2286798937520559
ACH-000302,-0.1317039214872468
ACH-000304,-0.26438281314555445
ACH-000307,-0.20625915394799135
ACH-000308,-0.21382197610864845
ACH-000310,-0.25466636637353113
ACH-000311,-0.28059391583740484
ACH-000312,-0.21611447309209053
ACH-000315,-0.4767877725382436
ACH-000316,-0.24722437358117955
ACH-000317,-0.12513992768599386
ACH-000318,-0.19847974671864485
ACH-000319,-0.32413898706328353
ACH-000320,-0.017793037355923587
ACH-000322,-0.2590485070994717
ACH-000323,-0.4751070606216937
ACH-000324,-0.25599674041227344
ACH-000329,-0.15199662866648092
ACH-000330,-0.2503036254490699
ACH-000331,-0.30174683119723045
ACH-000332,-0.2877347004238553
ACH-000334,-0.28272448402524386
ACH-000335,-0.2827327434626354
ACH-000336,-0.294836423631448
ACH-000337,-0.4674909772938104
ACH-000338,-0.0949417891943533
ACH-000339,-0.13220597826827318
ACH-000341,-0.523342298740197
ACH-000348,-0.15612209829436974
ACH-000350,-0.17645885432263256
ACH-000352,-0.1892175959032992
ACH-000356,-0.5021639109213104
ACH-000361,-0.1011487239391306
ACH-000362,-0.22892207296675024
ACH-000363,-0.12460131289536965
ACH-000364,-0.3131967704484749
ACH-000365,-0.2505533293041426
ACH-000366,-0.2821486223142233
ACH-000368,-0.2588617688555199
ACH-000374,-0.29251326019815194
ACH-000375,-0.16867675933034446
ACH-000376,-0.3874119235653223
ACH-000381,-0.22119921701492526
ACH-000383,-0.2557668958580988
ACH-000387,-0.24351264414172746
ACH-000389,-0.3582931338371062
ACH-000390,-0.11063473917628824
ACH-000393,-0.3340010988467454
ACH-000395,-0.2951507395452668
ACH-000396,-0.3747950613392632
ACH-000397,-0.3553174124723733
ACH-000401,-0.0736509716326899
ACH-000402,-0.4343339729520133
ACH-000403,-0.3121684286507781
ACH-000404,-0.2571529071162879
ACH-000406,-0.1659678165407117
ACH-000407,-0.20627784915222136
ACH-000408,-0.2511672495229482
ACH-000410,-0.10685806582897098
ACH-000411,-0.261657573213341
ACH-000414,-0.1692449599656022
ACH-000415,-0.21338716718595774
ACH-000416,-0.2289735589178347
ACH-000420,-0.3253496841794444
ACH-000421,-0.22334941691639595
ACH-000424,-0.2842051958370951
ACH-000425,-0.21958055637788906
ACH-000426,-0.09892907689792993
ACH-000427,-0.01722832711215627
ACH-000433,-0.3123882328800716
ACH-000435,-0.20903106586486467
ACH-000436,-0.163886671997694
ACH-000444,-0.19978180857817304
ACH-000445,-0.22114459619804105
ACH-000448,-0.2124455657952468
ACH-000450,-0.13686473681838768
ACH-000452,-0.24455323929300946
ACH-000454,-0.5917513839810291
ACH-000458,-0.5175101373297847
ACH-000459,-0.08661343926526664
ACH-000460,-0.1942233166327525
ACH-000461,-0.09046476507323
ACH-000463,-0.21992314415555572
ACH-000464,-0.30880591068549673
ACH-000466,-0.2289355663539585
ACH-000467,-0.13878717250980194
ACH-000468,-0.2765425741349489
ACH-000469,-0.23231187594688416
ACH-000470,-0.2219889600118816
ACH-000471,-0.1781641944949876
ACH-000472,-0.3264368836439974
ACH-000473,0.06658996716599139
ACH-000475,-0.21121706850467373
ACH-000476,-0.27896680908582416
ACH-000477,-0.15846812057545667
ACH-000479,-0.3450727352672617
ACH-000480,-0.2263392782753625
ACH-000481,-0.33396400857043984
ACH-000483,-0.14512049360132126
ACH-000484,-0.2702908825489197
ACH-000485,-0.22203939063979905
ACH-000486,-0.2561157626944037
ACH-000487,-0.4054013693065919
ACH-000488,-0.2194621300244837
ACH-000490,-0.3688208869525412
ACH-000491,-0.1263668397670604
ACH-000495,-0.5141393565362827
ACH-000496,-0.23745345955892916
ACH-000499,-0.2515797167671858
ACH-000500,-0.2627898112715748
ACH-000502,-0.21020741268854864
ACH-000503,-0.19255693481669836
ACH-000505,-0.39779967656471854
ACH-000507,-0.4196935275588953
ACH-000510,-0.2590714140965094
ACH-000511,-0.3991342806242668
ACH-000512,-0.07563811906588021
ACH-000516,-0.28853605998868104
ACH-000517,-0.12950808811906145
ACH-000518,-0.15337708667492808
ACH-000520,-0.313353732729229
ACH-000521,-0.028481999454858693
ACH-000522,-0.18168695166522866
ACH-000524,-0.12922580490653382
ACH-000527,-0.13252485805112685
ACH-000528,-0.19121946247043686
ACH-000537,-0.19267071598859545
ACH-000541,-0.2097235692736878
ACH-000542,-0.3442204566359559
ACH-000544,-0.2364689316612448
ACH-000545,-0.30934881944966164
ACH-000547,0.018728379593439357
ACH-000548,-0.5173834152487128
ACH-000549,-0.1789539997536147
ACH-000550,-0.2102868051602172
ACH-000552,-0.22714721719594086
ACH-000556,-0.23901688254416026
ACH-000557,-0.2934994107434125
ACH-000569,-0.21073298858114586
ACH-000570,-0.1438701151994316
ACH-000571,-0.24900890580949855
ACH-000573,-0.1986010741041272
ACH-000576,-0.1380042265415984
ACH-000579,-0.3007236787806728
ACH-000580,-0.3633806074114976
ACH-000584,-0.09941077380364996
ACH-000585,-0.16005485251537346
ACH-000588,-0.14827862243651527
ACH-000589,-0.2747419612541626
ACH-000591,-0.06268163059427116
ACH-000593,-0.23015558691633115
ACH-000600,-0.12351453613752784
ACH-000601,-0.1449603996722294
ACH-000605,-0.13425395250020686
ACH-000606,-0.5278497817338325
ACH-000608,-0.20837233197032012
ACH-000614,-0.22619329863818996
ACH-000616,-0.2266364347055991
ACH-000618,-0.2537297661755537
ACH-000619,-0.3634360360309704
ACH-000620,-0.2408540550188217
ACH-000621,-0.060059560670919415
ACH-000622,-0.1972376230588948
ACH-000623,-0.1761272333380368
ACH-000624,-0.22595453500914875
ACH-000627,-0.3536623324819815
ACH-000630,-0.367777221918638
ACH-000631,-0.4143322580836789
ACH-000632,-0.34033316842737177
ACH-000633,-0.004637862043961452
ACH-000637,-0.06643634674662155
ACH-000638,0.04086491198273005
ACH-000646,-0.1700180640241525
ACH-000647,-0.2572980521090715
ACH-000648,-0.2229254490476993
ACH-000649,-0.08861304341791452
ACH-000651,-0.23585239110290415
ACH-000652,-0.3632892231970892
ACH-000653,-0.3285584748549807
ACH-000657,-0.16472969176398267
ACH-000658,-0.2729587191419872
ACH-000661,-0.18296381915089605
ACH-000662,-0.023222833856851786
ACH-000663,-0.335960924291198
ACH-000665,-0.28689509616631625
ACH-000671,-0.21584738349623533
ACH-000672,-0.14601011672183173
ACH-000673,-0.42541430697028415
ACH-000676,-0.25880614814252845
ACH-000677,0.0854637171915714
ACH-000681,-0.18089883848434501
ACH-000683,-0.2664646428216152
ACH-000684,-0.2827795304759008
ACH-000688,-0.3048394502727985
ACH-000693,-0.3240812259279277
ACH-000694,-0.1896265719074611
ACH-000695,-0.4416454594149372
ACH-000696,-0.3517808941384447
ACH-000697,-0.07537215165414536
ACH-000699,-0.3158300573879988
ACH-000701,-0.02629202609348839
ACH-000706,-0.2553900166890841
ACH-000711,-0.14794122850266628
ACH-000713,-0.4135486028405673
ACH-000714,-0.32828550892566016
ACH-000718,-0.24769753593570296
ACH-000720,-0.2773716465754917
ACH-000721,-0.2928778332765485
ACH-000724,-0.13892795356737622
ACH-000725,-0.17991948822134932
ACH-000732,-0.12657086840369072
ACH-000734,-0.22675146253841766
ACH-000735,-0.13483755872191874
ACH-000736,-0.5198599655985825
