,AXDND1 (126859)
ACH-000004,0.03297554750627468
ACH-000005,-0.012046032647000129
ACH-000007,-0.07241007824799453
ACH-000009,-0.2005581976855675
ACH-000011,-0.08377565559644108
ACH-000012,-0.12029242785321788
ACH-000013,-0.054239838865042064
ACH-000014,-0.058594397003373815
ACH-000015,-0.06454821787097091
ACH-000017,-0.161305183208026
ACH-000018,-0.1297571943395298
ACH-000019,0.06326695891535407
ACH-000021,-0.1015846260103366
ACH-000022,-0.1339906107318466
ACH-000025,-0.050109311831135164
ACH-000028,-0.1598667176944121
ACH-000030,-0.13603056167612512
ACH-000035,-0.17229920979956054
ACH-000036,-0.1918289603982391
ACH-000037,-0.15189970985577214
ACH-000039,-0.13614389700144672
ACH-000040,-0.029862383060109163
ACH-000041,-0.06299699157587563
ACH-000042,-0.08849763998529732
ACH-000045,-0.1268446467560001
ACH-000047,-0.0801367658554029
ACH-000052,-0.3108902520716692
ACH-000053,-0.12097319665798767
ACH-000054,-0.17754056259111226
ACH-000055,-0.2399629385279063
ACH-000060,-0.13538558127776765
ACH-000067,-0.16324309406338885
ACH-000070,-0.1880372965831723
ACH-000075,-0.14503491114482456
ACH-000078,-0.1411451102316453
ACH-000082,-0.1827584119866988
ACH-000085,-0.012212892086368742
ACH-000086,-0.26655396975188445
ACH-000087,-0.011028447837536122
ACH-000092,-0.1611268148986372
ACH-000095,-0.13981778271010412
ACH-000097,-0.1193049369414768
ACH-000098,-0.16042985384892355
ACH-000099,-0.11253586269439247
ACH-000108,-0.11881411953440447
ACH-000113,-0.11155010599911157
ACH-000116,-0.10824542995139223
ACH-000118,-0.057552909881639726
ACH-000120,-0.11476707415019242
ACH-000123,-0.15356330210936014
ACH-000127,-0.08282316929610023
ACH-000128,-0.03850711784154381
ACH-000132,-0.018130356561982645
ACH-000133,-0.18208728630326215
ACH-000137,-0.0316816599311172
ACH-000138,-0.10310508821662673
ACH-000142,-0.09395409833867216
ACH-000143,-0.12211544251062235
ACH-000146,-0.095831650220984
ACH-000148,-0.21883139585439007
ACH-000150,0.11211435674106474
ACH-000152,-0.0992003680078914
ACH-000153,-0.05321269329785289
ACH-000159,-0.1952485949429301
ACH-000160,0.06215104382780616
ACH-000163,-0.1447449172823505
ACH-000167,-0.15722528161407995
ACH-000168,-0.24918635120496635
ACH-000169,-0.08193552442874187
ACH-000178,-0.14605538799798162
ACH-000183,-0.16273321962254822
ACH-000188,-0.07365775872425813
ACH-000189,-0.12123338260465888
ACH-000190,-0.09489461109872634
ACH-000198,-0.27373501977102305
ACH-000203,0.3409890449149033
ACH-000204,-0.015906852289518124
ACH-000206,-0.05297278983982464
ACH-000207,0.11276626566101287
ACH-000208,-0.18431801358384836
ACH-000210,-0.11176538237411462
ACH-000211,-0.1227405842455495
ACH-000215,-0.07381524084377039
ACH-000221,-0.1505365796557955
ACH-000222,-0.21764623436909147
ACH-000223,-0.13120445317459906
