,CLCN2 (1181)
ACH-000004,-0.2885441277029917
ACH-000005,-0.12283422086349136
ACH-000007,-0.05918786667922776
ACH-000009,-0.13683841111234885
ACH-000011,-0.18880571312585326
ACH-000012,-0.09343070626375463
ACH-000013,-0.2191466714395072
ACH-000014,-0.14588725544255826
ACH-000015,-0.013545706974327944
ACH-000017,-0.04701955989312944
ACH-000018,-0.26532929913760384
ACH-000019,-0.13636896016991346
ACH-000021,-0.044232642428025416
ACH-000022,-0.04352030159972303
ACH-000025,-0.038157110975677117
ACH-000028,-0.02180117729630915
ACH-000030,-0.09923338812721692
ACH-000035,-0.08590205747098906
ACH-000036,0.020731321878520392
ACH-000037,-0.05819524495634507
ACH-000039,-0.15637935047472828
ACH-000040,-0.3002223816617145
ACH-000041,-0.0982110417052647
ACH-000042,-0.13521888635844992
ACH-000045,-0.358111190681253
ACH-000047,-0.07892622989461716
ACH-000052,-0.013718942180122231
ACH-000053,-0.1771770367263744
ACH-000054,-0.11672080388231712
ACH-000055,0.06819538779049544
ACH-000060,-0.20692994817185545
ACH-000067,-0.08165938122076456
ACH-000070,0.01078914083382505
ACH-000075,-0.04239572332457276
ACH-000078,-0.09299584023004301
ACH-000082,-0.09356686630857798
ACH-000085,-0.1671097351741811
ACH-000086,-0.01852066637562328
ACH-000087,0.11480220883149915
ACH-000092,-0.1094728151684052
ACH-000095,-0.05150187872174962
ACH-000097,-0.023472372490135854
ACH-000098,-0.13819870489182842
ACH-000099,-0.15663236195464528
ACH-000108,-0.1214819046582326
ACH-000113,-0.21389774275873186
ACH-000116,-0.11515430622146025
ACH-000118,-0.07172422410756649
ACH-000120,-0.10027793579039107
ACH-000123,-0.12456323201229146
ACH-000127,-0.05522934584196522
ACH-000128,-0.2147621316641521
ACH-000132,-0.09231128036067957
ACH-000133,-0.09576451224865784
ACH-000137,-0.10813583005776337
ACH-000138,-0.08482761365605046
ACH-000142,0.005924569827698219
ACH-000143,-0.008012424055435402
ACH-000146,-0.11307454063657953
ACH-000148,0.004840482835247215
ACH-000150,-0.11656287615267708
ACH-000152,-0.08605396380058396
ACH-000153,-0.08614709155992968
ACH-000159,-0.23129707916199274
ACH-000160,-0.0735110077025896
ACH-000163,-0.04017771132445671
ACH-000167,-0.1800353007016887
ACH-000168,-0.09783147797257312
ACH-000169,-0.04179673372367353
ACH-000178,-0.0275010830946377
ACH-000183,-0.012596914304533049
ACH-000188,-0.10158623518897132
ACH-000189,-0.2194295330385212
ACH-000190,0.01145607763255573
ACH-000198,-0.15690092988306978
ACH-000203,-0.09727919859288184
ACH-000204,-0.08424849117949236
ACH-000206,-0.2891087995049359
ACH-000207,-0.16021430322436164
ACH-000208,-0.09263349973028186
ACH-000210,-0.07630546775228901
ACH-000211,-0.049442920741397764
ACH-000215,-0.0864574281449876
ACH-000221,-0.001684859682232856
ACH-000222,-0.28040582913923423
ACH-000223,-0.0959646470058694
ACH-000226,0.0021812979822173726
ACH-000227,-0.10824524345463266
ACH-000228,-0.06221724035579061
ACH-000231,-0.1263738416305462
ACH-000232,-0.07843739689575968
ACH-000233,-0.08300937135331052
ACH-000234,-0.2390866761193796
ACH-000235,-0.10325333427075024
ACH-000237,-0.134956425156289
ACH-000238,-0.07555013199151209
ACH-000242,0.0962764091223556
ACH-000243,-0.1536895502614272
ACH-000244,0.1096859376755402
ACH-000246,-0.15000015299481514
ACH-000248,-0.16373634184303001
ACH-000250,-0.09313740779730506
ACH-000251,0.06432470345142867
ACH-000252,-0.043237520501464
ACH-000253,-0.06832017920654558
ACH-000255,-0.02504002113363708
ACH-000256,-0.15651011587893213
ACH-000257,0.04328268486851352
ACH-000258,-0.09589628876261716
ACH-000259,-0.2599171881010007
ACH-000260,0.003252352846897932
ACH-000261,-0.09767176202720318
ACH-000262,-0.07763550273026734
ACH-000263,-0.3178566204607925
ACH-000264,-0.04852552429728945
ACH-000265,-0.11584109651173916
ACH-000266,-0.13640572352435698
ACH-000272,-0.122591754941437
ACH-000274,-0.1801483895056406
ACH-000277,-0.09763518920867696
ACH-000278,-0.08828455034054193
ACH-000279,-0.2484383553760199
ACH-000280,-0.2546767268748546
ACH-000281,-0.007122616760260193
ACH-000288,-0.10447134443867394
ACH-000291,-0.06989257176475683
ACH-000293,-0.039258047203753116
ACH-000294,-0.01477541773987911
ACH-000295,0.03734951333047466
ACH-000296,-0.07610889435584943
ACH-000302,-0.016711689196281892
ACH-000304,-0.2944105503716899
ACH-000307,-0.038502247092969344
ACH-000308,-0.10891704814648843
ACH-000310,-0.1904173198316968
ACH-000311,-0.06500213873796967
ACH-000312,-0.20609832627237606
ACH-000315,0.01170041678231163
ACH-000316,-0.20043095406921266
ACH-000317,0.08493663034321318
ACH-000318,-0.19068891244859734
ACH-000319,-0.10904509788500667
ACH-000320,-0.1507106403149414
ACH-000322,-0.0926398190637344
ACH-000323,-0.1667358343667254
ACH-000324,-0.01875250861649597
ACH-000329,-0.0854585742702949
ACH-000330,0.029804832903232718
ACH-000331,-0.13915248707564593
ACH-000332,-0.13739668824234344
