,TACSTD2 (4070)
ACH-000004,-0.022049986220540125
ACH-000005,0.046827464346157886
ACH-000007,-0.1421643712501471
ACH-000009,0.03430089919046465
ACH-000011,-0.15146728289113964
ACH-000012,-0.10625095418902847
ACH-000013,-0.06208056967302195
ACH-000014,-0.03553773219470549
ACH-000015,-0.08626151533172367
ACH-000017,-0.09397722672168847
ACH-000018,-0.3212968729205522
ACH-000019,-0.01526922490820054
ACH-000021,0.08990690577697352
ACH-000022,-0.0276671705752532
ACH-000025,0.05317441779276176
ACH-000028,-0.13969744702557002
ACH-000030,-0.09982319549004257
ACH-000035,-0.17440502275888262
ACH-000036,-0.1840053740717177
ACH-000037,-0.0686016882872579
ACH-000039,-0.0005895306157804824
ACH-000040,-0.13859949565847055
ACH-000041,0.10152510855452704
ACH-000042,-0.011718308468486078
ACH-000045,0.06185655685296169
ACH-000047,-0.016246076165103568
ACH-000052,-0.05128993181246372
ACH-000053,-0.04103129698516803
ACH-000054,-0.03885188595481849
ACH-000055,-0.14057519747537064
ACH-000060,-0.02014867290826131
ACH-000067,-0.22821723221011586
ACH-000070,-0.13251860741625365
ACH-000075,-0.06489670446269423
ACH-000078,0.01886305595453959
ACH-000082,-0.08592816835471018
ACH-000085,0.04570491915888874
ACH-000086,-0.13111586146681267
ACH-000087,-0.1952943489929915
ACH-000092,-0.1543711952659406
ACH-000095,-0.08000808533146518
ACH-000097,-0.17354263373708226
ACH-000098,-0.061302033787208214
ACH-000099,-0.03805987020897908
ACH-000108,-0.12383414462060248
ACH-000113,-0.06081569080777077
ACH-000116,-0.06440506258268207
ACH-000118,0.006249081722719884
ACH-000120,-0.028055208726049708
ACH-000123,-0.05485346155620184
ACH-000127,-0.02994005885813442
ACH-000128,-0.057694771782987236
ACH-000132,0.010710402661624709
ACH-000133,-0.02364800195542776
ACH-000137,-0.18738377485062255
ACH-000138,0.006267299466179897
ACH-000142,-0.14111707478082455
ACH-000143,-0.0021003717782582896
ACH-000146,0.018908251835924872
ACH-000148,-0.07732266068834732
ACH-000150,-0.2203776082932641
ACH-000152,-0.09348536347257937
ACH-000153,-0.15508878689699895
ACH-000159,0.007357463795237024
ACH-000160,-0.20411303411328552
ACH-000163,0.04456390276725963
ACH-000167,0.1140249800937424
ACH-000168,0.10005983741206533
ACH-000169,-0.1934593824907776
ACH-000178,0.035236527544215836
ACH-000183,-0.172760814729047
ACH-000188,-0.055441170706793885
ACH-000189,0.14267785047663634
ACH-000190,-0.03514208831489536
ACH-000198,-0.05322498906013805
ACH-000203,-0.04119041366234465
ACH-000204,-0.26744368970368565
ACH-000206,-0.31629083515726186
ACH-000207,-0.020925889907227737
ACH-000208,0.08361124734939951
ACH-000210,-0.10083670437281377
ACH-000211,-0.09530525852746877
ACH-000215,-0.15387116742654044
ACH-000221,0.09249908701630108
ACH-000222,0.017634573781524273
ACH-000223,-0.09052201564125098
ACH-000226,-0.12492781882704355
ACH-000227,-0.17526184364503755
ACH-000228,-0.2231729953201022
ACH-000231,-0.130146703444185
ACH-000232,-0.004445624709161539
ACH-000233,0.07981240067440333
ACH-000234,0.07116387672150097
ACH-000235,0.025982514587031758
ACH-000237,-0.06317267598969446
ACH-000238,-0.17794866842253504
ACH-000242,0.13765873561769085
ACH-000243,-0.11545322505516208
ACH-000244,0.3112666689178219
ACH-000246,-0.0024029101104032237
ACH-000248,-0.18697893853054168
ACH-000250,-0.0759247565066474
ACH-000251,0.018601394067665224
ACH-000252,0.011921350248524771
ACH-000253,-0.103538293060585
ACH-000255,-0.2116207741444939
ACH-000256,-0.043051221265053584
ACH-000257,0.13726401123366558
ACH-000258,0.16664219674443284
ACH-000259,-0.0752610718146317
ACH-000260,-0.10682090600641936
ACH-000261,0.13335539044829148
ACH-000262,-0.1525739893286411
ACH-000263,-0.06815425990236414
ACH-000264,-0.11686545050547667
ACH-000265,-0.1243220250462425
ACH-000266,-0.07602933273214044
ACH-000272,0.02446286459527843
ACH-000274,-0.10940978223518387
ACH-000277,-0.20435161025630802
ACH-000278,-0.12154790632865164
ACH-000279,-0.10425305456591476
ACH-000280,-0.33682220166941806
ACH-000281,0.12674745329626722
ACH-000288,-0.04288989711262328
ACH-000291,-0.1863362636368695
ACH-000293,-0.12995827706746454
ACH-000294,-0.07587785758263754
ACH-000295,0.2223509933030549
ACH-000296,-0.13408443763659447
ACH-000302,-0.14887953287656186
ACH-000304,0.0006459631345972562
ACH-000307,-0.17141726213366548
ACH-000308,0.029372003097356124
