,CTRB2 (440387)
ACH-000004,-0.2117002052760132
ACH-000005,-0.4674355287265393
ACH-000007,-0.09335342980640007
ACH-000009,-0.1405470104475513
ACH-000011,-0.09839478431718923
ACH-000012,-0.25634719920841675
ACH-000013,-0.2238534377628864
ACH-000014,-0.4566088439034074
ACH-000015,-0.09790289103698266
ACH-000017,-0.13684218945384827
ACH-000018,-0.2638977688371125
ACH-000019,-0.17359652165982162
ACH-000021,-0.21647365878898228
ACH-000022,-0.24151766804150335
ACH-000025,-0.3802389235955097
ACH-000028,-0.1790998593238744
ACH-000030,-0.22226011381344976
ACH-000035,-0.3022355807330953
ACH-000036,-0.2032690946666012
ACH-000037,-0.26107104594850217
ACH-000039,-0.3558629333626242
ACH-000040,-0.11603186980791533
ACH-000041,-0.07793928768370091
ACH-000042,-0.2385016013350647
ACH-000045,-0.17493462385734015
ACH-000047,-0.18367806084122032
ACH-000052,-0.2307784516387333
ACH-000053,-0.22403749132925108
ACH-000054,-0.18310770254717693
ACH-000055,-0.23152082424191398
ACH-000060,-0.4240386525249536
ACH-000067,-0.1257457244580693
ACH-000070,-0.2385497492722751
ACH-000075,-0.18307398779443806
ACH-000078,-0.4512797960720014
ACH-000082,-0.2732013678579739
ACH-000085,-0.1251420565766575
ACH-000086,-0.2405432246126389
ACH-000087,-0.30862770698504377
ACH-000092,-0.2582722754840498
ACH-000095,-0.291140890624264
ACH-000097,-0.2594277381039936
ACH-000098,-0.16424843313501195
ACH-000099,-0.15596516735449464
ACH-000108,-0.3293502885313762
ACH-000113,-0.07390773376751968
ACH-000116,-0.22357388730533134
ACH-000118,-0.13652747838237067
ACH-000120,-0.22253209134838844
ACH-000123,-0.23252236661817224
ACH-000127,-0.3517692702354477
ACH-000128,-0.18287100669132547
ACH-000132,-0.3249123499401464
ACH-000133,-0.16728081979087864
ACH-000137,-0.1394276693989453
ACH-000138,-0.2597086077747173
ACH-000142,-0.2126562178734333
ACH-000143,-0.1636178041787067
ACH-000146,-0.2361474004200239
ACH-000148,-0.2014017247179764
ACH-000150,-0.005580221822532383
ACH-000152,-0.08807865413518133
ACH-000153,-0.17126441227764488
ACH-000159,-0.2100217611404324
ACH-000160,-0.1105359168796424
ACH-000163,-0.1901601472748434
ACH-000167,-0.1858300241691065
ACH-000168,-0.5342157463640002
ACH-000169,-0.2190831429705244
ACH-000178,-0.2901987283670123
ACH-000183,-0.1518464748090266
ACH-000188,-0.043802416083075335
ACH-000189,-0.11159850251841452
ACH-000190,-0.02056359735923322
ACH-000198,-0.25122699590790626
ACH-000203,-0.19392554143306373
ACH-000204,-0.1834716421393162
ACH-000206,-0.4560508092112996
ACH-000207,-0.24549594274599315
ACH-000208,-0.12852421700232575
ACH-000210,-0.2893267404855756
ACH-000211,-0.2304904172367609
ACH-000215,-0.229574706983982
ACH-000221,-0.18136612747110506
ACH-000222,-0.2768754790048837
ACH-000223,-0.2289116292363185
ACH-000226,-0.19406100996084966
ACH-000227,-0.3462005574182043
ACH-000228,-0.033416521556837366
ACH-000231,-0.1909557344652511
ACH-000232,-0.18105449580070915
ACH-000233,-0.250804586435445
ACH-000234,-0.2883412041421562
ACH-000235,-0.2399685267871007
ACH-000237,-0.31056621620749164
ACH-000238,-0.2518267767087157
ACH-000242,-0.2380915859518548
ACH-000243,-0.2278208830797513
ACH-000244,0.0015951326734305914
ACH-000246,-0.1440996556714167
ACH-000248,-0.15364649056326274
ACH-000250,-0.18493786469102666
ACH-000251,-0.25975296840976025
ACH-000252,-0.17547409545263434
ACH-000253,-0.33273640487923384
ACH-000255,-0.13268825576628884
ACH-000256,-0.145330132616984
ACH-000257,-0.7202819412329104
ACH-000258,-0.1006689863821818
ACH-000259,-0.19090353043190655
ACH-000260,-0.2059259388602404
ACH-000261,-0.2350299496851662
ACH-000262,-0.1949392125943691
ACH-000263,-0.22271758067924025
ACH-000264,-0.1861777891402618
ACH-000265,-0.12763066561207462
ACH-000266,-0.2337257137949875
ACH-000272,-0.06825798630084312
ACH-000274,-0.2292559866503677
ACH-000277,-0.3161091987711697
ACH-000278,-0.16221155003040602
ACH-000279,-0.2049369043795681
ACH-000280,-0.18156236649558533
ACH-000281,-0.2599273591782257
ACH-000288,-0.23904818343367576
ACH-000291,-0.050364368444254536
ACH-000293,-0.2510640498946405
ACH-000294,-0.3478070128678795
ACH-000295,-0.3447670997597191
ACH-000296,-0.0889902677897914
ACH-000302,-0.1990670250231915
ACH-000304,-0.2621039763559869
ACH-000307,-0.3293969575162071
ACH-000308,-0.16609241044501522
ACH-000310,-0.085036048298804
ACH-000311,-0.16605755854813156
ACH-000312,-0.22066586733787386
ACH-000315,-0.0702774001364938
ACH-000316,-0.4732457312585472
ACH-000317,-0.10807661725962037
ACH-000318,-0.17368628587236307
ACH-000319,-0.14539194403300418
ACH-000320,-0.22118583251471585
ACH-000322,-0.10536744925182516
ACH-000323,-0.17047889316182416
ACH-000324,-0.19191140196797116
ACH-000329,-0.15379930866995553
ACH-000330,-0.05139552652286055
ACH-000331,-0.1545895524751046
ACH-000332,-0.2251181214560176
ACH-000334,-0.22016692070498795
ACH-000335,-0.3008424956473184
ACH-000336,-0.3114046957032233
ACH-000337,-0.4208487937065196
ACH-000338,-0.2382791700854373
ACH-000339,-0.1945404754587838
ACH-000341,0.12442709319514472
ACH-000348,-0.1650653560248084
ACH-000350,-0.25763575915171466
ACH-000352,-0.2784661084670761
ACH-000356,-0.037707829307143205
ACH-000361,-0.12819095833125865
ACH-000362,-0.3235167185583923
ACH-000363,-0.20268236782849167
ACH-000364,-0.1520518721538187
ACH-000365,-0.18208042195053767
ACH-000366,-0.20411379841090574
ACH-000368,-0.2926434092776313
ACH-000374,0.10175352778577934
ACH-000375,-0.13996366266253107
ACH-000376,-0.2559817826559089
ACH-000381,-0.12334797567845608
ACH-000383,-0.19145317406022974
ACH-000387,-0.24866430392400954
ACH-000389,-0.16298891944551724
ACH-000390,-0.220680034703102
ACH-000393,-0.26431806989057793
ACH-000395,-0.21052759853944286
ACH-000396,-0.02630646820516906
ACH-000397,-0.1343371695457964
ACH-000401,-0.13684321744116928
ACH-000402,-0.3307694892544453
ACH-000403,-0.25931029944159845
ACH-000404,-0.10728285921564057
ACH-000406,-0.23466258249752944
ACH-000407,-0.1801759062730932
ACH-000408,-0.11576984319136052
ACH-000410,-0.11683116568441496
ACH-000411,-0.058026481228106136
ACH-000414,-0.239149285603058
ACH-000415,-0.19334670353213804
ACH-000416,-0.3719259178308881
ACH-000420,-0.27509247480234306
ACH-000421,-0.2342826179243517
ACH-000424,-0.12510177375200016
ACH-000425,-0.11604439464384568
ACH-000426,-0.12642822887066746
ACH-000427,-0.17357965997686833
ACH-000433,-0.2162286140137959
ACH-000435,-0.1922218311019848
ACH-000436,-0.1818128596622332
