,PPM1A (5494)
ACH-000004,0.2481282957077557
ACH-000005,0.3154583200456796
ACH-000007,-0.030776552810192124
ACH-000009,0.05321765803536331
ACH-000011,0.3185499263287361
ACH-000012,0.011223911989506152
ACH-000013,0.03736063348351955
ACH-000014,0.4968752752568292
ACH-000015,0.261094326913194
ACH-000017,0.3320604244352516
ACH-000018,0.032287002048192764
ACH-000019,0.07752731686244455
ACH-000021,0.04862832330019602
ACH-000022,-0.001079142121095925
ACH-000025,0.07245801052546086
ACH-000028,0.11643628101908925
ACH-000030,0.06962292498356581
ACH-000035,0.16894564289142358
ACH-000036,0.003301558418837664
ACH-000037,0.19128008348955625
ACH-000039,0.1981849579038711
ACH-000040,0.2174523839211246
ACH-000041,0.04947920994791009
ACH-000042,0.2510103102876689
ACH-000045,-0.08364812306657278
ACH-000047,0.07847575354574501
ACH-000052,-0.0706554452641274
ACH-000053,-0.0008843521453750393
ACH-000054,0.09882867345351473
ACH-000055,-0.06240829844795536
ACH-000060,0.22188542616017387
ACH-000067,0.13511610364361412
ACH-000070,0.134676601034295
ACH-000075,0.011740590495646576
ACH-000078,0.13358479692026948
ACH-000082,0.018433863348049827
ACH-000085,0.2589685138207293
ACH-000086,0.03234576237676115
ACH-000087,0.04049746650052076
ACH-000092,0.10181970616855301
ACH-000095,0.2394558818350536
ACH-000097,0.01469235310450994
ACH-000098,0.2111863482186409
ACH-000099,0.1573146400524285
ACH-000108,0.16284005418097486
ACH-000113,0.15904519111247162
ACH-000116,0.17330135882933365
ACH-000118,-0.01875721682836013
ACH-000120,0.2292844197976341
ACH-000123,0.08459909123180216
ACH-000127,0.007548197965697355
ACH-000128,0.22920152942483574
ACH-000132,0.2198095017838294
ACH-000133,0.0016754196458371655
ACH-000137,0.10882147597215693
ACH-000138,-0.08183920122247793
ACH-000142,0.3057943415188633
ACH-000143,0.17141579371987864
ACH-000146,0.1775642032493506
ACH-000148,0.1326896738150315
ACH-000150,0.14686629322891634
ACH-000152,-0.07798285963661157
