,ECT2 (1894)
ACH-000004,-1.093305005586172
ACH-000005,-1.4796911465497131
ACH-000007,-1.3153408181104744
ACH-000009,-1.1583318871899448
ACH-000011,-0.8318853889169161
ACH-000012,-1.1176750631754044
ACH-000013,-1.01123172401881
ACH-000014,-1.1453498282177568
ACH-000015,-0.8761284868933797
ACH-000017,-1.0586260828281049
ACH-000018,-1.2299226544455732
ACH-000019,-1.1758356384524693
ACH-000021,-1.1106107700960717
ACH-000022,-0.9216752364367832
ACH-000025,-1.1282724592008253
ACH-000028,-0.9416003310038282
ACH-000030,-1.0946386720575447
ACH-000035,-1.0787106943955966
ACH-000036,-1.1061527377568383
ACH-000037,-1.3169015567928657
ACH-000039,-1.0930246490619315
ACH-000040,-0.731523613717414
ACH-000041,-1.2082311613471557
ACH-000042,-1.0392703313561331
ACH-000045,-1.0474821644140178
ACH-000047,-1.0229483395206236
ACH-000052,-1.2489832638713214
ACH-000053,-1.1509074381579878
ACH-000054,-1.0708115206170332
ACH-000055,-0.9463537842977404
ACH-000060,-1.135087291877969
ACH-000067,-1.1203735704665612
ACH-000070,-1.0721808875706484
ACH-000075,-1.2183005088130303
ACH-000078,-1.0870397823425737
ACH-000082,-0.8093353668504151
ACH-000085,-0.9298802404430224
ACH-000086,-1.0442211586740633
ACH-000087,-0.9368190983021016
ACH-000092,-1.1913646366165884
ACH-000095,-1.1641442544615426
ACH-000097,-1.010889484846759
ACH-000098,-1.0804011982621131
ACH-000099,-1.0487275764866326
ACH-000108,-1.0519776339201772
ACH-000113,-1.0068444207354994
ACH-000116,-0.8595279980753564
ACH-000118,-0.7051298144475068
ACH-000120,-0.9804156361325208
ACH-000123,-1.090815849330705
ACH-000127,-1.2285665857575363
ACH-000128,-0.9249570260689708
ACH-000132,-0.9508196825830731
ACH-000133,-0.951522781576107
ACH-000137,-1.0032036908195876
ACH-000138,-1.2691069142020939
ACH-000142,-1.01619717512494
ACH-000143,-1.0478841564628725
ACH-000146,-0.7611826253997429
ACH-000148,-0.8154071030215401
ACH-000150,-1.3717420983822368
ACH-000152,-1.1924407793742071
ACH-000153,-1.0967192669131425
ACH-000159,-1.2995484958226715
ACH-000160,-1.2869008457356248
ACH-000163,-1.0085717203069438
ACH-000167,-1.0282515042614433
ACH-000168,-0.7520191152796809
ACH-000169,-1.1903530627676049
ACH-000178,-1.1393581823596508
ACH-000183,-1.2535293906875309
ACH-000188,-1.0515022643102852
ACH-000189,-0.8487404073986101
ACH-000190,-1.0330080193086588
ACH-000198,-1.1405829754189416
ACH-000203,-1.4413769113795465
ACH-000204,-1.153958556776802
ACH-000206,-1.0372152449848635
ACH-000207,-0.9937112371798472
ACH-000208,-0.8361138126572143
ACH-000210,-1.0673780550781435
ACH-000211,-1.210488697136352
ACH-000215,-1.2016968440842988
ACH-000221,-1.114086873616449
ACH-000222,-1.0461641786507059
ACH-000223,-0.9362420254970868
ACH-000226,-0.8951528761870461
ACH-000227,-1.303806332019287
ACH-000228,-1.1723415674860125
ACH-000231,-1.0806546531937593
ACH-000232,-1.2468349159451488
ACH-000233,-1.1849205108844172
ACH-000234,-1.0674497346203635
ACH-000235,-1.0604824318851678
ACH-000237,-0.9881618016962608
ACH-000238,-1.2477580894358895
ACH-000242,-1.3144284993348871
ACH-000243,-1.1022546295578657
ACH-000244,-1.302404437464888
ACH-000246,-0.8561532549116312
ACH-000248,-1.1987491268419141
ACH-000250,-1.0760141871833224
ACH-000251,-1.1567555180776534
ACH-000252,-1.0870937905321905
ACH-000253,-1.0236459628680423
ACH-000255,-1.0768567677389502
ACH-000256,-1.0505336061843598
ACH-000257,-1.3410490063210962
ACH-000258,-0.8443772255620254
ACH-000259,-0.9169666140938346
ACH-000260,-1.1084116953753604
ACH-000261,-1.1054675956451347
ACH-000262,-1.049825877133468
ACH-000263,-0.9626136529184018
ACH-000264,-1.2199311981967806
ACH-000265,-1.0834677743528385
ACH-000266,-1.1598927455642336
ACH-000272,-0.6547416701014634
ACH-000274,-1.0454259067328846
ACH-000277,-1.0465656277753128
ACH-000278,-0.8992092642906206
ACH-000279,-1.172556273769374
ACH-000280,-0.9938067576472251
ACH-000281,-1.0522837266722362
ACH-000288,-1.0737387515474903
