,IKBKAP (8518)
ACH-000004,-1.1630529845811761
ACH-000005,-0.7081222169195727
ACH-000007,-0.5587636602683101
ACH-000009,-1.0643069215081118
ACH-000011,-0.9239550782950215
ACH-000012,-0.9724443480565144
ACH-000013,-1.2360157913080254
ACH-000014,-0.8810184089638844
ACH-000015,-1.2669132167134491
ACH-000017,-0.9872853663055868
ACH-000018,-0.8921502316583734
ACH-000019,-0.8029084848320684
ACH-000021,-0.8822586100432807
ACH-000022,-0.8023775322328299
ACH-000025,-1.066319635739588
ACH-000028,-0.8256509792773067
ACH-000030,-0.9309058155450473
ACH-000035,-0.9283744572035156
ACH-000036,-1.0406605374309974
ACH-000037,-1.0613290912722153
ACH-000039,-0.9313399030212656
ACH-000040,-0.8322907609887535
ACH-000041,-1.04109401390294
ACH-000042,-0.7723388405089024
ACH-000045,-0.8753269070843972
ACH-000047,-0.7734282689050761
ACH-000052,-0.90758810898765
ACH-000053,-0.8167933933778779
ACH-000054,-1.0233287416299195
ACH-000055,-0.9221811853698124
ACH-000060,-0.7982882967943478
ACH-000067,-0.894473073212492
ACH-000070,-0.7822150582740843
ACH-000075,-0.8596167323824141
ACH-000078,-0.8036357122696248
ACH-000082,-0.5578153949811553
ACH-000085,-0.9024941234352372
ACH-000086,-0.965872898028726
ACH-000087,-0.9333764896532016
ACH-000092,-0.8391038318707819
ACH-000095,-0.9576555516717148
ACH-000097,-0.6069082682005821
ACH-000098,-0.8168481075432993
ACH-000099,-0.6719689300025056
ACH-000108,-0.9741968176400728
ACH-000113,-0.8324204793979494
ACH-000116,-0.8901308678759463
ACH-000118,-0.7030919770571539
ACH-000120,-0.8575637249368091
ACH-000123,-1.0592749289150891
ACH-000127,-1.0250248361964915
ACH-000128,-0.6957032058845635
ACH-000132,-0.8855323532512739
ACH-000133,-0.8865448322121139
ACH-000137,-0.9925442988085076
ACH-000138,-1.1185785987962942
ACH-000142,-0.8536249430135411
ACH-000143,-0.9376380079428605
ACH-000146,-0.3267409543003853
ACH-000148,-0.9083727147666051
ACH-000150,-0.8633063096583643
ACH-000152,-0.8289768104525045
ACH-000153,-1.0433518488615168
ACH-000159,-0.8937033144216501
ACH-000160,-0.506283033774992
ACH-000163,-0.94916914373552
ACH-000167,-0.4289062966209981
ACH-000168,-0.5583146859494547
ACH-000169,-0.811692899269392
ACH-000178,-0.8572043949714488
ACH-000183,-0.9559956966851388
ACH-000188,-0.6998573027468592
ACH-000189,-0.9405282179343571
ACH-000190,-0.5793144226921013
ACH-000198,-0.8548904161464439
ACH-000203,-1.2962841171828228
ACH-000204,-0.5083109105494963
ACH-000206,-0.8561053775116834
ACH-000207,-0.8032716827845967
ACH-000208,-0.6674607895217461
ACH-000210,-0.7490814961876814
ACH-000211,-0.7540402674481123
ACH-000215,-0.8613861310563516
ACH-000221,-1.0871384976562766
ACH-000222,-0.8412455982175421
ACH-000223,-0.5433363521072747
ACH-000226,-0.7413190012896327
ACH-000227,-0.6419872931973832
ACH-000228,-0.9099255684120277
ACH-000231,-0.9080814199526972
ACH-000232,-0.8989351121414884
ACH-000233,-0.8502278849696029
ACH-000234,-0.9135045167956056
ACH-000235,-0.8132116218848373
ACH-000237,-1.0155439882574284
ACH-000238,-0.9861624621863548
ACH-000242,-0.6811937674725403
ACH-000243,-0.9438526510868298
ACH-000244,-0.8025031511828327
ACH-000246,-0.7785589035795819
ACH-000248,-1.0549404427383977
ACH-000250,-0.7818780889772742
ACH-000251,-1.0915836971811206
ACH-000252,-0.9970847294359544
ACH-000253,-0.927969577184265
ACH-000255,-0.9008066654251606
ACH-000256,-0.7476971970153977
ACH-000257,-1.0402690125474052
ACH-000258,-0.8434404756351234
ACH-000259,-0.9869824232221788
ACH-000260,-0.9871507795102676
ACH-000261,-0.8499523223514396
ACH-000262,-0.852192535022082
ACH-000263,-0.6993916729470799
ACH-000264,-1.0350159027223582
ACH-000265,-0.8553864849025741
ACH-000266,-0.6375697211357827
ACH-000272,-0.7892528555215312
ACH-000274,-0.946481826716642
ACH-000277,-1.0056612519376285
ACH-000278,-0.8520508160584631
ACH-000279,-0.902695264723588
ACH-000280,-1.0443040601954177
ACH-000281,-0.9140515574490278
ACH-000288,-1.085549376068518
ACH-000291,-0.9207101150511244
ACH-000293,-0.9369159125540892
ACH-000294,-1.419793558216894
ACH-000295,-0.9527481037772132
ACH-000296,-0.8133446066760698
ACH-000302,-0.5749596732161599
ACH-000304,-0.8245115211033526
ACH-000307,-0.9889616255224688
ACH-000308,-0.8583414251017607
ACH-000310,-0.4738840722419157
ACH-000311,-0.8143545573880222
ACH-000312,-0.8173456095867985
ACH-000315,-1.0747111526848616
ACH-000316,-1.0298484917503057
ACH-000317,-0.6804201854115155
ACH-000318,-0.9920354913375588
ACH-000319,-0.9357315498208986
ACH-000320,-0.6525997704099894
ACH-000322,-0.8622079210891556
ACH-000323,-0.9977274084964364
ACH-000324,-0.965981773577165
ACH-000329,-0.6238690800071993
ACH-000330,-1.009387351929429
ACH-000331,-1.0936698171500965
ACH-000332,-1.1166797309459089
ACH-000334,-0.5970415635487011
ACH-000335,-1.1148449534537486
ACH-000336,-0.6684829244957188
ACH-000337,-0.8099108823663466
ACH-000338,-0.8987285169608492
ACH-000339,-1.0173946623677192
ACH-000341,-0.7890262381486375
ACH-000348,-0.5604918085754508
ACH-000350,-0.9317050307371496
ACH-000352,-0.914335773228745
ACH-000356,-0.7225999893013617
ACH-000361,-1.2611535669270788
ACH-000362,-0.8720617719455009
ACH-000363,-0.5518129276156931
ACH-000364,-1.0006408376930818
ACH-000365,-0.879527569511728
ACH-000366,-1.0320150314052143
ACH-000368,-0.8950557314809586
ACH-000374,-0.8659588425494961
ACH-000375,-0.7945115663508924
ACH-000376,-0.9226555968817814
ACH-000381,-1.1630220509188245
ACH-000383,-0.7739891502582426
ACH-000387,-0.9833084124711534
ACH-000389,-0.9498815377756804
ACH-000390,-0.8465877982632918
ACH-000393,-1.080112830992932
ACH-000395,-1.1065559964072262
ACH-000396,-1.1766992967287695
ACH-000397,-1.0058415056219077
ACH-000401,-0.8860864765826362
ACH-000402,-1.254205289938353
ACH-000403,-0.6933460165874628
ACH-000404,-0.5980723524359156
ACH-000406,-1.0088957359832698
ACH-000407,-1.1408774264013468
ACH-000408,-1.029289471786135
ACH-000410,-1.102381796858956
ACH-000411,-0.8674012430931525
ACH-000414,-0.7408042561855837
ACH-000415,-1.0636384424632923
ACH-000416,-0.8629577817130122
ACH-000420,-0.7607775294462256
ACH-000421,-0.9006706918121062
ACH-000424,-1.0005582348480442
ACH-000425,-1.018298511787182
ACH-000426,-0.7337568944366113
ACH-000427,-0.7245030344833686
ACH-000433,-0.8916511499736648
ACH-000435,-1.1203115819949097
ACH-000436,-0.9450197894135948
ACH-000444,-1.0118988905408584
ACH-000445,-0.85194202600764
ACH-000448,-0.8120490376888271
ACH-000450,-1.0831241477309288
ACH-000452,-0.7804381414055986
ACH-000454,-1.2169041650274215
ACH-000458,-1.1101943467635218
ACH-000459,-0.7546294629139906
ACH-000460,-1.168467366931451
ACH-000461,-0.6966768209855342
ACH-000463,-1.0138511433048154
ACH-000464,-0.8570470718744101
ACH-000466,-1.028541614050654
