,KDSR (2531)
ACH-000004,-0.17148775145233508
ACH-000005,-0.1958364580990397
ACH-000007,-0.08554822328023677
ACH-000009,-0.9764309577622406
ACH-000011,-0.480556898319359
ACH-000012,0.014668700198378518
ACH-000013,0.06752417353247203
ACH-000014,-0.5106214551780401
ACH-000015,-0.15667107555034596
ACH-000017,-0.6615764287586567
ACH-000018,-0.5576506029394861
ACH-000019,-0.39069686595837017
ACH-000021,-0.05516880093266978
ACH-000022,-0.0892778993724893
ACH-000025,-0.6103064221761206
ACH-000028,-0.7211140686115709
ACH-000030,-0.2825227248403531
ACH-000035,-0.3483084961883228
ACH-000036,-0.7704472650606619
ACH-000037,-0.15212570882571455
ACH-000039,-0.11896989604955653
ACH-000040,-0.7566009450240838
ACH-000041,-0.12303780940775445
ACH-000042,-0.4262297678328073
ACH-000045,-0.6155055048280343
ACH-000047,-0.4550623152382486
ACH-000052,-0.08492778993215629
ACH-000053,-0.16488040570091891
ACH-000054,-0.2201339703424564
ACH-000055,-0.6837810140252294
ACH-000060,-0.4221327564996447
ACH-000067,-0.4785387487962322
ACH-000070,-0.4681789232366448
ACH-000075,-0.12194986073200205
ACH-000078,-0.3553185895470677
ACH-000082,-0.3816762489702333
ACH-000085,-0.30210557277058003
ACH-000086,-0.3616117739084867
ACH-000087,-0.12403233847428075
ACH-000092,-0.28334416883591496
ACH-000095,-0.10642258195774412
ACH-000097,-0.1938228414885892
ACH-000098,-0.2993117946601838
ACH-000099,-0.08884152787649924
ACH-000108,-0.2023991048937467
ACH-000113,-0.38705224183783615
ACH-000116,-0.6195610469813029
ACH-000118,-0.4589194475338226
ACH-000120,-0.15619504672229362
ACH-000123,-0.25661148027387026
ACH-000127,-0.31068268667638205
ACH-000128,-0.4353725712947288
ACH-000132,-0.5134217020205989
ACH-000133,-0.7464588353035491
ACH-000137,-0.2666062427925435
ACH-000138,-0.4683755422876205
ACH-000142,-0.3148492887524344
ACH-000143,-0.21129683903872812
ACH-000146,-0.1985777204076132
ACH-000148,-0.14138336689825068
ACH-000150,-0.7381641379214301
ACH-000152,-0.2005119389891314
ACH-000153,-0.823668967881255
ACH-000159,-0.4833024137470412
ACH-000160,-0.1288829005376928
ACH-000163,-0.4811342782460804
ACH-000167,-0.05970389514457741
ACH-000168,-0.3974750291581675
ACH-000169,-0.3416087462088906
ACH-000178,-0.4056450864940249
ACH-000183,-0.7866240823837937
ACH-000188,-0.3662207365820905
ACH-000189,-0.6029389887915729
ACH-000190,-1.1939317430288348
ACH-000198,-0.5289884194229751
ACH-000203,-0.3648028147132281
ACH-000204,-0.5527435315547835
ACH-000206,-0.5535806151711964
ACH-000207,-0.14565373671783527
ACH-000208,-0.5499114227808864
ACH-000210,-0.20342536367259748
ACH-000211,-0.0968736202110892
ACH-000215,-0.8068158243250116
ACH-000221,-0.12341228804544968
ACH-000222,-0.16380665151632842
ACH-000223,-0.2930639133678217
ACH-000226,-0.3920982445863876
ACH-000227,-0.2088277145913465
ACH-000228,-0.4025530218444929
ACH-000231,-0.3064281491102331
ACH-000232,-0.001338192160330431
ACH-000233,-0.4824727137987848
ACH-000234,-0.25728254799760986
ACH-000235,-0.20777267569008248
ACH-000237,-0.3241834902368118
ACH-000238,-0.1782628207680297
ACH-000242,-0.2556582969475795
ACH-000243,-0.19894592389219465
ACH-000244,-0.885656597307192
ACH-000246,-0.6258890158714331
ACH-000248,-0.6353141965525689
ACH-000250,-0.0963226191756027
ACH-000251,-0.16460148735653904
