,PMF1 (11243)
ACH-000004,-0.9071821364923758
ACH-000005,-0.9181310942228872
ACH-000007,-0.8146558125255376
ACH-000009,-1.0091996877802984
ACH-000011,-0.9932212635807629
ACH-000012,-0.9346858832710749
ACH-000013,-1.0052600995449996
ACH-000014,-0.9205823256919112
ACH-000015,-0.9271046808837224
ACH-000017,-0.68262407896195
ACH-000018,-1.0037993421517484
ACH-000019,-0.7987547703317759
ACH-000021,-0.9895846200501891
ACH-000022,-0.9738661796058052
ACH-000025,-1.0428303345081722
ACH-000028,-0.8443675595302248
ACH-000030,-0.8776071665799481
ACH-000035,-1.1431427809461685
ACH-000036,-0.8674850587246619
ACH-000037,-0.9292919654453926
ACH-000039,-0.8537385247469782
ACH-000040,-0.967253998996416
ACH-000041,-0.8821260589638913
ACH-000042,-1.0108359943505427
ACH-000045,-0.8930219861318395
ACH-000047,-0.8043577855694434
ACH-000052,-0.8593000072343658
ACH-000053,-1.282897858379116
ACH-000054,-0.9782390111228648
ACH-000055,-0.8955547691112712
ACH-000060,-0.7118669774526376
ACH-000067,-0.8756064173660021
ACH-000070,-0.8546095338569165
ACH-000075,-1.0746913814439487
ACH-000078,-0.7969680261023132
ACH-000082,-0.7810169112128432
ACH-000085,-0.9971384023526042
ACH-000086,-0.9511238757445944
ACH-000087,-0.8068510965672526
ACH-000092,-0.9950259493295416
ACH-000095,-0.8425585173302418
ACH-000097,-0.7303601557961363
ACH-000098,-0.9433414789225762
ACH-000099,-0.8833534829735216
ACH-000108,-0.8844127032160884
ACH-000113,-0.896522406057502
ACH-000116,-0.9150218655550556
ACH-000118,-0.995851867675758
ACH-000120,-0.8701183365060713
ACH-000123,-0.9246397083117436
ACH-000127,-0.8933040059862317
ACH-000128,-0.7712334602661931
ACH-000132,-0.9281221512439192
ACH-000133,-0.8225993684498418
ACH-000137,-1.2242152604542704
ACH-000138,-0.8605770401477232
ACH-000142,-0.9568474209122728
ACH-000143,-1.2306125081250758
ACH-000146,-0.9148294923324286
ACH-000148,-1.0049432430062382
ACH-000150,-0.8003885415567564
ACH-000152,-0.8912892439830359
ACH-000153,-1.0939857012908398
ACH-000159,-0.8791330450978192
ACH-000160,-0.8782702503121745
ACH-000163,-1.0805640777961425
ACH-000167,-1.3438492390635672
ACH-000168,-1.0183357880693222
ACH-000169,-0.9700255833636924
ACH-000178,-0.9004012848582714
ACH-000183,-0.8821518037164433
ACH-000188,-0.9449595045248316
ACH-000189,-0.9712770731358324
ACH-000190,-0.9591491369846123
ACH-000198,-0.9488019389191924
