,LIMA1 (51474)
ACH-000004,-0.015008585331067453
ACH-000005,0.08795750349219016
ACH-000007,-0.2585524577450847
ACH-000009,-0.2086846280902837
ACH-000011,-0.15899551485584182
ACH-000012,-0.0989588493922576
ACH-000013,-0.20418838437215486
ACH-000014,-0.03173862121302371
ACH-000015,-0.09758218906098524
ACH-000017,-0.15378594728589495
ACH-000018,-0.135778352021657
ACH-000019,0.14358287750895782
ACH-000021,-0.05946320469054073
ACH-000022,-0.04516615832720626
ACH-000025,-0.10658531299668964
ACH-000028,-0.31027703378691496
ACH-000030,-0.1611503158678965
ACH-000035,-0.14680104832073915
ACH-000036,0.0647928565460586
ACH-000037,-0.30456532988137786
ACH-000039,-0.2630785849812266
ACH-000040,-0.09056886537062957
ACH-000041,-0.2081661194404405
ACH-000042,-0.02534495067585777
ACH-000045,-0.058658024762593075
ACH-000047,0.0012170641415537825
ACH-000052,-0.1981197986347726
ACH-000053,-0.029239764672162917
ACH-000054,-0.09611922696668757
ACH-000055,0.0129241993901286
ACH-000060,0.0077737571749049465
ACH-000067,-0.3092036463022977
ACH-000070,-0.11874690948195606
ACH-000075,-0.12674352052979784
ACH-000078,-0.00030400528838739316
ACH-000082,-0.03309749466553075
ACH-000085,-0.18541690966157154
ACH-000086,-0.18401347279444386
ACH-000087,-0.3320174218283264
ACH-000092,0.007045734110265425
ACH-000095,0.02706886447669596
ACH-000097,-0.047407511272877366
ACH-000098,-0.02630916188522665
ACH-000099,-0.06725780541959674
ACH-000108,0.13709671942580634
ACH-000113,0.02872029478152572
ACH-000116,-0.2355852236599556
ACH-000118,0.04482973172202589
ACH-000120,-0.022379784104538662
ACH-000123,-0.2168813477452692
ACH-000127,-0.06099829135930247
ACH-000128,-0.12360301243015265
ACH-000132,-0.00221024026577163
ACH-000133,-0.11903322886170603
ACH-000137,-0.1412679506171858
ACH-000138,-0.0401431427951902
ACH-000142,-0.04716158476743742
ACH-000143,-0.08861535879095564
ACH-000146,-0.07799943396411213
ACH-000148,-0.1883360907334995
ACH-000150,-0.14245301176529848
