,PHLDB3 (653583)
ACH-000004,0.0068745147200070566
ACH-000005,0.036696220919640116
ACH-000007,-0.2516011061103077
ACH-000009,-0.1056918566645934
ACH-000011,0.1515139172233631
ACH-000012,-0.06606819107239982
ACH-000013,-0.3311075353132663
ACH-000014,-0.14270873614511664
ACH-000015,-0.15512472829227655
ACH-000017,-0.08759140469043852
ACH-000018,-0.3119979554130351
ACH-000019,-0.019289487017637073
ACH-000021,-0.263610204690387
ACH-000022,-0.08858610833817955
ACH-000025,-0.18806991795362107
ACH-000028,-0.003960990229101075
ACH-000030,-0.16220633992088512
ACH-000035,-0.1040909859905745
ACH-000036,-0.11650411532949972
ACH-000037,-0.12480283378334454
ACH-000039,-0.2235789609228368
ACH-000040,0.0036363576031038015
ACH-000041,0.005087400224807826
ACH-000042,-0.1504174795308247
ACH-000045,-0.1303308974653887
ACH-000047,-0.1394532865517553
ACH-000052,-0.17679831101282387
ACH-000053,-0.038322232111258216
ACH-000054,-0.14948523866627542
ACH-000055,-0.05602273926571536
ACH-000060,-0.0320263846593513
ACH-000067,-0.16709938382909953
ACH-000070,-0.24611387133688045
ACH-000075,-0.3397998515806429
ACH-000078,-0.02711838654891749
ACH-000082,-0.027373135478760427
ACH-000085,-0.1678409632177049
ACH-000086,-0.2071111350030806
ACH-000087,-0.3219555350671557
ACH-000092,-0.1848138960466592
ACH-000095,-0.08025592752293571
ACH-000097,-0.24323630220017226
ACH-000098,-0.1131753810972501
ACH-000099,-0.13581133107475954
ACH-000108,-0.0455653865822927
ACH-000113,-0.05380538691793716
ACH-000116,-0.06950547698881407
ACH-000118,-0.1759773011862161
ACH-000120,-0.05475194780951575
ACH-000123,-0.16112044768599287
ACH-000127,-0.20376528394172705
ACH-000128,-0.02382719285331641
ACH-000132,-0.25846921720435284
ACH-000133,-0.21609468705158855
ACH-000137,-0.12305648403058675
ACH-000138,-0.16528155781016698
ACH-000142,-0.26969045813353554
ACH-000143,-0.07693954472033188
ACH-000146,-0.16330272461437995
ACH-000148,-0.17887497227759785
ACH-000150,-0.10433548588012502
ACH-000152,-0.1099161800802302
ACH-000153,-0.3883390886006718
ACH-000159,-0.103036480708892
ACH-000160,-0.04442176819945981
ACH-000163,-0.10395914019730393
ACH-000167,0.025994096081638468
ACH-000168,0.06881507881951536
ACH-000169,-0.016103488465429118
ACH-000178,-0.1616139038077867
ACH-000183,-0.2114501754204602
ACH-000188,-0.07042001829334124
ACH-000189,-0.14110839391103147
ACH-000190,-0.12126892531024362
ACH-000198,-0.10895438895648656
ACH-000203,-0.4777048171709468
ACH-000204,-0.4727532871338557
ACH-000206,-0.03550711293230313
ACH-000207,-0.0737813178582531
ACH-000208,0.09962962705597243
ACH-000210,-0.04743016873709087
ACH-000211,-0.09724014059432544
ACH-000215,-0.14007858311212096
ACH-000221,-0.21566900432042665
ACH-000222,-0.14759445007698732
ACH-000223,-0.13820913393468498
ACH-000226,-0.13553215843279162
ACH-000227,0.03850904074056605
ACH-000228,-0.1701141496461636
ACH-000231,0.03089981513076045
ACH-000232,-0.05190684871381309
ACH-000233,-0.14564243024613846
ACH-000234,-0.2706359212425547
ACH-000235,-0.1438199150109678
ACH-000237,-0.20420014912774934
ACH-000238,-0.0534372672974265
ACH-000242,-0.24854039614713194
ACH-000243,-0.13373621463095994
ACH-000244,-0.11395224329588215
ACH-000246,-0.1409402302057574
ACH-000248,-0.19029129526995
ACH-000250,-0.23289845150645705
ACH-000251,-0.2477570000161332
ACH-000252,-0.10211728104390502
ACH-000253,-0.17878912581268924
ACH-000255,-0.3383568966041534
ACH-000256,-0.1003426027208897
ACH-000257,0.0059862363644571145
ACH-000258,0.11606606548055673
ACH-000259,-0.08618944562467037
ACH-000260,-0.12264328518820418
ACH-000261,-0.1742132580894238
ACH-000262,-0.2955318892417921
ACH-000263,-0.2587343279608725
ACH-000264,0.009205043220880352
ACH-000265,-0.2398986445926057
ACH-000266,-0.13594087964851576
ACH-000272,-0.07229552678993861
ACH-000274,-0.11106988280266417
ACH-000277,-0.2515379355149385
ACH-000278,-0.0960888669309996
ACH-000279,0.02277019292346781
ACH-000280,-0.2794819987656835
ACH-000281,-0.07983230106897707
ACH-000288,-0.030902590731450588
ACH-000291,-0.25633846749170475
ACH-000293,-0.2674010594523812
ACH-000294,-0.1502663508380823
ACH-000295,-0.12010745641822095
ACH-000296,-0.1611684914513001
ACH-000302,-0.21403510381728091
ACH-000304,-0.28117943124159245
ACH-000307,-0.11342930725188792
ACH-000308,-0.29867775171143224
ACH-000310,-0.08054604250416633
ACH-000311,-0.10324720547001846
ACH-000312,-0.0746553044081771
ACH-000315,-0.16992416484697012
ACH-000316,0.07395258987332437
ACH-000317,0.06912259978042831
ACH-000318,-0.23268588951632416
ACH-000319,-0.1704785711080949
ACH-000320,0.09023192714978086
ACH-000322,0.05681619465231352
ACH-000323,-0.1499586713280713
ACH-000324,-0.09034978720366306
ACH-000329,-0.055599484974133966
ACH-000330,-0.16043698605112222
ACH-000331,-0.07872725973422842
ACH-000332,-0.13659709202747233
ACH-000334,-0.18125639779353164
ACH-000335,-0.13608794624526938
ACH-000336,-0.02004973716170036
ACH-000337,-0.19383596679738965
