,H3F3C (440093)
ACH-000004,-0.0753725770778963
ACH-000005,-0.5414811258226969
ACH-000007,-0.35836709290250995
ACH-000009,-0.2635579613308313
ACH-000011,-0.5418972491172753
ACH-000012,-0.12638280170649396
ACH-000013,-0.1679700805558104
ACH-000014,-0.2616165720629524
ACH-000015,-0.2407036531817328
ACH-000017,-0.26145570779449445
ACH-000018,-0.08390174732636674
ACH-000019,-0.24537929187424426
ACH-000021,-0.28041980127128563
ACH-000022,-0.4605399044943749
ACH-000025,-0.27402176947273743
ACH-000028,-0.3744172394157277
ACH-000030,-0.16758775952422053
ACH-000035,-0.22761103906639266
ACH-000036,-0.26504538117184395
ACH-000037,-0.2235164568565818
ACH-000039,-0.3482193866249493
ACH-000040,-0.3950135950034379
ACH-000041,-0.3270236938715632
ACH-000042,-0.3331988360274104
ACH-000045,-0.30339921753596577
ACH-000047,-0.17334051343708107
ACH-000052,-0.17335357787464312
ACH-000053,-0.2740250445841583
ACH-000054,-0.3129132017753055
ACH-000055,-0.13751766302316673
ACH-000060,-0.4461365837155901
ACH-000067,-0.27216236640335223
ACH-000070,-0.20699760903064812
ACH-000075,-0.2540362916060517
ACH-000078,-0.4463970572843985
ACH-000082,-0.19638032913813894
ACH-000085,-0.4438695911156562
ACH-000086,-0.20309585335941094
ACH-000087,-0.3917821620055586
ACH-000092,-0.1438221424567475
ACH-000095,-0.4896389165940433
ACH-000097,-0.2650639427102533
ACH-000098,-0.26678221028479043
ACH-000099,-0.5346933499037823
ACH-000108,-0.03413511903966381
ACH-000113,-0.1714395512954432
ACH-000116,-0.42822240108667786
ACH-000118,-0.3047109719923733
ACH-000120,-0.334885619854354
ACH-000123,-0.21691828418917689
ACH-000127,-0.19110620103442866
ACH-000128,-0.19250176708222225
ACH-000132,-0.09879090157274617
ACH-000133,-0.18460204248191453
ACH-000137,-0.2292855136606491
ACH-000138,-0.2758192251208232
ACH-000142,-0.3752706722616046
ACH-000143,-0.2406829304966387
ACH-000146,-0.3437393378574457
ACH-000148,-0.2979969165881581
ACH-000150,-0.4008303328706371
ACH-000152,-0.2561305856197109
ACH-000153,-0.20214492019775632
ACH-000159,-0.22195553558760456
ACH-000160,0.1270448874977661
ACH-000163,-0.2252921426984872
ACH-000167,0.6459964509198425
ACH-000168,-0.2980034973202946
ACH-000169,-0.4531401335621866
ACH-000178,-0.3006884551395872
ACH-000183,-0.3048437538088138
ACH-000188,-0.27093902945751
ACH-000189,-0.4993010472039256
ACH-000190,0.1518162598471614
ACH-000198,-0.3288772212623399
ACH-000203,-0.3949143769737214
ACH-000204,-0.4920251692583467
ACH-000206,-0.27366981846299177
ACH-000207,-0.2108704753058296
ACH-000208,-0.3671499312855955
ACH-000210,-0.3041266343559859
ACH-000211,-0.4089091363242471
ACH-000215,-0.2825847001606317
ACH-000221,-0.3860229782292702
ACH-000222,-0.20156576772319276
ACH-000223,-0.3585820014682466
ACH-000226,-0.30630892861672004
ACH-000227,-0.3676353532773762
ACH-000228,-0.3575496900593116
ACH-000231,-0.2090135980929212
ACH-000232,-0.4015133053408483
ACH-000233,-0.2478418584811904
ACH-000234,-0.3580868184996945
ACH-000235,-0.1754546777593569
ACH-000237,-0.10761892093544094
ACH-000238,-0.25151192136315703
ACH-000242,-0.4670659098380726
ACH-000243,-0.22911591730854425
ACH-000244,-0.11934488694021128
ACH-000246,-0.2313118960455955
ACH-000248,-0.22300543244807666
ACH-000250,-0.347785178606594
ACH-000251,-0.3518039146420305
ACH-000252,-0.4702893024561292
ACH-000253,-0.2157478433623015
ACH-000255,-0.4700225434375894
ACH-000256,-0.1745322834754962
ACH-000257,-0.5343809499434293
ACH-000258,-0.3150992834105987
ACH-000259,-0.2656239040685929
ACH-000260,-0.21369513759083372
ACH-000261,-0.3441283938060669
ACH-000262,-0.15329179014364222
ACH-000263,-0.6111540992330711
ACH-000264,-0.38011973297306745
ACH-000265,-0.3263086917055913
ACH-000266,-0.30747138945849684
ACH-000272,-0.28155679262306593
ACH-000274,-0.326423555471248
ACH-000277,-0.2338406332934435
ACH-000278,-0.13685348201265446
ACH-000279,-0.3386294872872941
ACH-000280,-0.3220860797376596
ACH-000281,-0.33247018858013433
ACH-000288,-0.3113146586299883
ACH-000291,-0.336261246333156
ACH-000293,-0.5027730221242939
ACH-000294,-0.3231712146523865
ACH-000295,-0.2652154194302143
ACH-000296,-0.3255035173705773
ACH-000302,-0.21632027066002427
ACH-000304,-0.3154239890906521
ACH-000307,-0.3280386541760257
ACH-000308,-0.20806839179113348
ACH-000310,-0.3440960841006649
ACH-000311,-0.2131539068747066
ACH-000312,-0.3044859496368932
ACH-000315,-0.32206759271516217
ACH-000316,-0.2810753966535804
ACH-000317,-0.34017726366818296
ACH-000318,-0.33692033841463137
ACH-000319,-0.29997264939095897
ACH-000320,-0.2751549148837927
ACH-000322,-0.41397725830776827
ACH-000323,-0.3063117359807822
ACH-000324,-0.5112703622105134
ACH-000329,-0.2877092019261577
ACH-000330,-0.3065435796960867
ACH-000331,-0.35795487067319937
ACH-000332,-0.2918369982413048
ACH-000334,-0.3366530908852822
ACH-000335,-0.6056986640885667
ACH-000336,-0.2779666383498768
ACH-000337,-0.2681997467497122
ACH-000338,-0.7061708036329366
ACH-000339,-0.3990125161789008
ACH-000341,-0.10572172835325244
ACH-000348,-0.2614392342170167
ACH-000350,-0.39728486574230704
ACH-000352,-0.4760373538844342
ACH-000356,-0.4296191762582409
ACH-000361,-0.4873290851328956
ACH-000362,-0.34419740995427783
ACH-000363,-0.2975754057297789
ACH-000364,-0.23501327088257004
ACH-000365,-0.4676889367942645
ACH-000366,-0.2631607988144585
ACH-000368,-0.3354257315774948
ACH-000374,-0.4435165617267577
ACH-000375,-0.15245543788930224
ACH-000376,-0.1382834197291775
ACH-000381,-0.30234834476091993
ACH-000383,-0.13791150740148453
ACH-000387,-0.2884957019283764
ACH-000389,-0.3957020339045488
ACH-000390,-0.2699541468152638
ACH-000393,-0.48729297295839297
ACH-000395,-0.4293489526152461
ACH-000396,-0.11130315110893424
ACH-000397,-0.2463748662921209
ACH-000401,-0.1876282584141545
ACH-000402,-0.12281625645945825
ACH-000403,-0.2455702001280401
ACH-000404,-0.16240660440930738
ACH-000406,-0.17435128431630553
ACH-000407,-0.7465203102231353
ACH-000408,-0.2023986590006749
ACH-000410,-0.3205675473972163
ACH-000411,-0.2704476319481882
ACH-000414,-0.28204128203577344
ACH-000415,-0.26392014097490063
ACH-000416,-0.40121193838861213
ACH-000420,-0.4728156573243493
ACH-000421,-0.2701834240340028
ACH-000424,-0.4869466679342513
ACH-000425,-0.2353205617215744
ACH-000426,-0.3596487995153564
ACH-000427,-0.3338786336527786
ACH-000433,-0.3948268136278301
ACH-000435,-0.20549651023530954
ACH-000436,-0.37971082255843297
ACH-000444,-0.42175215844225533
ACH-000445,-0.07316592565901127
ACH-000448,-0.4260083903194378
ACH-000450,-0.38040711615453976
ACH-000452,-0.3618784264517034
ACH-000454,-0.5522844934490028
ACH-000458,-0.2219403389885784
ACH-000459,-0.15594728413994868
ACH-000460,-0.1738562454516731
ACH-000461,-0.4558712734704637
ACH-000463,-0.31865830275456136
ACH-000464,-0.3968435277275944
ACH-000466,-0.2206140867841991
ACH-000467,-0.2534722078117609
ACH-000468,-0.2533186452833206
ACH-000469,-0.3109405532578756
ACH-000470,0.027566927803304008
ACH-000471,-0.3782390379386097
ACH-000472,-0.2655497081730802
ACH-000473,-0.2947012510100917
ACH-000475,-0.30967881307849143
ACH-000476,-0.38739125078855546
ACH-000477,-0.27744041368491074
ACH-000479,-0.2910258870541362
ACH-000480,-0.3094401483457672
ACH-000481,-0.2705924275364876
ACH-000483,-0.27974170931699915
ACH-000484,-0.09318851199378986
ACH-000485,-0.5364980483927764
ACH-000486,-0.3968122112886284
ACH-000487,-0.2857619003857358
ACH-000488,-0.2281921610867001
ACH-000490,-0.20482481282973544
ACH-000491,-0.4429488330076916
ACH-000495,-0.18980177992404268
ACH-000496,-0.2217925342024807
ACH-000499,-0.2514891681358563
ACH-000500,-0.2302429935081346
ACH-000502,-0.19966644509128045
ACH-000503,-0.21198713567510188
ACH-000505,-0.49742364767211
ACH-000507,-0.1159759618042068
ACH-000510,-0.22557623174077535
ACH-000511,-0.3686817773555847
ACH-000512,-0.3442257419263974
ACH-000516,-0.09714846224269257
ACH-000517,-0.250006513242814
ACH-000518,-0.197168179868746
ACH-000520,-0.27519057246873685
ACH-000521,-0.34325122651220596
ACH-000522,-0.3292934153617957
ACH-000524,-0.4499263011377679
ACH-000527,-0.3445306610787395
ACH-000528,-0.3323197085576084
ACH-000537,-0.29949395428799985
ACH-000541,-0.27558320732113073
ACH-000542,-0.3766935479192085
ACH-000544,-0.368107472203551
ACH-000545,-0.554842818814611
ACH-000547,-0.4687629348378949
ACH-000548,-0.3540633964844911
ACH-000549,-0.3821355813492827
ACH-000550,-0.35795429020223185
ACH-000552,-0.3343065312622484
ACH-000556,-0.276586149719046
ACH-000557,-0.307886932281692
ACH-000569,-0.24696394755354584
ACH-000570,-0.2482828422744002
ACH-000571,-0.17890234121157994
ACH-000573,-0.2813140994008957
ACH-000576,-0.26336963760839216
ACH-000579,-0.3731456936370855
ACH-000580,-0.4619801516507295
ACH-000584,-0.23052050055575102
ACH-000585,-0.4203671128896471
ACH-000588,-0.18570160256224968
ACH-000589,-0.3448771360510807
ACH-000591,-0.2687007126747272
ACH-000593,-0.35897389817518083
ACH-000600,-0.19363303570304544
ACH-000601,-0.16115575016640366
ACH-000605,-0.2564431938193573
ACH-000606,-0.2378103804151017
ACH-000608,-0.3159176644704155
ACH-000614,-0.2524916960692085
ACH-000616,-0.4017866257806584
ACH-000618,-0.242682177344009
ACH-000619,-0.21044810248847245
ACH-000620,-0.34014120373562595
ACH-000621,-0.2583846745275524
ACH-000622,-0.2799995907662404
ACH-000623,-0.1917545449333499
ACH-000624,-0.2121002313156515
ACH-000627,-0.2806292819898715
ACH-000630,-0.40786257215423294
ACH-000631,-0.017513630356843363
ACH-000632,-0.40541101035888794
