,RNASEH2B (79621)
ACH-000004,-0.26224398594954895
ACH-000005,-0.15924906084239274
ACH-000007,-0.015474711924897971
ACH-000009,-0.08163256411446786
ACH-000011,-0.18668902077288715
ACH-000012,-0.18720334604711766
ACH-000013,-0.17319109956828174
ACH-000014,-0.023144469417897127
ACH-000015,0.031999232781030965
ACH-000017,-0.13132646002998508
ACH-000018,0.2135355206642055
ACH-000019,-0.16853281383046612
ACH-000021,-0.15648800997637338
ACH-000022,-0.2123344982616323
ACH-000025,-0.2661224149093537
ACH-000028,-0.1834480628545033
ACH-000030,0.0374315247707719
ACH-000035,-0.1537694833860015
ACH-000036,-0.11102748286770008
ACH-000037,-0.3075099290212394
ACH-000039,-0.2792216759113781
ACH-000040,-0.3745393617042818
ACH-000041,-0.07424033102564569
ACH-000042,-0.15089141632980566
ACH-000045,-0.18920889081653228
ACH-000047,-0.35300020034964874
ACH-000052,-0.032929253118116945
ACH-000053,-0.020685441907881963
ACH-000054,-0.1008490765501159
ACH-000055,-0.5502278185651399
ACH-000060,-0.03388341129214758
ACH-000067,-0.6103978357782646
ACH-000070,-0.3266695945505613
ACH-000075,-0.032786619845117486
ACH-000078,-0.3400308509736222
ACH-000082,-0.12150143886282128
ACH-000085,0.11745079651728407
ACH-000086,-0.12770999352509144
ACH-000087,-0.31367263351661023
ACH-000092,-0.1796947532534093
ACH-000095,-0.07599109236974044
ACH-000097,-0.03898349133384922
ACH-000098,-0.10298718360568508
ACH-000099,-0.2543424875112966
ACH-000108,-0.052215748874389525
ACH-000113,-0.22020087942330208
ACH-000116,-0.3614869440461675
ACH-000118,-0.10135038349544308
ACH-000120,-0.4087015485903247
ACH-000123,-0.18439288951803248
ACH-000127,-0.3926373783469393
ACH-000128,0.03988146336308701
ACH-000132,-0.12425517959720005
ACH-000133,-0.2690823957466367
ACH-000137,-0.3117575682836892
ACH-000138,-0.28605089166759023
ACH-000142,-0.2649310391435409
ACH-000143,-0.29774908736728456
ACH-000146,-0.15482765239667712
ACH-000148,-0.3990970998614669
ACH-000150,0.01034695872795596
ACH-000152,-0.35031204234606483
ACH-000153,-0.058409581437943975
ACH-000159,-0.30038797035672915
ACH-000160,-0.06260883011427887
ACH-000163,-0.17458473653445974
ACH-000167,-0.4722359558299484
ACH-000168,-0.2371148959288468
ACH-000169,-0.015947031560350714
ACH-000178,-0.17312631324808206
ACH-000183,-0.17289117855826974
ACH-000188,-0.17084941535567724
ACH-000189,-0.25386157184879965
ACH-000190,-0.3243730581883101
ACH-000198,-0.24575251187080904
ACH-000203,-0.2927541694042097
ACH-000204,-0.19961181180816007
ACH-000206,-0.25329397979319285
ACH-000207,-0.30236984807527834
ACH-000208,-0.33403045628202244
ACH-000210,-0.2432383241566861
ACH-000211,-0.10315245539002177
ACH-000215,-0.33171536234673443
ACH-000221,0.13719037407341933
ACH-000222,-0.044711666259107205
ACH-000223,-0.2650823406872094
ACH-000226,-0.32585645634965643
ACH-000227,-0.3502255536026061
ACH-000228,-0.13206282897061933
ACH-000231,-0.3285486654928718
ACH-000232,-0.42439577485511504
ACH-000233,-0.16109740883839604
ACH-000234,-0.2034579305675409
ACH-000235,-0.08524881702113422
ACH-000237,-0.2470008094831917
ACH-000238,-0.1963766400813608
ACH-000242,-0.3406395834626365
ACH-000243,-0.22511859968280115
ACH-000244,-0.3078967636532414
ACH-000246,-0.25063396252663056
ACH-000248,-0.11754005506286995
ACH-000250,-0.21119580038057248
ACH-000251,-0.3066713696676614
ACH-000252,0.08265891221030422
ACH-000253,0.1685415088975636
ACH-000255,-0.15138202930758735
ACH-000256,-0.16877629205362005
ACH-000257,-0.1065556407599786
ACH-000258,-0.24631702104791325
ACH-000259,-0.4605068733855415
ACH-000260,-0.33611573607989115
ACH-000261,-0.2456623200964733
ACH-000262,-0.20884271335757032
ACH-000263,-0.22388220193712616
ACH-000264,-0.30796917211758645
ACH-000265,-0.03888185066810871
ACH-000266,0.026967592745765274
ACH-000272,-0.2575017614640118
ACH-000274,-0.02639218370229957
ACH-000277,-0.04510283992610417
ACH-000278,-0.238977376145064
ACH-000279,-0.20101989688766916
ACH-000280,-0.082659351829867
ACH-000281,-0.12481560853684602
ACH-000288,-0.07973665245832429
ACH-000291,-0.5120963127921102
ACH-000293,-0.3017522872617108
ACH-000294,-0.0964510207241769
ACH-000295,0.04562133115701055
ACH-000296,-0.3222831336830085
ACH-000302,-0.23578294500333805
ACH-000304,-0.2709549365933346
ACH-000307,-0.03685340987553011
ACH-000308,-0.2390581088553907
ACH-000310,-0.15210452788210072
ACH-000311,-0.3208778265536688
ACH-000312,-0.16449349733573948
ACH-000315,-0.3362939926296249
ACH-000316,-0.12032711356443727
ACH-000317,-0.4804561831274306
ACH-000318,-0.2019303388577452
ACH-000319,0.0903897974182219
ACH-000320,-0.1614859364363445
ACH-000322,-0.3213137244158543
ACH-000323,-0.09280527683422822
ACH-000324,-0.5023309845208282
ACH-000329,0.028338767965195667
ACH-000330,-0.19796212032282212
ACH-000331,-0.2704165998300824
ACH-000332,0.03250567677377678
ACH-000334,0.04005765580355265
ACH-000335,-0.4870412673391449
ACH-000336,-0.2122861236902296
ACH-000337,0.015039488322172744
ACH-000338,-0.3331020145813097
ACH-000339,-0.057377648129303224
ACH-000341,-0.2295659555166644
ACH-000348,-0.26984520399950945
ACH-000350,0.010957584862438849
ACH-000352,-0.033286397197782966
ACH-000356,-0.10404036860701336
ACH-000361,0.1059471320177511
ACH-000362,-0.15231768156790068
ACH-000363,-0.1468516474044107
ACH-000364,-0.15146747925425005
ACH-000365,-0.22716981862849006
ACH-000366,-0.1006805590565126
ACH-000368,-0.270356315268147
ACH-000374,-0.2300083182746137
ACH-000375,0.015929227711432375
ACH-000376,-0.11808504573160634
ACH-000381,-0.2030178476108462
ACH-000383,-0.061463194084978474
ACH-000387,-0.08465170683830257
ACH-000389,-0.15284302065178382
ACH-000390,-0.1180395570147437
ACH-000393,-0.18968957613620002
ACH-000395,0.011056643959636285
ACH-000396,-0.031115982773362638
ACH-000397,-0.4237963211805945
ACH-000401,0.09119354930326226
ACH-000402,0.11851860586063175
ACH-000403,-0.031836943583839886
ACH-000404,-0.2437839539385899
ACH-000406,-0.045664502328388805
ACH-000407,-0.4349674406327879
ACH-000408,-0.3983306673313979
ACH-000410,-0.4230690995925056
ACH-000411,-0.21410334240096648
ACH-000414,-0.2651928605678177
ACH-000415,-0.2789544947260353
ACH-000416,-0.012616486949672651
ACH-000420,-0.22992904968141714
ACH-000421,-0.11481852404132585
ACH-000424,-0.33042150372474244
ACH-000425,-0.16177113190431516
ACH-000426,-0.24447982315311584
ACH-000427,-0.007423668786986872
ACH-000433,-0.09072032795547487
ACH-000435,-0.38157990970304095
ACH-000436,0.01400592533475764
ACH-000444,-0.23462101924454004
ACH-000445,-0.12112607542635008
ACH-000448,-0.34474106860728754
ACH-000450,0.09455625589234072
ACH-000452,-0.12929932399015615
ACH-000454,-0.08318229916789847
ACH-000458,0.08884474286332293
ACH-000459,-0.3075507071650532
ACH-000460,-0.2280976784287852
ACH-000461,-0.05217002706645312
ACH-000463,-0.29612259222602755
ACH-000464,-0.1862641758180186
ACH-000466,-0.27940218649590604
ACH-000467,0.014520180586348016
ACH-000468,-0.2093814009262945
ACH-000469,-0.261420237614234
ACH-000470,-0.18894495981967652
ACH-000471,-0.07456774950930951
ACH-000472,-0.08579964356215533
ACH-000473,-0.02077717672545955
ACH-000475,-0.03292046390755088
ACH-000476,-0.011741384888211592
ACH-000477,-0.08589308391940048
ACH-000479,-0.00593783274741934
ACH-000480,-0.2516320360256958
ACH-000481,-0.1288424016423205
ACH-000483,-0.04539926017612447
ACH-000484,-0.3068675077609536
ACH-000485,-0.19541967530234694
ACH-000486,-0.3594928778113613
ACH-000487,-0.11979674717570132
ACH-000488,-0.04880503234673488
ACH-000490,0.13538110670104578
ACH-000491,0.03309001363189348
ACH-000495,-0.2741022704120859
ACH-000496,-0.4949973132405674
ACH-000499,-0.5362262392368046
ACH-000500,-0.16971352637215056
ACH-000502,-0.23712247722992325
ACH-000503,0.1554196718185777
ACH-000505,-0.09362961167326443
ACH-000507,-0.17021888035205102
ACH-000510,-0.19300831428778167
ACH-000511,-0.18102211660976428
ACH-000512,-0.003624398927794668
ACH-000516,0.06667573917891205
ACH-000517,-0.20288685014173544
ACH-000518,-0.14151336068021186
ACH-000520,-0.20004608174514046
ACH-000521,-0.6198939177752049
ACH-000522,-0.2246924137698386
