,FIP1L1 (81608)
ACH-000004,-0.6285060265238027
ACH-000005,-0.8696460151176812
ACH-000007,-0.8933337036959044
ACH-000009,-0.7506815242899229
ACH-000011,-0.8943044700268294
ACH-000012,-0.6298866441362279
ACH-000013,-0.7619062698662323
ACH-000014,-0.4769159299627592
ACH-000015,-0.8465379045994768
ACH-000017,-0.9088770679826268
ACH-000018,-0.7762460345538092
ACH-000019,-0.850667912246391
ACH-000021,-0.7857313304876513
ACH-000022,-0.7337217864172588
ACH-000025,-0.6472408573865757
ACH-000028,-0.7350025124732104
ACH-000030,-0.7705992669683659
ACH-000035,-0.8668324506358853
ACH-000036,-0.6162907061541328
ACH-000037,-0.6374578607721464
ACH-000039,-0.5851674146648572
ACH-000040,-0.9576526102279412
ACH-000041,-0.8389670897479705
ACH-000042,-0.7108326960267412
ACH-000045,-0.7024209045688051
ACH-000047,-0.7712588138818838
ACH-000052,-1.0030978370243424
ACH-000053,-0.7256388077168058
ACH-000054,-0.8004131504106957
ACH-000055,-0.9519145993643036
ACH-000060,-0.5973646724304649
ACH-000067,-0.572413853821666
ACH-000070,-0.6877450910121138
ACH-000075,-0.792164193088967
ACH-000078,-0.7826163350919007
ACH-000082,-0.5474480348365489
ACH-000085,-0.7568487860628478
ACH-000086,-0.5734675534323702
ACH-000087,-0.95750393252036
ACH-000092,-0.7488861468534848
ACH-000095,-0.848897108029938
ACH-000097,-0.8005701653970019
ACH-000098,-0.6606889703035427
ACH-000099,-0.8926278565997459
ACH-000108,-0.6584083306148714
ACH-000113,-0.6838889693191774
ACH-000116,-0.9214569810056944
ACH-000118,-0.7901762945583793
ACH-000120,-0.8105057833529804
ACH-000123,-0.8316137144570693
ACH-000127,-0.6490361007501789
ACH-000128,-0.9078646577026454
ACH-000132,-0.7674976260281726
ACH-000133,-0.7722703968097416
ACH-000137,-0.9376933197899179
ACH-000138,-0.7662354516012534
ACH-000142,-0.5634658714359422
ACH-000143,-0.8677258708655349
ACH-000146,-0.7938071650988581
ACH-000148,-0.8285589181318692
ACH-000150,-0.7650451854267631
ACH-000152,-0.7921804813555536
ACH-000153,-0.4477382227869183
ACH-000159,-0.8137789434684177
ACH-000160,-0.8927096285894222
ACH-000163,-0.7286953143252909
ACH-000167,-0.8621658530353109
ACH-000168,-0.7030809893588856
ACH-000169,-0.9117123997888196
ACH-000178,-0.6973951481369212
ACH-000183,-0.6272423805319641
ACH-000188,-0.7292278006636512
ACH-000189,-0.989464007267954
ACH-000190,-1.1220830002683382
ACH-000198,-1.1492702762769458
ACH-000203,-0.5536479476229439
ACH-000204,-0.36077349968004296
ACH-000206,-1.0233212536420202
ACH-000207,-0.18915435286107207
ACH-000208,-0.7218359507565288
ACH-000210,-0.5722156546529736
ACH-000211,-0.7441054419564305
ACH-000215,-0.7026023769557679
ACH-000221,-0.7929062150364685
ACH-000222,-0.7377985777631952
ACH-000223,-0.6838788524388852
ACH-000226,-0.7067365546641339
ACH-000227,-0.8349376423558362
ACH-000228,-0.45834101810122707
ACH-000231,-0.6600451600565067
ACH-000232,-0.7891836054576237
ACH-000233,-0.7604731717409136
ACH-000234,-0.6501818304203671
ACH-000235,-0.6927517749014319
ACH-000237,-0.7432738583190199
ACH-000238,-0.9116824257324154
ACH-000242,-0.3787950204021431
ACH-000243,-1.1332298840151709
ACH-000244,-0.6309924530934767
ACH-000246,-1.0921701104044503
ACH-000248,-0.7149246817486239
ACH-000250,-0.7780340594758612
ACH-000251,-0.6945043946661682
ACH-000252,-0.7365731152591922
ACH-000253,-0.722498043971601
ACH-000255,-0.980873090406306
ACH-000256,-0.7341973104526033
ACH-000257,-0.5381367252186793
ACH-000258,-0.7199456151222497
ACH-000259,-0.812899674778577
ACH-000260,-0.7425593614266199
ACH-000261,-1.0392805960384637
ACH-000262,-0.6350822049512473
ACH-000263,-1.1975238087369438
ACH-000264,-0.8128863285506511
ACH-000265,-0.7755809508582425
ACH-000266,-0.8079141133669202
ACH-000272,-0.8682977822803355
ACH-000274,-0.5478536363781422
ACH-000277,-1.0596314142988288
ACH-000278,-0.8142215973690949
ACH-000279,-0.6731553885260425
ACH-000280,-0.7645435070736405
ACH-000281,-0.4346063132357961
ACH-000288,-0.7650510254260237
ACH-000291,-0.8297932707888821
ACH-000293,-0.7749451056131232
ACH-000294,-0.6303785390256281
ACH-000295,-0.7275547649225761
ACH-000296,-0.6937318120201662
ACH-000302,-0.7741559993937069
ACH-000304,-0.6823137671240561
ACH-000307,-0.7463687577328675
ACH-000308,-0.6986764383434829
ACH-000310,-0.7756455573971215
ACH-000311,-0.9310116880272238
ACH-000312,-0.8635972109238451
ACH-000315,-0.7751706898795729
ACH-000316,-0.5984387168076734
ACH-000317,-0.670153881215362
ACH-000318,-1.0291688680144822
ACH-000319,-0.7544247921547413
ACH-000320,-0.6285825929860599
ACH-000322,-0.5085116169486688
ACH-000323,-0.9072166224994532
ACH-000324,-0.7572520796290985
ACH-000329,-0.4720034063213415
ACH-000330,-0.7296935869282193
ACH-000331,-1.0025250926034974
ACH-000332,-0.9842611773831172
ACH-000334,-0.6989978240328476
ACH-000335,-0.7088744730865625
ACH-000336,-0.6966106836409496
ACH-000337,-1.0170363848338957
ACH-000338,-0.8243700368818266
ACH-000339,-0.6342952175213654
ACH-000341,-0.8292561151887133
ACH-000348,-0.7087277837006102
ACH-000350,-0.8820141535721049
ACH-000352,-1.0226069186257802
ACH-000356,-0.932461632112816
ACH-000361,-0.6522263637217313
ACH-000362,-0.6897655629719152
ACH-000363,-0.7868791841604759
ACH-000364,-1.0625039242329766
ACH-000365,-0.5730989076821101
ACH-000366,-0.8570124338486321
ACH-000368,-0.7026675648039263
ACH-000374,-0.7134362791542751
ACH-000375,-0.5143978996293566
ACH-000376,-0.7757419606027145
ACH-000381,-0.6577474175704559
ACH-000383,-0.9997208789512356
ACH-000387,-0.6955628247057208
ACH-000389,-0.9039698224858168
ACH-000390,-0.7671953841575375
ACH-000393,-0.6592937555494738
ACH-000395,-0.8486200672843632
ACH-000396,-0.8169081531916605
ACH-000397,-0.8175324951513249
ACH-000401,-1.0131876219648848
ACH-000402,-0.7269473138585691
