,EXOC6B (23233)
ACH-000004,-0.16312591543861493
ACH-000005,-0.0332130774056529
ACH-000007,0.044052804950367584
ACH-000009,-0.11124355308331274
ACH-000011,-0.1740106140573832
ACH-000012,-0.11829263999388988
ACH-000013,-0.19197282580089356
ACH-000014,-0.2509835544991711
ACH-000015,-0.1414992700866775
ACH-000017,-0.10577556515391452
ACH-000018,-0.3834082002041627
ACH-000019,-0.08043612403430449
ACH-000021,-0.16741725728412465
ACH-000022,-0.005293560223222583
ACH-000025,-0.08999670006065194
ACH-000028,-0.1808387993909792
ACH-000030,-0.13692171353442684
ACH-000035,-0.12265151839770695
ACH-000036,-0.22792611740056906
ACH-000037,-0.26029589054876684
ACH-000039,-0.005161628044893128
ACH-000040,-0.4045191684009843
ACH-000041,-0.1093650742502225
ACH-000042,-0.1655878212298776
ACH-000045,0.10906307211849918
ACH-000047,-0.2416871185288393
ACH-000052,-0.20360554662226302
ACH-000053,-0.08520907662920632
ACH-000054,-0.2468206134224482
ACH-000055,-0.1151907144037352
ACH-000060,-0.0354479988350568
ACH-000067,-0.24356498703936086
ACH-000070,0.0947223975962596
ACH-000075,0.07760478463918137
ACH-000078,-0.2177921622751749
ACH-000082,-0.2171258393658476
ACH-000085,0.08252964663526449
ACH-000086,-0.14934128765845775
ACH-000087,-0.035355691787031095
ACH-000092,-0.2250361974067775
ACH-000095,-0.11299836491051793
ACH-000097,-0.20395176312454166
ACH-000098,-0.0021479213450260517
ACH-000099,-0.1482246493534962
ACH-000108,-0.047027877256977525
ACH-000113,-0.03746388815345015
ACH-000116,-0.1898286744715962
ACH-000118,-0.22030554445325068
ACH-000120,-0.005937048421140773
ACH-000123,-0.1381446034746069
ACH-000127,-0.1734181228533581
ACH-000128,-0.07710771594309661
ACH-000132,-0.15872320833166406
ACH-000133,-0.24707349046871954
ACH-000137,-0.34245984418458364
ACH-000138,-0.07952165055890198
ACH-000142,0.051957764859470144
ACH-000143,0.003648190718787147
ACH-000146,-0.01893597207334154
ACH-000148,-0.11591583155223108
ACH-000150,-0.0309141881226449
ACH-000152,-0.21589361992657166
ACH-000153,0.031086301024222187
ACH-000159,-0.08724829233227246
ACH-000160,-0.0736971271727104
ACH-000163,0.10434789023236864
ACH-000167,-0.5106406622387339
ACH-000168,-0.08938886679878348
ACH-000169,-0.07561220181802368
ACH-000178,-0.01925987861510956
ACH-000183,-0.04114951128419416
ACH-000188,-0.19056804458118032
ACH-000189,-0.2225758613791849
ACH-000190,-0.1531123042848492
ACH-000198,-0.1781134017081569
ACH-000203,0.12756265788465865
ACH-000204,-0.011451812071445772
ACH-000206,0.017465666746419282
ACH-000207,0.016561652275381963
ACH-000208,-0.05814586424110905
ACH-000210,-0.25391697632220417
